Row ID,Row Name,Icon ID - Male,Icon ID - Female
1000,Type 1,0,0
1100,Type 2,0,0
1200,Type 3,0,0
1300,Type 4,0,0
1400,Type 5,0,0
1500,Type 6,0,0
1600,Type 7,0,0
1700,Type 8,0,0
1800,Type 9,0,0
1900,Type 10,0,0
2000,Type 11,0,0
2100,Type 12,0,0
2200,Type 13,0,0
2300,Type 14,0,0
2400,Type 15,0,0
2500,Type 16,0,0
2600,Type 17,0,0
2700,Type 18,0,0
2800,Type 19,0,0
2900,Type 20,0,0
3000,Type 1,0,0
3100,Type 2,0,0
3200,Type 3,0,0
3300,Type 4,0,0
3400,Type 5,0,0
3500,Type 6,0,0
3600,Type 7,0,0
3700,Type 8,0,0
3800,Type 9,0,0
3900,Type 10,0,0
4000,Type 11,0,0
4100,Type 12,0,0
4200,Type 13,0,0
4300,Type 14,0,0
4400,Type 15,0,0
4500,Type 16,0,0
4600,Type 17,0,0
4700,Type 18,0,0
4800,Type 19,0,0
4900,Type 20,0,0
5000,Travel Hairstyle,0,0
10000,Head,1097,1101
10100,Body,1098,1102
10200,Arms,1099,1103
10300,Legs,1100,1104
40000,Iron Helmet,13000,13000
40100,Scale Armor,13001,13001
40200,Iron Gauntlets,13002,13002
40300,Leather Trousers,13003,13003
50000,Kaiden Helm,13010,13010
50100,Kaiden Armor,13011,13011
50200,Kaiden Gauntlets,13012,13012
50300,Kaiden Trousers,13013,13013
60000,Drake Knight Helm,13020,13020
60100,Drake Knight Armor,13021,13021
60200,Drake Knight Gauntlets,13022,13022
60300,Drake Knight Greaves,13023,13023
61000,Drake Knight Helm (Altered),13030,13030
61100,Drake Knight Armor (Altered),13031,13031
80000,Scaled Helm,13040,13040
80100,Scaled Armor,13041,13041
80200,Scaled Gauntlets,13042,13042
80300,Scaled Greaves,13043,13043
81100,Scaled Armor (Altered),13051,13051
90000,Perfumer Hood,13060,13060
90100,Perfumer Robe,13061,13061
90200,Perfumer Gloves,13062,13062
90300,Perfumer Sarong,13063,13063
91100,Perfumer Robe (Altered),13065,13065
100000,Traveler's Hat,13070,13070
100100,Perfumer's Traveling Garb,13071,13071
100200,Traveler's Gloves,13072,13072
100300,Traveler's Slops,13073,13073
101100,Perfumer's Traveling Garb (Altered),13081,13081
120000,Alberich's Pointed Hat,13090,13090
120100,Alberich's Robe,13091,13091
120200,Alberich's Bracers,13092,13092
120300,Alberich's Trousers,13093,13093
121000,Alberich's Pointed Hat (Altered),13100,13100
121100,Alberich's Robe (Altered),13101,13101
130000,Spellblade's Pointed Hat,13110,13110
130100,Spellblade's Traveling Attire,13111,13111
130200,Spellblade's Gloves,13112,13112
130300,Spellblade's Trousers,13113,13113
131100,Spellblade's Traveling Attire (Altered),13121,13121
140000,Bull-Goat Helm,13130,13130
140100,Bull-Goat Armor,13131,13131
140200,Bull-Goat Gauntlets,13132,13132
140300,Bull-Goat Greaves,13133,13133
150000,Iron Kasa,13140,13140
150100,Ronin's Armor,13141,13141
150200,Ronin's Gauntlets,13142,13142
150300,Ronin's Greaves,13143,13143
151100,Ronin's Armor (Altered),13151,13151
160000,Guilty Hood,13160,13160
160100,Cloth Garb,13161,13161
160300,Cloth Trousers,13163,13163
170000,Black Wolf Mask,13170,13170
170100,Blaidd's Armor,13171,13171
170200,Blaidd's Gauntlets,13172,13172
170300,Blaidd's Greaves,13173,13173
171100,Blaidd's Armor (Altered),13181,13181
180000,Black Knife Hood,13190,13190
180100,Black Knife Armor,13191,13191
180200,Black Knife Gauntlets,13192,13192
180300,Black Knife Greaves,13193,13193
181100,Black Knife Armor (Altered),13201,13201
190000,Exile Hood,13210,13210
190100,Exile Armor,13211,13211
190200,Exile Gauntlets,13212,13212
190300,Exile Greaves,13213,13213
200000,Banished Knight Helm,13220,13220
200100,Banished Knight Armor,13221,13221
200200,Banished Knight Gauntlets,13222,13222
200300,Banished Knight Greaves,13223,13223
201000,Banished Knight Helm (Altered),13230,13230
201100,Banished Knight Armor (Altered),13231,13231
202100,,13221,13221
210000,Briar Helm,13240,13240
210100,Briar Armor,13241,13241
210200,Briar Gauntlets,13242,13242
210300,Briar Greaves,13243,13243
211100,Briar Armor (Altered),13251,13251
220000,Page Hood,13260,13260
220100,Page Garb,13261,13261
220300,Page Trousers,13263,13263
221100,Page Garb (Altered),13271,13271
230000,Night's Cavalry Helm,13280,13280
230100,Night's Cavalry Armor,13281,13281
230200,Night's Cavalry Gauntlets,13282,13282
230300,Night's Cavalry Greaves,13283,13283
231000,Night's Cavalry Helm (Altered),13290,13290
231100,Night's Cavalry Armor (Altered),13291,13291
240000,Blue Silver Mail Hood,13300,13300
240100,Blue Silver Mail Armor,13301,13301
240200,Blue Silver Bracelets,13302,13302
240300,Blue Silver Mail Skirt,13303,13303
241100,Blue Silver Mail Armor (Altered),13311,13311
250000,Nomadic Merchant's Chapeau,13320,13320
250100,Nomadic Merchant's Finery,13321,13321
250300,Nomadic Merchant's Trousers,13323,13323
251100,Nomadic Merchant's Finery (Altered),13331,13331
260000,Malformed Dragon Helm,13340,13340
260100,Malformed Dragon Armor,13341,13341
260200,Malformed Dragon Gauntlets,13342,13342
260300,Malformed Dragon Greaves,13343,13343
270000,Tree Sentinel Helm,13350,13350
270100,Tree Sentinel Armor,13351,13351
270200,Tree Sentinel Gauntlets,13352,13352
270300,Tree Sentinel Greaves,13353,13353
271100,Tree Sentinel Armor (Altered),13361,13361
280000,Royal Knight Helm,13370,13370
280100,Royal Knight Armor,13371,13371
280200,Royal Knight Gauntlets,13372,13372
280300,Royal Knight Greaves,13373,13373
281100,Royal Knight Armor (Altered),13381,13381
290000,Nox Monk Hood,13390,13390
290100,Nox Monk Armor,13391,13391
290200,Nox Monk Bracelets,13392,13392
290300,Nox Monk Greaves,13393,13393
291000,Nox Monk Hood (Altered),13400,13400
291100,Nox Monk Armor (Altered),13401,13401
292000,Nox Swordstress Crown,13410,13410
292100,Nox Swordstress Armor,13411,13411
293000,Night Maiden Twin Crown,15460,15460
293100,Night Maiden Armor,15461,15461
294000,Nox Swordstress Crown (Altered),15470,15470
294100,Nox Swordstress Armor (Altered),15471,15471
300000,Great Horned Headband,13420,13420
300100,Fur Raiment,13421,13421
300300,Fur Leggings,13423,13423
301000,Shining Horned Headband,13425,13425
301100,Shaman Furs,13426,13426
301300,Shaman Leggings,13428,13428
310000,Duelist Helm,13430,13430
310100,Gravekeeper Cloak,13431,13431
310300,Duelist Greaves,13433,13433
311100,Gravekeeper Cloak (Altered),13441,13441
320000,Sanguine Noble Hood,13450,13450
320100,Sanguine Noble Robe,13451,13451
320300,Sanguine Noble Waistcloth,13453,13453
330000,Guardian Mask,13460,13460
330100,Guardian Garb (Full Bloom),13461,13461
330200,Guardian Bracers,13462,13462
330300,Guardian Greaves,13463,13463
331100,Guardian Garb,13471,13471
340000,Cleanrot Helm,13480,13480
340100,Cleanrot Armor,13481,13481
340200,Cleanrot Gauntlets,13482,13482
340300,Cleanrot Greaves,13483,13483
341000,Cleanrot Helm (Altered),13490,13490
341100,Cleanrot Armor (Altered),13491,13491
350000,Fire Monk Hood,13500,13500
350100,Fire Monk Armor,13501,13501
350200,Fire Monk Gauntlets,13502,13502
350300,Fire Monk Greaves,13503,13503
351000,Blackflame Monk Hood,13510,13510
351100,Blackflame Monk Armor,13511,13511
351200,Blackflame Monk Gauntlets,13512,13512
351300,Blackflame Monk Greaves,13513,13513
360000,Fire Prelate Helm,13520,13520
360100,Fire Prelate Armor,13521,13521
360200,Fire Prelate Gauntlets,13522,13522
360300,Fire Prelate Greaves,13523,13523
361100,Fire Prelate Armor (Altered),13531,13531
370000,Aristocrat Headband,13540,13540
370100,Aristocrat Garb,13541,13541
370300,Aristocrat Boots,13543,13543
371100,Aristocrat Garb (Altered),13551,13551
380000,Aristocrat Hat,13560,13560
380100,Aristocrat Coat,13561,13561
390000,Old Aristocrat Cowl,13570,13570
390100,Old Aristocrat Gown,13571,13571
390300,Old Aristocrat Shoes,13573,13573
420000,Vulgar Militia Helm,13600,13600
420100,Vulgar Militia Armor,13601,13601
420200,Vulgar Militia Gauntlets,13602,13602
420300,Vulgar Militia Greaves,13603,13603
430000,Sage Hood,13610,13610
430100,Sage Robe,13611,13611
430300,Sage Trousers,13613,13613
440000,Pumpkin Helm,13620,13620
460000,Elden Lord Crown,13650,13650
460100,Elden Lord Armor,13651,13651
460200,Elden Lord Bracers,13652,13652
460300,Elden Lord Greaves,13653,13653
461100,Elden Lord Armor (Altered),13661,13661
470000,Radahn's Redmane Helm,13670,13670
470100,Radahn's Lion Armor,13671,13671
470200,Radahn's Gauntlets,13672,13672
