Row ID;Row Name;disableParam_NT;disableParam_Debug;PlayMapId;RequireMapId0;RequireMapId1;RequireMapId2;RefCamPosHitPartsID;ClientDisableViewTimeForProgress;HitParts_0;HitParts_1
0;;0;0;0;0;0;0;-1;0;-1;-1;
10000010;;0;0;10000000;0;0;0;1200;75;20000;-1;
10000020;;1;0;10000000;0;0;0;14000;61;14000;-1;
10000030;;1;0;10000000;0;0;0;14000;57;14000;-1;
10000040;;1;0;10010000;0;0;0;-1;30;20100;-1;
10000050;;1;0;10000000;0;0;0;-1;5;-1;-1;
10010000;;1;0;10010000;0;0;0;-1;30;-1;-1;
10010001;;1;0;10010000;0;0;0;-1;30;-1;-1;
11000040;;1;0;11000000;0;0;0;20100;100;25100;-1;
11050010;;1;0;11050000;0;0;0;20100;110;25200;-1;
11050020;;1;0;11050000;0;0;0;20100;93;25000;-1;
12010000;;1;0;12010000;0;0;0;16200;34;16200;-1;
12010001;;1;0;12040000;0;0;0;20500;37;25000;-1;
12020000;;1;0;12020000;0;0;0;16700;46;25000;-1;
12020001;;1;0;12030000;0;0;0;2300;44;20000;-1;
12030010;;1;0;12030000;0;0;0;4800;34;4800;-1;
12030011;;1;0;12010000;0;0;0;6000;37;6000;-1;
12030020;;1;0;12030000;0;0;0;-1;4;-1;-1;
12030021;;1;0;12030000;0;0;0;-1;3;-1;-1;
12050020;;1;0;12050000;0;0;0;5900;101;20000;-1;
12060000;;1;0;60354200;0;0;0;354201;57;-1;-1;
13000010;;1;0;13000000;0;0;0;-1;104;20000;-1;
13000040;;1;0;13000000;0;0;0;17000;73;20200;-1;
13000050;;1;0;13000000;0;0;0;-1;30;-1;-1;
13000060;;1;0;11050000;0;0;0;-1;30;-1;-1;
14000000;;1;0;14000000;0;0;0;9100;63;9100;-1;
14000010;;1;0;14000000;0;0;0;9100;96;9100;-1;
15000000;;1;0;15000000;0;0;0;15000;114;25000;-1;
15000010;;1;0;15000000;0;0;0;15000;103;25100;-1;
16000000;;1;0;16000000;0;0;0;7500;51;19000;-1;
16000010;;1;0;16000000;0;0;0;-1;14;-1;-1;
16000020;;1;0;16000000;0;0;0;16000;78;18000;-1;
19000000;;1;0;19000000;0;0;0;900000;88;20100;-1;
19000010;;1;0;19000000;0;0;0;-1;30;-1;-1;
19000011;;1;0;11710000;0;0;0;-1;30;100;-1;
19000020;;1;0;19000000;0;0;0;-1;30;-1;-1;
19000021;;1;0;19000000;0;0;0;-1;30;20200;-1;
19000030;;1;0;19000000;0;0;0;-1;30;20300;-1;
19000031;;1;0;19000000;0;0;0;-1;30;20300;-1;
19000040;;1;0;19000000;0;0;0;900000;93;25300;-1;
19000050;;1;0;19000000;0;0;0;-1;30;-1;-1;
19000060;;1;0;19000000;0;0;0;-1;30;-1;-1;
19000061;;1;0;11710000;0;0;0;-1;30;100;-1;
19000070;;1;0;19000000;0;0;0;-1;30;-1;-1;
19000071;;1;0;11710000;0;0;0;-1;30;300;-1;
19000080;;1;0;19000000;0;0;0;-1;30;-1;-1;
19000081;;1;0;11710000;0;0;0;-1;30;100;-1;
31000000;;1;0;31000000;0;0;0;-1;18;-1;-1;
31000001;;1;0;31000000;0;0;0;-1;18;-1;-1;
34110000;;1;0;34110000;0;0;0;-1;42;100;-1;
34110001;;1;0;34110000;0;0;0;-1;34;100;-1;
34110010;;1;0;34110000;0;0;0;-1;26;900;-1;
35000000;;1;0;35000000;0;0;0;-1;103;9000;-1;
35000010;;1;0;35000000;0;0;0;-1;19;-1;-1;
35000020;;1;0;35000000;0;0;0;-1;35;-1;-1;
60370000;;1;0;60375400;0;0;0;375400;40;-1;-1;
60380000;;1;0;60385000;0;0;0;-1;30;-1;-1;
60380001;;1;0;60385000;0;0;0;-1;30;-1;-1;
60380010;;1;0;60385000;0;0;0;-1;30;-1;-1;
60380011;;1;0;60385000;0;0;0;-1;30;-1;-1;
60420000;;0;0;60423600;0;0;0;-1;30;-1;-1;
60420001;;0;0;60433700;0;0;0;-1;30;-1;-1;
60420002;;1;0;60463800;0;0;0;-1;30;-1;-1;
60420003;;0;0;60413800;0;0;0;-1;30;-1;-1;
60420004;;0;0;60443500;0;0;0;-1;30;-1;-1;
60420005;;0;0;60423700;0;0;0;-1;30;-1;-1;
60420006;;1;0;60443400;0;0;0;-1;30;-1;-1;
60420007;;0;0;60433500;0;0;0;-1;30;-1;-1;
60430000;;1;0;18000000;0;0;0;1300;30;20000;-1;
60490000;;1;0;60495300;0;0;0;-1;30;-1;-1;
60490001;;1;0;60495300;0;0;0;-1;30;-1;-1;
60490010;;1;0;60495300;0;0;0;-1;30;-1;-1;
60490011;;1;0;60495300;0;0;0;-1;30;-1;-1;
60490020;;1;0;60495300;0;0;0;-1;30;-1;-1;
60490021;;1;0;60495300;0;0;0;-1;30;-1;-1;
60490030;;1;0;60495300;0;0;0;-1;30;-1;-1;
60490031;;1;0;60495300;0;0;0;-1;30;-1;-1;
60500000;;1;0;60503800;0;0;0;-1;11;-1;-1;
60510000;;1;0;60513600;0;0;0;-1;66;-1;-1;
60510010;;1;0;60523900;0;0;0;523900;30;-1;-1;
60510011;;1;0;60513800;0;0;0;513801;30;-1;-1;
60520010;;1;0;60525300;0;0;0;525200;62;-1;-1;
60540000;;1;0;60545300;0;0;0;-1;30;-1;-1;
60540001;;1;0;60545300;0;0;0;-1;30;-1;-1;
60540010;;1;0;13000000;0;0;0;-1;30;20100;-1;
60540011;;1;0;13000000;0;0;0;-1;30;20100;-1;
