Row ID;Row Name;disableParam_NT;mapRegionId
10000000;;0;1000;
10010000;;1;1001;
11000000;;1;1100;
11050000;;1;1105;
11100000;;1;1110;
11710000;;1;1171;
12010000;;1;1201;
12020000;;1;1202;
12030000;;1;1203;
12040000;;1;1204;
12050000;;1;1205;
12060000;;1;1206;
12070000;;1;1207;
12080000;;1;1208;
13000000;;1;1300;
14000000;;1;1400;
15000000;;1;1500;
16000000;;1;1600;
18000000;;0;1800;
19000000;;1;1900;
30000000;;1;3000;
30010000;;1;3001;
30020000;;0;3002;
30030000;;1;3003;
30040000;;0;3004;
30050000;;1;3005;
30060000;;1;3006;
30070000;;1;3007;
30080000;;1;3008;
30090000;;1;3009;
30100000;;1;3010;
30110000;;1;3011;
30120000;;1;3012;
30130000;;1;3013;
30140000;;1;3014;
30150000;;1;3015;
30160000;;1;3016;
30170000;;1;3017;
30180000;;1;3018;
30190000;;1;3019;
30200000;;1;3020;
31000000;;1;3100;
31010000;;1;3101;
31020000;;1;3102;
31030000;;0;3103;
31040000;;1;3104;
31050000;;1;3105;
31060000;;1;3106;
31070000;;1;3107;
31080000;;1;3108;
31090000;;1;3109;
31100000;;1;3110;
31110000;;1;3111;
31120000;;1;3112;
31130000;;1;3113;
31140000;;1;3114;
31150000;;0;3115;
31170000;;1;3117;
31180000;;1;3118;
31190000;;1;3119;
31200000;;1;3120;
31210000;;1;3121;
31220000;;1;3122;
32000000;;1;3200;
32010000;;0;3201;
32020000;;1;3202;
32030000;;1;3203;
32040000;;1;3204;
32050000;;1;3205;
32060000;;1;3206;
32070000;;1;3207;
32080000;;1;3208;
32090000;;1;3209;
32100000;;1;3210;
32110000;;1;3211;
32120000;;1;3212;
34100000;;1;3410;
34110000;;1;3411;
34120000;;1;3412;
34130000;;1;3413;
34140000;;1;3414;
34150000;;1;3415;
34160000;;1;3416;
35000000;;1;3500;
39200000;;1;3920;
50523700;;1;31;
60081002;;1;10;
60081102;;1;10;
60081202;;1;10;
60091002;;1;10;
60091102;;1;10;
60182401;;1;10;
60191901;;1;10;
60192401;;1;10;
60202001;;1;10;
60202201;;1;10;
60232001;;1;30;
60241801;;1;30;
60241901;;1;30;
60242001;;1;30;
60251701;;1;30;
60251801;;1;30;
60251901;;1;30;
60252001;;1;30;
60252101;;1;30;
60252201;;1;30;
60261701;;1;30;
60261801;;1;31;
60261901;;1;31;
60262001;;1;30;
60262101;;1;30;
60262201;;1;30;
60345200;;1;21;
60345300;;1;21;
60345400;;1;21;
60345500;;1;21;
60355200;;1;21;
60355300;;1;21;
60355400;;1;21;
60355500;;1;21;
60365000;;1;10;
60365100;;1;20;
60365200;;1;21;
60365300;;1;21;
60365400;;1;21;
60365500;;1;21;
60375000;;1;10;
60375100;;1;20;
60375200;;1;21;
60375300;;1;21;
60375400;;1;21;
60375500;;1;21;
60385000;;1;10;
60385100;;1;20;
60385200;;1;20;
60385300;;1;21;
60385400;;1;21;
60385500;;1;21;
60395000;;1;20;
60395100;;1;20;
60395200;;1;20;
60395300;;1;20;
60395400;;1;20;
60395500;;1;20;
60405000;;1;20;
60405100;;1;20;
60405200;;1;20;
60405300;;1;20;
60405400;;1;20;
60405500;;1;20;
60414900;;1;20;
60415000;;1;20;
60415100;;1;20;
60415200;;1;20;
60415300;;1;20;
60415400;;1;20;
60415500;;1;20;
60424900;;1;20;
60425000;;1;20;
60425100;;1;20;
60425200;;1;20;
60425300;;1;20;
60425400;;1;20;
