Row ID;Row Name;disableParam_NT;msgId;voiceId;spEffectId0;motionId0;spEffectId1;motionId1;returnPos;reactionId;eventId;msgId_female;voiceId_female;lipSyncStart;lipSyncTime;timeout;talkAnimationId;isForceDisp
100;(dummyText);1;100;2000000;-1;-1;-1;-1;0;-1;-1;200;-1;-1;-1;-1;-1;0;
200;(dummyText);1;200;-1;-1;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;0;
1400000;The fallen leaves tell a story.;1;14000000;14000000;-1;-1;-1;-1;0;-1;-1;14000000;14000000;-1;-1;-1;-1;0;
1400010;The great Elden Ring was shattered.;1;14000100;14000100;-1;-1;-1;-1;0;-1;-1;14000100;14000100;-1;-1;-1;-1;0;
1400020;In our home, across the fog, the Lands Between.;1;14000200;14000200;-1;-1;-1;-1;0;-1;-1;14000200;14000200;-1;-1;-1;-1;0;
1400030;Now, Queen Marika the Eternal is nowhere to be found,;1;14000300;14000300;-1;-1;-1;-1;0;-1;-1;14000300;14000300;-1;-1;-1;-1;0;
1400040;and in the Night of the Black Knives, Godwyn the Golden was first to perish.;1;14000400;14000400;-1;-1;-1;-1;0;-1;-1;14000400;14000400;-1;-1;-1;-1;0;
1400050;Soon, Marika's offspring, demigods all, claimed the shards of the Elden Ring.;1;14000500;14000500;-1;-1;-1;-1;0;-1;-1;14000500;14000500;-1;-1;-1;-1;0;
1400060;The mad taint of their newfound strength triggered the Shattering.;1;14000600;14000600;-1;-1;-1;-1;0;-1;-1;14000600;14000600;-1;-1;-1;-1;0;
1400080;A war from which no lord arose.;1;14000800;14000800;-1;-1;-1;-1;0;-1;-1;14000800;14000800;-1;-1;-1;-1;0;
1400090;A war leading to abandonment by the Greater Will.;1;14000900;14000900;-1;-1;-1;-1;0;-1;-1;14000900;14000900;-1;-1;-1;-1;0;
1500000;Arise now, ye Tarnished.;1;15000000;15000000;-1;-1;-1;-1;0;-1;-1;15000000;15000000;-1;-1;-1;-1;0;
1500010;Ye dead, who yet live.;1;15000100;15000100;-1;-1;-1;-1;0;-1;-1;15000100;15000100;-1;-1;-1;-1;0;
1500020;The call of long-lost grace speaks to us all.;1;15000200;15000200;-1;-1;-1;-1;0;-1;-1;15000200;15000200;-1;-1;-1;-1;0;
1500030;Hoarah Loux, chieftain of the badlands.;1;15000300;15000300;-1;-1;-1;-1;0;-1;-1;15000300;15000300;-1;-1;-1;-1;0;
1500040;The ever-brilliant Goldmask.;1;15000400;15000400;-1;-1;-1;-1;0;-1;-1;15000400;15000400;-1;-1;-1;-1;0;
1500050;Fia, the Deathbed Companion.;1;15000500;15000500;-1;-1;-1;-1;0;-1;-1;15000500;15000500;-1;-1;-1;-1;0;
1500060;The loathsome Dung Eater.;1;15000600;15000600;-1;-1;-1;-1;0;-1;-1;15000600;15000600;-1;-1;-1;-1;0;
1500070;And Sir Gideon Ofnir, the All-knowing.;1;15000700;15000700;-1;-1;-1;-1;0;-1;-1;15000700;15000700;-1;-1;-1;-1;0;
1500080;<blank>;1;15000800;15000800;-1;-1;-1;-1;0;-1;-1;15000800;15000800;-1;-1;-1;-1;0;
2001500;Don't worry Torrent, fortune is on his side.;0;20015000;20015000;-1;-1;-1;-1;0;-1;-1;20015001;20015001;-1;-1;-1;-1;0;
2001510;We found him here, after all.;0;20015100;20015100;-1;-1;-1;-1;0;-1;-1;20015101;20015101;-1;-1;-1;-1;0;
2001520;One of his kind is sure to seek the Elden Ring.;0;20015200;20015200;-1;-1;-1;-1;0;-1;-1;20015201;20015201;-1;-1;-1;-1;0;
2001530;...Even if it does violate the Golden Order...;0;20015300;20015300;-1;-1;-1;-1;0;-1;-1;20015300;20015300;-1;-1;-1;-1;0;
2001900;<blank>;0;20019000;20019000;-1;-1;-1;-1;0;-1;-1;20019000;20019000;-1;-1;-1;-1;0;
2003000;Foul Tarnished,;0;20030000;20030000;-1;-1;-1;-1;0;-1;-1;20030000;20030000;-1;-1;-1;-1;0;
2003010;In search of the Elden Ring.;0;20030100;20030100;-1;-1;-1;-1;0;-1;-1;20030100;20030100;-1;-1;-1;-1;0;
2003020;Emboldened by the flame of ambition.;0;20030200;20030200;-1;-1;-1;-1;0;-1;-1;20030200;20030200;-1;-1;-1;-1;0;
2003030;Hrah!;0;20030300;20030300;-1;-1;-1;-1;0;-1;-1;20030300;20030300;-1;-1;-1;-1;0;
2003040;Someone must extinguish thy flame.;0;20030400;20030400;-1;-1;-1;-1;0;-1;-1;20030400;20030400;-1;-1;-1;-1;0;
2003050;Let it be Margit the Fell!;0;20030500;20030500;-1;-1;-1;-1;0;-1;-1;20030500;20030500;-1;-1;-1;-1;0;
2003900;<blank>;0;20039000;20039000;-1;-1;-1;-1;0;-1;-1;20039000;20039000;-1;-1;-1;-1;0;
2004000;Mighty dragon, thou'rt a trueborn heir.;0;20040000;20040000;-1;-1;-1;-1;0;-1;-1;20040000;20040000;-1;-1;-1;-1;0;
2004010;Lend me thy strength, o kindred.;0;20040100;20040100;-1;-1;-1;-1;0;-1;-1;20040100;20040100;-1;-1;-1;-1;0;
2004020;Deliver me unto greater heights.;0;20040200;20040200;-1;-1;-1;-1;0;-1;-1;20040200;20040200;-1;-1;-1;-1;0;
2004030;...Well.;0;20040300;20040300;-1;-1;-1;-1;0;-1;-1;20040300;20040300;-1;-1;-1;-1;0;
2004040;A lowly Tarnished,;0;20040400;20040400;-1;-1;-1;-1;0;-1;-1;20040400;20040400;-1;-1;-1;-1;0;
2004041;playing as a lord.;0;20040410;20040410;-1;-1;-1;-1;0;-1;-1;20040410;20040410;-1;-1;-1;-1;0;
2004050;I command thee, kneel!;0;20040500;20040500;-1;-1;-1;-1;0;-1;-1;20040500;20040500;-1;-1;-1;-1;0;
2004060;I am the lord of all that is golden!;0;20040600;20040600;-1;-1;-1;-1;0;-1;-1;20040600;20040600;-1;-1;-1;-1;0;
2004900;<blank>;0;20049000;20049000;-1;-1;-1;-1;0;-1;-1;20049000;20049000;-1;-1;-1;-1;0;
