Row ID;Row Name;regionType;category;dummyPoly1;dummyPoly2;radius;angle;depth;width;height;baseHeightOffset;angleCheckType;allowAngle;spotDummyPoly;textBoxType;isInvalidForRide;isGrayoutForRide;isInvalidForCrouching;isGrayoutForCrouching;textId;invalidFlag;grayoutFlag;overrideActionButtonIdForRide;execInvalidTime
0;;0;0;1;1;1;1;1;1;1;1;0;1;-1;0;0;0;0;0;-1;1;1;-1;1;
1;;0;0;-1;-1;0;180;0;0;0;0;0;180;-1;0;0;0;0;0;-1;0;0;-1;0;
1000;Retrieve lost runes;0;0;-1;-1;1.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;50000200;0;0;-1;3;
1010;;0;0;-1;-1;1.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;50000205;0;0;-1;3;
1020;Touch bloodstain;0;8;-1;-1;1;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;50000100;0;0;-1;3;
1050;;0;5;-1;-1;1.5;180;0;0;3;-2.25;0;180;-1;0;0;1;0;1;1850;201;0;-1;3;
1100;Ride;0;12;-1;-1;0;180;0;0;0;0;0;180;-1;0;0;1;0;1;8100;6001;0;-1;3;
2000;Touch gold summon sign;0;7;-1;-1;1;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;50000000;0;0;-1;3;
2001;Touch red summon sign;0;7;-1;-1;1;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;50000001;0;0;-1;3;
2010;Check your summon sign;0;6;-1;-1;1;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;50000400;0;0;-1;3;
3000;Read message;0;10;-1;-1;1.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;50000210;0;0;-1;3;
3010;Check your message;0;9;-1;-1;1.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;50000500;0;0;-1;3;
3020;Read message;0;10;-1;-1;1;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;50000210;0;0;-1;3;
4000;Pick up item;0;3;-1;-1;1.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;2000;0;0;-1;0;
4100;Pillage corpse;0;2;-1;-1;1.5;180;0;0;2.4;-1;0;180;-1;0;0;0;0;0;2010;0;0;-1;0;
4110;Pick up item;0;2;-1;-1;1.5;180;0;0;2.4;-1;0;180;-1;0;0;0;0;0;2000;0;0;-1;0;
4200;Pillage remains;0;2;-1;-1;1.5;180;0;0;1.5;-0.75;0;180;90;0;0;0;0;0;2020;0;0;-1;0;
4201;Pillage remains;0;2;-1;-1;1.5;180;0;0;2.5;-1.75;0;180;90;0;0;0;0;0;2020;0;0;-1;0;
4202;Pillage remains;0;2;90;-1;1.5;180;0;0;1.5;-0.75;0;180;90;0;0;0;0;0;2020;0;0;-1;0;
4250;Pick up item;0;2;-1;-1;1.5;180;0;0;1.5;-0.75;0;180;90;0;0;0;0;0;2000;0;0;-1;0;
4251;Pick up item;0;2;-1;-1;1.5;180;0;0;2;-1.25;0;180;90;0;0;0;0;0;2000;0;0;-1;0;
4252;Pick up item;0;2;-1;-1;2;180;0;0;2;-2.5;0;180;90;0;0;0;0;0;2000;0;0;-1;0;
4253;Pick up item;0;2;-1;-1;2;180;0;0;3.5;-2.5;0;180;90;0;0;0;0;0;2000;0;0;-1;0;
4260;Pick up item;0;2;90;-1;2;180;0;0;2.5;-1.75;0;60;90;0;0;0;0;0;2000;0;0;-1;0;
4270;Pick up item;0;2;90;-1;2;180;0;0;3.5;-2.5;0;60;90;0;0;0;0;0;2000;0;0;-1;0;
4280;Pick up item;0;2;90;-1;2.1;180;0;0;2.5;-1.8;0;60;90;0;0;0;0;0;2000;0;0;-1;0;
4300;Search treasure chest;0;2;-1;-1;1.5;180;0;0;1;-0.25;0;180;90;0;0;0;0;0;2030;0;0;-1;0;
4350;Pick up item;0;2;-1;-1;1.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;2000;0;0;-1;0;
4400;OK;0;1;-1;-1;1.5;180;0;0;1;-0.25;0;180;-1;0;0;0;0;0;2100;0;0;-1;0.3;
5000;Climb;0;5;195;-1;1.5;90;0;0;0.5;-0.25;0;45;-1;0;0;1;0;1;3300;0;0;-1;3;
5010;Descend;0;5;194;-1;1.5;90;0;0;0.5;-0.25;0;45;-1;0;0;1;0;1;3301;0;0;-1;3;
6000;Talk;0;4;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7000;0;0;-1;3;
6001;Talk;0;11;-1;-1;1.2;180;0;0;1;-0.25;0;90;-1;0;0;0;0;0;7000;0;0;-1;0.51;
6100;Touch grace;0;5;-1;-1;1.5;180;0;0;3;-2.25;0;180;-1;0;0;1;0;0;1800;0;0;-1;3;
6101;Rest at site of grace;0;5;-1;-1;1.5;180;0;0;3;-2.25;0;180;-1;0;0;1;0;0;1810;0;0;-1;3;
6102;Rest at table of lost grace;0;5;-1;-1;5.25;180;0;0;0.6;0.05;0;90;-1;0;0;1;0;0;1830;0;0;-1;3;
6103;Rest at table of lost grace;0;5;-1;-1;5.25;180;0;0;0.6;0.05;0;90;-1;0;0;1;0;0;1830;0;0;-1;3;
6200;Talk;0;4;-1;-1;4.5;180;0;0;1;-0.25;0;90;-1;0;0;1;0;0;7000;0;0;-1;3;
6210;Talk;0;4;-1;-1;3.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7000;0;0;-1;3;
6220;Talk;0;5;-1;-1;6.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7000;0;0;-1;3;
6221;Hand over Deathroot;0;4;-1;-1;6.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7060;0;0;-1;3;
6222;Talk;0;4;-1;-1;7.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7000;0;0;-1;3;
6230;Touch Hyetta;0;2;-1;-1;2.5;45;0;0;2;-1;0;90;-1;0;0;1;0;0;7150;0;0;-1;3;
6231;Examine;0;4;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;1000;0;0;-1;3;
6240;Talk;0;4;-1;-1;8.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7000;0;0;-1;3;
6250;Use smithing table;0;4;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7030;0;0;-1;3;
6260;Talk;0;4;-1;-1;2.5;180;0;0;3.5;-2.5;0;90;-1;0;0;1;0;0;7000;0;0;-1;3;
6270;Talk;0;4;-1;-1;3.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7000;0;0;-1;3;
6271;Talk;0;4;-1;-1;15.5;180;0;0;5.5;-3.5;0;90;-1;0;0;1;0;0;7000;0;0;-1;3;
6280;Talk;0;4;-1;-1;2;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7000;0;0;-1;3;
6290;Accept primal glintstone;0;4;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7090;0;0;-1;3;
6291;Accept primal glintstone;0;4;-1;-1;3.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7000;0;0;-1;3;
6292;Transplant primal glintstone;0;4;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7100;0;0;-1;3;
6300;Talk;0;4;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7000;0;0;-1;3;
6310;Touch Fractured Marika;0;4;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7050;0;0;-1;3;
6320;Examine;0;4;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7080;0;0;-1;3;
6321;Touch the Two Fingers;0;4;-1;-1;3;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7120;0;0;-1;3;
6330;Be held;0;4;-1;-1;2.5;90;0;0;2;-1;0;90;-1;0;0;1;0;0;7110;0;0;-1;3;
6331;Touch Fia;0;4;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7111;0;0;-1;3;
6332;Talk;0;4;-1;-1;2.5;90;0;0;2;-1;0;90;-1;0;0;1;0;0;7000;0;0;-1;3;
6333;;0;4;-1;-1;2.5;50;0;0;2;-1;0;90;-1;0;0;1;0;0;7000;0;0;-1;3;
6340;Summon Latenna;0;4;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7130;0;0;-1;3;
6350;Examine;0;4;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7140;0;0;-1;3;
6360;Talk;0;4;-1;-1;6;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7000;0;0;-1;3;
6361;Pick up item;0;2;-1;-1;3;180;0;0;2.5;-1.75;0;180;-1;0;0;1;0;0;2000;0;0;-1;0;
6370;Atone;0;4;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7170;0;0;-1;3;
6380;Use dressing table;0;4;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7190;0;0;-1;3;
6390;Speak the truth about Radagon;0;4;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7200;0;0;-1;3;
6400;Talk;0;4;-1;-1;2.5;180;0;0;1;-0.25;0;90;-1;0;0;1;0;0;7000;0;0;-1;3;
6410;Administer draught;0;4;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7211;0;0;-1;3;
6411;Administer draught;0;2;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7211;0;0;-1;3;
6412;Administer draught;0;5;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7211;0;0;-1;3;
6413;Where did the body go?;0;4;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7210;0;0;-1;3;
6414;Talk;0;4;-1;-1;2.5;180;0;0;3;-2;0;90;-1;0;0;1;0;0;7000;0;0;-1;3;
6420;Examine;0;4;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7220;0;0;-1;3;
6430;Examine remains;0;4;270;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7230;0;0;-1;3;
6440;Receive mending rune;0;2;-1;-1;1.5;180;0;0;1;-0.25;0;180;-1;0;0;1;0;0;7242;0;0;-1;0;
6450;Receive mending rune;0;2;-1;-1;1.5;180;0;0;1;-0.25;0;180;-1;0;0;1;0;0;7240;0;0;-1;0;
6460;Receive mending rune;0;2;-1;-1;1.5;180;0;0;2;-1;0;180;-1;0;0;1;0;0;7241;0;0;-1;0;
6470;Offer finger;0;4;-1;-1;2.5;90;0;0;2;-1;0;45;-1;0;0;1;0;0;7160;0;0;-1;3;
6471;Dye cloth with maiden's blood;0;2;-1;-1;1.5;180;0;0;1.5;-0.75;0;180;-1;0;0;1;0;0;7161;0;0;-1;0;
6472;Dye cloth with maiden's blood;0;2;-1;-1;1.5;180;0;0;1.5;-0.75;0;180;-1;0;0;1;0;0;7162;0;0;-1;0;
6480;Talk;0;4;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7180;0;0;-1;3;
6490;Talk;0;4;-1;-1;4;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7000;0;0;-1;3;
6500;Talk;0;4;-1;-1;3.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7000;0;0;-1;3;
6510;;0;2;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7260;0;0;-1;3;
6511;Touch bloodstain;0;8;-1;-1;1.5;180;0;0;1.5;-0.75;0;180;-1;0;0;0;0;0;50000100;0;0;-1;3;
6519;Return Unalloyed Gold Needle;0;4;-1;-1;11;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7250;0;0;-1;3;
6520;;1;5;-1;-1;0;180;2.2;0.5;3;-2.25;0;180;-1;0;0;1;0;1;10010530;0;0;-1;3;
6521;;1;5;-1;-1;0;180;2.8;0.8;3;-2.25;0;180;-1;0;0;1;0;1;10010530;0;0;-1;3;
6522;;1;5;-1;-1;0;180;3.5;1;3;-2.25;0;180;-1;0;0;1;0;1;10010530;0;0;-1;3;
6523;;1;5;-1;-1;0;180;4.5;1.4;3;-2.25;0;180;-1;0;0;1;0;1;10010530;0;0;-1;3;
6530;;1;5;-1;-1;0;180;4.5;1.4;3;-2.25;0;180;-1;0;0;1;0;1;10010550;0;0;-1;3;
6531;;1;5;-1;-1;0;180;4.5;1.4;3;-2.25;0;180;-1;0;0;1;0;1;10010551;0;0;-1;3;
6532;;1;5;-1;-1;0;180;4.5;1.4;3;-2.25;0;180;-1;0;0;1;0;1;10010552;0;0;-1;3;
6533;;1;5;-1;-1;0;180;4.5;1.4;3;-2.25;0;180;-1;0;0;1;0;1;10010553;0;0;-1;3;
6534;;1;5;-1;-1;0;180;4.5;1.4;3;-2.25;0;180;-1;0;0;1;0;1;10010554;0;0;-1;3;
6540;Talk;0;4;-1;-1;2.5;115;0;0;2;-1;0;90;-1;0;0;1;0;0;7000;0;0;-1;3;
6550;;0;5;-1;-1;2;180;0;0;2;-1;0;180;-1;0;0;1;0;1;99994005;0;0;-1;3;
6560;;0;5;-1;-1;2;180;0;0;2;-1;0;180;-1;0;0;1;0;1;99992005;0;0;-1;3;
6570;Talk;0;4;-1;-1;40;40;0;0;13.5;-8;0;45;-1;0;0;1;0;0;7000;0;0;-1;3;
6580;Examine altar;0;4;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7270;0;0;-1;3;
6590;Examine grave;0;4;-1;-1;2.5;180;0;0;2;-1;0;90;-1;0;0;1;0;0;7280;0;0;-1;3;
6600;Talk;0;4;-1;-1;1.5;180;0;0;1.5;-0.55;0;180;-1;0;0;1;0;1;7000;0;0;-1;3;
6700;Examine;0;4;-1;-1;2;180;0;0;1;-0.25;0;180;-1;0;0;1;0;1;1000;0;0;-1;3;
7100;Open;0;5;100;-1;1.2;90;0;0;1;-0.25;0;90;-1;0;0;1;0;1;3100;0;0;-1;3;
