Row ID;Row Name;lerpMode;h;s1;v1;s2;v2;s3;v3
0;;0;0;1;1;1;1;1;1;
1001;;1;0;0.8;1;0.1;1;0.8;0.1;
1002;;1;30;0.8;1;0.1;1;0.8;0.1;
1003;;1;60;0.8;1;0.1;1;0.8;0.1;
1004;;1;90;0.8;1;0.1;1;0.8;0.1;
1005;;1;120;0.8;1;0.1;1;0.8;0.1;
1006;;1;150;0.8;1;0.1;1;0.8;0.1;
1007;;1;180;0.8;1;0.1;1;0.8;0.1;
1008;;1;210;0.8;1;0.1;1;0.8;0.1;
1009;;1;240;0.8;1;0.1;1;0.8;0.1;
1010;;1;270;0.8;1;0.1;1;0.8;0.1;
1011;;1;300;0.8;1;0.1;1;0.8;0.1;
1012;;1;330;0.8;1;0.1;1;0.8;0.1;
1013;;2;0;0;1;0;0;1;1;
1101;;1;5;0.25;0.9;0.25;0.5;0.45;0.1;
1102;;1;5;0.35;0.9;0.35;0.5;0.55;0.1;
1103;;1;5;0.45;0.9;0.45;0.5;0.65;0.1;
1104;;1;15;0.25;0.9;0.25;0.5;0.45;0.1;
1105;;1;15;0.35;0.9;0.35;0.5;0.55;0.1;
1106;;1;15;0.45;0.9;0.45;0.5;0.65;0.1;
1107;;1;23;0.25;0.9;0.25;0.5;0.45;0.1;
1108;;1;23;0.35;0.9;0.35;0.5;0.55;0.1;
1109;;1;23;0.45;0.9;0.45;0.5;0.65;0.1;
1110;;1;30;0.25;0.9;0.25;0.5;0.45;0.1;
1111;;1;30;0.35;0.9;0.35;0.5;0.55;0.1;
1112;;1;30;0.45;0.9;0.45;0.5;0.65;0.1;
1113;;2;0;0;0.9;0;0.05;1;1;
1201;;2;50;0.25;1;0.25;0.05;1;1;
1202;;2;50;0.35;1;0.35;0.05;1;1;
1203;;2;50;0.45;1;0.45;0.05;1;1;
1204;;2;30;0.25;1;0.25;0.05;1;1;
1205;;2;30;0.35;1;0.35;0.05;1;1;
1206;;2;30;0.45;1;0.45;0.05;1;1;
1207;;2;15;0.25;1;0.25;0.05;1;1;
1208;;2;15;0.35;1;0.35;0.05;1;1;
1209;;2;15;0.45;1;0.45;0.05;1;1;
1210;;2;5;0.25;1;0.25;0.05;1;1;
1211;;2;5;0.35;1;0.35;0.05;1;1;
1212;;2;5;0.45;1;0.45;0.05;1;1;
1213;;2;0;0;1;0;0;1;1;
1301;;1;0;0.8;1;0.1;1;0.8;0.1;
1302;;1;30;0.8;1;0.1;1;0.8;0.1;
1303;;1;60;0.8;1;0.1;1;0.8;0.1;
1304;;1;90;0.8;1;0.1;1;0.8;0.1;
1305;;1;120;0.8;1;0.1;1;0.8;0.1;
1306;;1;150;0.8;1;0.1;1;0.8;0.1;
1307;;1;180;0.8;1;0.1;1;0.8;0.1;
1308;;1;210;0.8;1;0.1;1;0.8;0.1;
1309;;1;240;0.8;1;0.1;1;0.8;0.1;
1310;;1;270;0.8;1;0.1;1;0.8;0.1;
1311;;1;300;0.8;1;0.1;1;0.8;0.1;
1312;;1;330;0.8;1;0.1;1;0.8;0.1;
1313;;2;0;0;1;0;0;1;1;
1401;;1;0;0.8;1;0.1;1;0.8;0.1;
1402;;1;30;0.8;1;0.1;1;0.8;0.1;
1403;;1;60;0.8;1;0.1;1;0.8;0.1;
1404;;1;90;0.8;1;0.1;1;0.8;0.1;
1405;;1;120;0.8;1;0.1;1;0.8;0.1;
1406;;1;150;0.8;1;0.1;1;0.8;0.1;
1407;;1;180;0.8;1;0.1;1;0.8;0.1;
1408;;1;210;0.8;1;0.1;1;0.8;0.1;
1409;;1;240;0.8;1;0.1;1;0.8;0.1;
1410;;1;270;0.8;1;0.1;1;0.8;0.1;
1411;;1;300;0.8;1;0.1;1;0.8;0.1;
1412;;1;330;0.8;1;0.1;1;0.8;0.1;
1413;;2;0;0;1;0;0;1;1;
1421;;1;0;0.8;1;0.1;1;0.8;0.1;
1422;;1;30;0.8;1;0.1;1;0.8;0.1;
1423;;1;60;0.8;1;0.1;1;0.8;0.1;
1424;;1;90;0.8;1;0.1;1;0.8;0.1;
1425;;1;120;0.8;1;0.1;1;0.8;0.1;
1426;;1;150;0.8;1;0.1;1;0.8;0.1;
1427;;1;180;0.8;1;0.1;1;0.8;0.1;
1428;;1;210;0.8;1;0.1;1;0.8;0.1;
1429;;1;240;0.8;1;0.1;1;0.8;0.1;
1430;;1;270;0.8;1;0.1;1;0.8;0.1;
1431;;1;300;0.8;1;0.1;1;0.8;0.1;
1432;;1;330;0.8;1;0.1;1;0.8;0.1;
1433;;2;0;0;1;0;0;1;1;
1441;;1;0;0.8;1;0.1;1;0.8;0.1;
1442;;1;30;0.8;1;0.1;1;0.8;0.1;
