Row ID;Row Name;stayId;walkF;walkB;walkL;walkR;dashF;dashB;dashL;dashR;superDash;escapeF;escapeB;escapeL;escapeR;turnL;trunR;largeTurnL;largeTurnR;stepMove;flyStay;flyWalkF;flyWalkFL;flyWalkFR;flyWalkFL2;flyWalkFR2;flyDashF;flyDashFL;flyDashFR;flyDashFL2;flyDashFR2;dashEscapeF;dashEscapeB;dashEscapeL;dashEscapeR;analogMoveParamId;turnNoAnimAngle;turn45Angle;turn90Angle;turnWaitNoAnimAngle
0;;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;180;180;180;180;
1;;0;200;201;202;203;500;501;502;503;510;705;706;707;708;602;603;604;605;681;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;900;-1;-1;-1;-1;0;0;0;0;
5;;0;300;301;302;303;550;551;552;553;760;710;711;712;713;602;603;604;605;690;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;900;-1;-1;-1;-1;0;0;0;0;
6;;0;300;301;302;303;550;551;552;553;760;715;716;717;718;602;603;604;605;691;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;900;-1;-1;-1;-1;0;0;0;0;
10;;0;310;311;312;313;560;561;562;563;770;720;721;722;723;602;603;604;605;695;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;900;-1;-1;-1;-1;0;0;0;0;
15;;0;310;311;312;313;-1;-1;-1;-1;-1;730;731;732;733;602;603;604;605;696;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;900;-1;-1;-1;-1;0;0;0;0;
16;;0;200;201;202;203;500;501;502;503;510;735;736;737;738;602;603;604;605;697;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;900;-1;-1;-1;-1;0;0;0;0;
20;;0;200;201;202;203;-1;-1;-1;-1;-1;700;701;702;703;602;603;604;605;680;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;900;-1;-1;-1;-1;0;0;0;0;
21;;0;200;201;202;203;-1;-1;-1;-1;-1;705;706;707;708;602;603;604;605;681;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;900;-1;-1;-1;-1;0;0;0;0;
25;;0;300;301;302;303;-1;-1;-1;-1;-1;710;711;712;713;602;603;604;605;690;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;900;-1;-1;-1;-1;0;0;0;0;
26;;0;300;301;302;303;-1;-1;-1;-1;-1;715;716;717;718;602;603;604;605;691;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;900;-1;-1;-1;-1;0;0;0;0;
30;;0;310;311;312;313;-1;-1;-1;-1;-1;720;721;722;723;602;603;604;605;695;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;900;-1;-1;-1;-1;0;0;0;0;
35;;0;310;311;312;313;-1;-1;-1;-1;-1;730;731;732;733;602;603;604;605;696;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;900;-1;-1;-1;-1;0;0;0;0;
36;;0;200;201;202;203;-1;-1;-1;-1;-1;735;736;737;738;602;603;604;605;697;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;900;-1;-1;-1;-1;0;0;0;0;
40;;0;300;301;302;303;-1;-1;-1;-1;550;700;701;702;703;602;603;604;605;690;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
41;;0;300;301;302;303;-1;-1;-1;-1;550;705;706;707;708;602;603;604;605;691;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
45;;0;310;311;312;313;-1;-1;-1;-1;560;710;711;712;713;602;603;604;605;695;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
46;;0;310;311;312;313;-1;-1;-1;-1;560;715;716;717;718;602;603;604;605;695;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
50;;0;310;311;312;313;-1;-1;-1;-1;560;720;721;722;723;602;603;604;605;695;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
55;;0;310;311;312;313;-1;-1;-1;-1;-1;730;731;732;733;602;603;604;605;696;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
56;;0;300;301;302;303;-1;-1;-1;-1;550;700;701;702;703;602;603;604;605;690;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
60;;0;400;401;402;403;410;411;412;413;420;700;701;702;703;602;603;604;605;680;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;900;-1;-1;-1;-1;0;0;0;0;
61;;0;400;401;402;403;410;411;412;413;420;705;706;707;708;602;603;604;605;681;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;900;-1;-1;-1;-1;0;0;0;0;
65;;0;400;401;402;403;410;411;412;413;420;710;711;712;713;602;603;604;605;690;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;900;-1;-1;-1;-1;0;0;0;0;
66;;0;400;401;402;403;410;411;412;413;420;715;716;717;718;602;603;604;605;691;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;900;-1;-1;-1;-1;0;0;0;0;
70;;0;430;431;432;433;440;441;442;443;450;720;721;722;723;602;603;604;605;695;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;900;-1;-1;-1;-1;0;0;0;0;
75;;0;430;431;432;433;440;441;442;443;450;730;731;732;733;602;603;604;605;696;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;900;-1;-1;-1;-1;0;0;0;0;
76;;0;400;401;402;403;410;411;412;413;420;735;736;737;738;602;603;604;605;697;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;900;-1;-1;-1;-1;0;0;0;0;
100;;0;200;201;202;203;500;501;502;503;-1;-1;-1;-1;-1;602;603;604;605;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
101;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;602;603;604;605;-1;0;200;202;203;202;203;500;502;503;502;503;-1;-1;-1;-1;-1;0;0;0;0;
102;;9900;9100;9101;9102;9103;9200;9201;9202;9203;-1;-1;-1;-1;-1;602;603;604;605;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
103;;0;200;200;200;200;500;500;500;500;-1;-1;-1;-1;-1;602;603;604;605;-1;0;200;200;200;200;200;500;500;500;500;500;-1;-1;-1;-1;-1;0;0;0;0;
104;;990021;990021;990021;990021;990021;990021;990021;990021;990021;990021;-1;-1;-1;-1;990021;990021;990021;990021;-1;990021;990021;990021;990021;990021;990021;990021;990021;990021;990021;990021;-1;-1;-1;-1;-1;0;0;0;0;
105;;10;210;201;202;203;500;501;502;503;-1;-1;-1;-1;-1;602;603;604;605;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
106;;0;200;201;202;203;500;501;502;503;-1;-1;-1;-1;-1;602;603;604;605;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
107;;7002;210;201;202;203;500;501;502;503;-1;-1;-1;-1;-1;602;603;604;605;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
108;;7001;210;201;202;203;500;501;502;503;-1;-1;-1;-1;-1;602;603;604;605;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
109;;9000;210;201;202;203;500;501;502;503;-1;-1;-1;-1;-1;602;603;604;605;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
110;;9000;9100;9101;9102;9103;9200;9201;9202;9203;-1;-1;-1;-1;-1;9300;9301;9300;9301;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
111;;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;-1;20;20;20;20;20;20;20;20;20;20;20;-1;-1;-1;-1;-1;0;0;0;0;
112;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;0;0;0;0;
113;;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;-1;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;-1;-1;-1;-1;-1;0;0;0;0;
114;;50000;210;201;202;203;500;501;502;503;-1;-1;-1;-1;-1;602;603;604;605;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
115;;0;200;201;612;613;510;501;502;503;-1;-1;-1;-1;-1;612;613;614;615;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
116;;0;200;201;202;203;500;501;502;503;-1;-1;-1;-1;-1;602;603;604;605;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
117;;10000;10200;10201;10202;10203;10500;10501;10502;10503;-1;-1;-1;-1;-1;10602;10603;10604;10605;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
118;;9900;9100;9101;9102;9103;9200;9201;9202;9203;-1;-1;-1;-1;-1;7602;7603;7604;7605;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
119;;0;200;201;200;200;500;501;500;500;-1;-1;-1;-1;-1;602;603;604;605;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
120;;9310;9300;9301;9302;9303;9300;9301;9302;9303;-1;-1;-1;-1;-1;602;603;604;605;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
121;;0;200;201;202;203;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
900;;0;200;201;202;203;500;201;202;203;-1;-1;-1;-1;-1;602;603;604;605;-1;0;200;200;200;200;200;500;500;500;502;503;-1;-1;-1;-1;-1;0;0;0;0;
910;;0;200;201;202;203;500;501;502;503;-1;-1;-1;-1;-1;602;603;604;605;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;
