Row ID,Row Name,Behavior Variation ID,Behavior Judge ID,State Behavior Type,Reference Type,Unk1,Unk2,Reference ID,SFX Variation ID,Stamina Cost,Durability Cost,Category,Humanity Cost,Unk3,Unk4
0,,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
10,,0,0,0,0,0,0,10,0,0,0,5,0,0,0
11,,0,0,0,0,0,0,11,0,5,0,9,0,0,0
100,,0,0,0,0,0,0,100,0,0,0,0,0,0,0
400,,0,0,0,0,0,0,200,0,0,0,9,0,0,0
401,,0,0,0,0,0,0,201,0,0,0,9,0,0,0
402,,0,0,0,0,0,0,202,0,0,0,9,0,0,0
403,,0,0,0,0,0,0,203,0,0,0,9,0,0,0
404,,0,0,0,0,0,0,204,0,0,0,5,0,0,0
405,,0,0,0,0,0,0,205,0,0,0,5,0,0,0
406,,0,0,0,0,0,0,206,0,0,0,5,0,0,0
410,,0,0,0,0,0,0,210,0,0,0,5,0,0,0
411,,0,0,0,0,0,0,211,0,0,0,5,0,0,0
412,,0,0,0,0,0,0,212,0,0,0,5,0,0,0
413,,0,0,0,0,0,0,213,0,0,0,5,0,0,0
420,,0,0,0,0,0,0,220,0,0,0,5,0,0,0
421,,0,0,0,0,0,0,221,0,0,0,5,0,0,0
422,,0,0,0,0,0,0,222,0,0,0,5,0,0,0
442,,0,0,0,0,0,0,44,0,0,0,5,0,0,0
500,,0,0,0,0,0,0,300,0,0,0,9,0,0,0
501,,0,0,0,0,0,0,301,0,0,0,9,0,0,0
502,,0,0,0,0,0,0,302,0,25,0,9,0,0,0
503,,0,0,0,0,0,0,303,0,50,0,9,0,0,0
504,,0,0,0,0,0,0,304,0,0,0,5,0,0,0
505,,0,0,0,0,0,0,305,0,0,0,5,0,0,0
506,,0,0,0,0,0,0,306,0,0,0,5,0,0,0
507,,0,0,0,0,0,0,307,0,0,0,5,0,0,0
510,,0,0,0,0,0,0,310,0,0,0,5,0,0,0
511,,0,0,0,0,0,0,311,0,0,0,5,0,0,0
512,,0,0,0,0,0,0,312,0,0,0,5,0,0,0
513,,0,0,0,0,0,0,313,0,0,0,5,0,0,0
520,,0,0,0,0,0,0,320,0,0,0,5,0,0,0
521,,0,0,0,0,0,0,321,0,0,0,5,0,0,0
522,,0,0,0,0,0,0,322,0,0,0,5,0,0,0
530,,0,0,0,0,0,0,40,0,10,0,5,0,0,0
531,,0,0,0,0,0,0,41,0,10,0,9,0,0,0
540,,0,0,0,0,0,0,42,0,10,0,5,0,0,0
541,,0,0,0,0,0,0,43,0,10,0,9,0,0,0
