Row ID;Row Name;Disable Param - Network Test;Disable Param - Debug;Destination Timezone: Morning;Destination Timezone: Noon;Destination Timezone: Afternoon;Destination Timezone: Evening;Destination Timezone: Night;Destination Timezone: Deep Night A;Destination Timezone: Deep Night B;Post Cutscene In-game Time
0;;False;False;0;1;2;3;4;5;6;-1
10000010;;False;False;0;1;1;3;4;4;4;-1
10000020;;True;False;0;1;1;3;4;4;4;-1
10000030;;True;False;0;1;1;3;4;4;4;-1
10000040;;True;False;4;4;4;4;4;4;4;-1
10000050;;True;False;0;1;2;3;4;5;6;-1
10010000;;True;False;0;1;2;3;4;5;6;-1
10010001;;True;False;0;1;2;3;4;5;6;-1
11000040;;True;False;0;1;1;3;4;4;4;-1
11050010;;True;False;1;1;1;3;4;4;4;-1
11050020;;True;False;1;1;1;3;4;4;4;-1
12010000;;True;False;0;0;0;0;0;0;0;-1
12010001;;True;False;0;0;0;0;0;0;0;-1
12020000;;True;False;0;0;0;0;0;0;0;-1
12020001;;True;False;0;0;0;0;0;0;0;-1
12030010;;True;False;0;0;0;0;0;0;0;-1
12030011;;True;False;0;0;0;0;0;0;0;-1
12030020;;True;False;0;1;2;3;4;5;6;-1
12030021;;True;False;0;1;2;3;4;5;6;-1
12050020;;True;False;0;1;1;3;4;4;4;-1
12060000;;True;False;0;0;0;0;0;0;0;-1
13000010;;True;False;0;1;1;3;4;4;4;-1
13000040;;True;False;0;1;1;3;4;4;4;-1
13000050;;True;False;0;1;1;3;4;4;4;-1
13000060;;True;False;1;1;1;1;1;1;1;10.5
14000000;;True;False;0;0;0;0;0;0;0;-1
14000010;;True;False;0;0;0;0;0;0;0;-1
15000000;;True;False;0;0;0;0;0;0;0;-1
15000010;;True;False;0;0;0;0;0;0;0;-1
16000000;;True;False;0;1;1;3;4;4;4;-1
16000010;;True;False;0;1;2;3;4;5;6;-1
16000020;;True;False;0;0;0;0;0;0;0;-1
19000000;;True;False;0;0;0;0;0;0;0;-1
19000010;;True;False;0;0;0;0;0;0;0;-1
19000011;;True;False;3;3;3;3;3;3;3;-1
19000020;;True;False;0;0;0;0;0;0;0;-1
19000021;;True;False;0;0;0;0;0;0;0;-1
19000030;;True;False;0;0;0;0;0;0;0;-1
19000031;;True;False;0;0;0;0;0;0;0;-1
19000040;;True;False;0;0;0;0;0;0;0;-1
19000050;;True;False;0;0;0;0;0;0;0;-1
19000060;;True;False;0;0;0;0;0;0;0;-1
19000061;;True;False;1;1;1;1;1;1;1;-1
19000070;;True;False;0;0;0;0;0;0;0;-1
19000071;;True;False;0;0;0;0;0;0;0;-1
19000080;;True;False;0;0;0;0;0;0;0;-1
19000081;;True;False;4;4;4;4;4;4;4;-1
31000000;;True;False;0;1;2;3;4;5;6;-1
31000001;;True;False;0;1;2;3;4;5;6;-1
34110000;;True;False;0;0;0;0;0;0;0;-1
34110001;;True;False;0;0;0;0;0;0;0;-1
34110010;;True;False;0;1;1;3;4;4;4;-1
35000000;;True;False;0;0;0;0;0;0;0;-1
35000010;;True;False;0;1;2;3;4;5;6;-1
35000020;;True;False;0;1;2;3;4;5;6;-1
60370000;;True;False;0;1;1;3;4;4;4;-1
60380000;;True;False;0;1;1;3;4;4;4;-1
60380001;;True;False;0;1;1;3;4;4;4;-1
60380010;;True;False;0;1;1;3;4;4;4;-1
60380011;;True;False;0;1;1;3;4;4;4;-1
60420000;;False;False;4;4;4;4;4;4;4;22.5
60420001;;False;False;4;4;4;4;4;4;4;22.5
60420002;;True;False;4;4;4;4;4;4;4;22.5
60420003;;False;False;4;4;4;4;4;4;4;22.5
60420004;;False;False;4;4;4;4;4;4;4;22.5
60420005;;False;False;4;4;4;4;4;4;4;22.5
60420006;;True;False;4;4;4;4;4;4;4;22.5
60420007;;False;False;4;4;4;4;4;4;4;22.5
60430000;;True;False;0;0;0;0;0;0;0;-1
60490000;;True;False;0;1;1;3;4;4;4;-1
60490001;;True;False;0;1;1;3;4;4;4;-1
60490010;;True;False;0;1;1;3;4;4;4;-1
60490011;;True;False;0;1;1;3;4;4;4;-1
60490020;;True;False;0;1;1;3;4;4;4;-1
60490021;;True;False;0;1;1;3;4;4;4;-1
60490030;;True;False;0;1;1;3;4;4;4;-1
60490031;;True;False;0;1;1;3;4;4;4;-1
60500000;;True;False;0;1;2;3;4;5;6;-1
60510000;;True;False;0;0;0;0;0;0;0;-1
60510010;;True;False;4;4;4;4;4;4;4;22.5
60510011;;True;False;4;4;4;4;4;4;4;22.5
60520010;;True;False;0;1;1;3;4;4;4;-1
60540000;;True;False;0;1;1;3;4;4;4;-1
60540001;;True;False;0;1;1;3;4;4;4;-1
60540010;;True;False;0;1;1;3;4;4;4;-1
60540011;;True;False;0;1;1;3;4;4;4;-1
99990010;;True;False;0;1;1;3;4;4;4;-1
99990020;;True;False;4;4;4;4;4;4;4;22.5
99990030;;True;False;0;1;1;3;4;4;4;-1
99990040;;True;False;0;1;1;3;4;4;4;-1
