Row ID;Row Name;AI Volume Rate;On Hit [1] - SpEffect ID;On Hit [2] - SpEffect ID;Foot Effect Height Type 0;Foot Effect Height Type 1;Foot Effect Direction Type 0;Foot Effect Direction Type 1;Floor Height Type 0;Floor Height  Type 1;Disable Fall Damage;Is Hardness for Sound Reverb;Hardness Type;On Hit [0] - NG+1 - SpEffect ID;On Hit [0] - NG+2 - SpEffect ID;On Hit [0] - NG+3 - SpEffect ID;On Hit [0] - NG+4 - SpEffect ID;On Hit [0] - NG+5 - SpEffect ID;On Hit [0] - NG+6 - SpEffect ID;On Hit [0] - NG+7 - SpEffect ID;On Hit [1] - NG+1 - SpEffect ID;On Hit [2] - NG+2 - SpEffect ID;On Hit [3] - NG+3 - SpEffect ID;On Hit [4] - NG+4 - SpEffect ID;On Hit [5] - NG+5 - SpEffect ID;On Hit [6] - NG+6 - SpEffect ID;On Hit [7] - NG+7 - SpEffect ID;Rain - Replace Material ID;Wetness [0] - SpEffect ID;Wetness [1] - SpEffect ID;Wetness [2] - SpEffect ID;Wetness [3] - SpEffect ID;Wetness [4] - SpEffect ID
0;None;1;-1;-1;False;False;False;False;False;False;False;False;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;Stock;1;-1;-1;False;False;False;False;False;False;False;True;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2;Rock;1;-1;-1;False;False;False;False;False;False;False;True;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3;Sand;1;-1;-1;False;False;False;False;False;False;False;False;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;44;-1;-1;-1;-1;-1
4;Wood;1;-1;-1;False;False;False;False;False;False;False;False;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5;Dirt;1;-1;-1;False;False;False;False;False;False;False;False;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;44;-1;-1;-1;-1;-1
6;Ore;1;-1;-1;False;False;False;False;False;False;False;False;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;44;-1;-1;-1;-1;-1
7;;1;-1;4101;False;True;True;False;False;False;False;False;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4040;-1;-1;-1;-1
8;Scarlet Tree;1;-1;-1;False;False;False;False;False;False;False;False;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
9;;1;-1;-1;False;False;False;False;False;False;False;False;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
10;;1;-1;-1;False;False;False;False;False;False;False;False;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
11;Iron Grate;1;-1;-1;False;False;False;False;False;False;False;True;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
12;Scarlet Mushroom;1;-1;-1;False;False;False;False;False;False;False;False;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
13;;1;-1;-1;False;False;False;False;False;False;False;False;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;44;-1;-1;-1;-1;-1
14;Bone;1;-1;-1;False;False;False;False;False;False;False;False;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
15;;1;-1;-1;False;False;False;False;False;False;False;False;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
16;;1;-1;-1;False;False;False;False;False;False;False;True;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
17;;1;-1;-1;False;True;False;False;False;False;False;False;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
18;;1;-1;-1;False;False;False;False;False;False;False;False;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
19;;1;-1;-1;False;False;False;False;False;False;False;True;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
20;;1.75;-1;4190;False;False;False;False;False;False;False;False;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4010;-1;-1;-1;-1
21;Water;1.75;-1;4190;True;False;False;False;True;False;False;False;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4010;4500;4510;4511;-1
22;;1;4100;4190;True;False;False;False;True;False;False;False;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4010;4500;4510;4511;-1
23;Shallow Poison Swamp;1;-1;-1;True;False;False;False;True;False;False;False;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4003;4500;4520;4521;-1
24;Poison Swamp;1;4101;-1;True;False;False;False;True;False;False;False;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4001;4501;4520;4522;-1
