Row ID;Row Name;Unk0;Unk1;Unk1;Unk1;Unk1;Unk2;Unk2;Unk2;Unk2;Unk3
10;;0;0;-1;0;0;-72;17;-1;-1;0
11;;0;0;-33;0;0;72;-18;0;0;0
12;;0;0;-65;-65;0;-73;17;-1;-1;0
13;;0;0;-33;-65;0;73;-18;0;0;0
15;;0;15;127;15;0;-74;17;-1;-1;0
16;;0;15;-65;15;0;74;-18;0;0;0
20;;0;15;15;127;0;-48;13;-1;-1;0
21;;0;0;127;-33;0;48;-14;0;0;0
22;;0;0;-1;-1;0;-49;13;-1;-1;0
23;;0;0;-33;-33;0;49;-14;0;0;0
24;;0;0;0;-1;0;-50;13;-1;-1;0
25;;0;0;0;-33;0;50;-14;0;0;0
30;;0;-1;-1;-65;0;-24;9;-1;-1;0
31;;0;-1;-33;-65;0;24;-10;0;0;0
32;;0;-1;-49;0;0;-26;9;-1;-1;0
33;;0;-1;-65;0;0;26;-10;0;0;0
34;;0;-1;-97;0;0;-25;9;-1;-1;0
35;;0;-1;127;0;0;25;-10;0;0;0
36;;0;-65;-33;-65;0;-27;9;-1;-1;0
37;;0;-65;-17;-65;0;27;-10;0;0;0
40;;0;-1;0;0;0;0;6;-1;-1;0
41;;0;-33;0;0;0;0;-6;0;0;0
42;;0;-1;127;127;0;-1;5;-1;-1;0
43;;0;-49;127;127;0;1;-6;0;0;0
44;;0;-1;127;-1;0;-2;5;-1;-1;0
45;;0;-33;127;-33;0;2;-6;0;0;0
50;;0;-65;-65;-65;0;24;2;-1;-1;0
51;;0;-33;-33;-33;0;-24;-3;0;0;0
52;;0;-97;127;127;0;23;2;-1;-1;0
53;;0;-97;-97;-97;0;-23;-3;0;0;0
54;;0;-33;-33;-17;0;22;2;-1;-1;0
55;;0;-17;-17;-17;0;-22;-3;0;0;0
255;;0;0;0;0;0;0;0;0;0;0
