Row ID;Row Name;Disable Param - Network Test;Pre-conversion - Map Image: R;Pre-conversion - Map Image: G;Pre-conversion - Map Image: B;Save Map Name ID;Multiplayer Area ID
10;;False;0;255;0;-1;6100000
11;;False;0;235;0;-1;6100001
12;;False;0;215;0;-1;6100002
13;;False;0;195;0;-1;6100003
14;;False;0;175;0;-1;6100004
19;;False;0;32;0;-1;6100090
20;;False;255;242;0;-1;6101000
30;;False;15;127;15;-1;6102000
31;;False;0;164;0;-1;6102001
32;;False;0;184;0;-1;6102002
40;;False;15;15;127;-1;6200000
41;;False;0;115;255;-1;6200001
42;;False;0;100;255;-1;6200002
43;;False;0;85;255;-1;6200003
44;;False;0;70;255;-1;6200004
45;;False;0;55;255;-1;6200005
46;;False;0;40;255;-1;6200006
47;;False;0;127;193;-1;6200007
48;;False;0;127;223;-1;6200008
49;;False;15;15;64;-1;6200090
50;;False;0;255;255;-1;6201000
60;;False;0;0;255;-1;6202000
61;;False;0;0;245;-1;6202001
70;;False;255;255;191;-1;6300000
71;;False;255;245;191;-1;6300001
72;;False;255;235;191;-1;6300002
73;;False;255;225;191;-1;6300003
74;;False;255;215;191;-1;6300004
75;;False;255;205;191;-1;6300005
80;;False;255;207;0;-1;6301000
90;;False;255;159;0;-1;6302000
91;;False;255;149;0;-1;6302001
95;;False;255;100;0;-1;6302002
100;;False;255;0;0;-1;6400000
101;;False;205;0;0;-1;6400001
102;;False;170;0;0;-1;6400002
103;;False;155;0;0;-1;6400003
110;;False;255;127;255;-1;6401000
120;;False;255;127;127;-1;6402000
121;;False;225;127;127;-1;6402001
130;;False;191;223;191;-1;6500000
139;;False;91;123;91;-1;6500090
140;;False;191;191;191;-1;6501000
141;;False;181;181;181;-1;6501001
142;;False;171;171;171;-1;6501002
143;;False;161;161;161;-1;6501003
150;;False;159;127;127;-1;6502000
160;;False;223;223;239;-1;6503000
161;;False;223;223;239;-1;6503000
255;;False;0;0;0;-1;600000
