Row ID;Row Name;Rider - Chr ID;Mount - Chr ID;Ride Camera Param ID;Rider - Chr Animation ID;Mount - Chr Animation ID;Mount - Adjust Dummy Poly ID;Mount - Check Dummy Poly ID;Rider/Mount - Ride Angle Tolerance;Mount Distance;Mount Distance - Max Height;Mount Distance - Min Height;Ride Angle Tolerance - Min;Ride Angle Tolerance - Max
0;;0;0;-1;0;0;-1;-1;0;0;0;0;0;0
80000;Player <> Torrent;0;8000;3010;0;0;900;-1;180;5;5;5;-180;180
300081001;Castle Exile <> Ballista;3000;8100;-1;1;1;511;-1;30;3;0.5;0.65;150;-150
300081011;Castle Exile <> Giant Ballista;3000;8101;-1;11;11;511;-1;30;5;0.5;0.65;150;-150
300081101;Castle Exile <> Dragon-faced Flamethrower;3000;8110;-1;21;21;511;-1;30;3;0.5;0.65;150;-150
300090090;Castle Exile <>;3000;9009;-1;2;2;512;-1;60;3;0.5;0.65;-30;30
300090091;Castle Exile <>;3000;9009;-1;2;2;512;-1;60;3;0.5;0.65;150;-150
300090092;Castle Exile <>;3000;9009;-1;2;2;512;-1;60;3;0.5;0.65;-150;-30
300090093;Castle Exile <>;3000;9009;-1;2;2;512;-1;60;3;0.5;0.65;30;150
315031600;Night's Cavalry <> Night's Cavalry Horse;3150;3160;-1;2;2;512;-1;180;3;0.5;0.65;-30;30
315031601;Night's Cavalry <> Night's Cavalry Horse;3150;3160;-1;2;2;512;-1;180;3;0.5;0.65;150;-150
315031602;Night's Cavalry <> Night's Cavalry Horse;3150;3160;-1;2;2;512;-1;180;3;0.5;0.65;-150;-30
315031603;Night's Cavalry <> Night's Cavalry Horse;3150;3160;-1;2;2;512;-1;180;3;0.5;0.65;30;150
317031802;Albinauric Archer <> Dog;3170;3180;-1;2;2;512;-1;60;3;0.5;0.65;-180;0
317031803;Albinauric Archer <> Dog;3170;3180;-1;3;3;513;-1;60;3;0.5;0.65;0;180
320032102;Nomad Trader <> Mule;3200;3210;-1;2;2;512;-1;60;3;0.5;0.65;-180;0
320032103;Nomad Trader <> Mule;3200;3210;-1;3;3;513;-1;60;3;0.5;0.65;0;180
330042800;Nox Swordstress <> Giant Ant;3300;4280;-1;2;2;512;-1;60;3;0.5;0.65;-30;30
330042801;Nox Swordstress <> Giant Ant;3300;4280;-1;2;2;512;-1;60;3;0.5;0.65;150;-150
330042802;Nox Swordstress <> Giant Ant;3300;4280;-1;2;2;512;-1;60;3;0.5;0.65;-150;-30
330042803;Nox Swordstress <> Giant Ant;3300;4280;-1;2;2;512;-1;60;3;0.5;0.65;30;150
350081001;Skeleton (Curved Sword) <> Ballista;3500;8100;-1;1;1;511;-1;30;3;0.5;0.65;150;-150
350081011;Skeleton (Curved Sword) <> Giant Ballista;3500;8101;-1;11;11;511;-1;30;5;0.5;0.65;150;-150
