Row ID;Row Name;Disable Param - Network Test;Pre-conversion - Map Color: R;Pre-conversion - Map Color: G;Pre-conversion - Map Color: B;Weather Log ID
0;;False;15;15;127;600000000
10;;False;0;255;0;610000000
11;;False;223;255;0;3021
12;;False;223;255;64;5010
15;;False;15;127;15;615000000
20;;False;0;0;255;620000000
21;;False;0;255;255;4000
22;;False;0;128;255;620000100
25;;False;0;196;255;4001
30;;False;255;255;0;630000000
31;;False;255;255;128;5010
32;;False;255;255;191;5000
35;;False;255;159;0;635000000
38;;False;223;255;255;638000000
40;;False;255;127;127;640000000
41;;False;255;96;96;641000000
45;;False;196;127;156;645000000
46;;False;216;127;156;3020
50;;False;181;223;223;650000000
51;;False;181;196;223;651000000
52;;False;159;127;127;652000000
55;;False;223;223;239;655000000
56;;False;223;239;239;4010
57;;False;239;239;239;4020
255;;False;0;0;0;-1
