Row ID;Row Name;Disable Param - Network Test;Source Map Area;Source Map Block;Source Map Region;Source Map Coordinate: X;Source Map Coordinate: Y;Source Map Coordinate: Z;Destination Map Area;Destination Map Block;Destination Map Region;Destination Map Coordinate: X;Destination Map Coordinate: Y;Destination Map Coordinate: Z;Is Reference Connection Point
5;;True;11;10;0;-305.653;-20.002;-297.949;60;40;35;-341.67;66.16;-47.78;True
10;;True;13;0;0;668.01;-873.67;-2509.77;60;51;43;-36.71;344.39;0.32;False
11;;True;13;0;0;-2509.61;-874.01;-668.01;60;51;43;-36.71;344.39;0.32;True
12;;True;35;0;0;-184;-88.5;-163;11;0;0;-184;-88.5;-163;True
14;;True;11;5;0;0;0;0;19;0;0;0;0;0;True
15;;True;10;0;0;0;0;0;34;10;0;0;0;0;True
16;;True;34;15;0;4.95;0.02;27.91;60;51;46;-16.47;272;-55.32;True
17;;True;13;0;0;259.68;83.54;95;34;15;0;2467.37;1028.15;-271.47;False
18;;True;15;0;0;0;0;0;60;48;57;365.824;626.76;550.648;True
100;;True;10;0;0;0;0;0;60;39;39;387.383;273.608;-282.331;True
101;;True;10;0;0;0;0;0;60;39;40;387.383;273.608;-538.331;True
102;;False;10;0;0;0;0;0;60;40;39;131.383;273.608;-282.331;True
103;;False;10;0;0;0;0;0;60;40;40;131.383;273.608;-538.331;True
104;;False;10;0;0;0;-8;0;60;41;38;-124.617;265.608;-26.331;True
105;;False;10;0;0;0;-8;0;60;41;39;-124.617;265.608;-282.331;True
106;;True;10;0;0;-514;28;200;10;1;0;0;0;0;True
107;;True;10;0;0;0;0;0;34;10;0;0;0;0;True
108;;True;11;0;0;-90.017;-118.9;66.456;60;45;52;-73.338;968.621;-54.108;True
109;;True;11;0;0;0;0;0;34;14;0;0;0;0;True
110;;True;11;0;0;-184;-88.5;-163;35;0;0;-184;-88.5;-163;True
111;;True;11;5;0;-90;-118.9;66.456;60;45;52;-73.338;968.621;-54.108;True
112;;True;11;5;0;0;0;0;19;0;0;0;0;0;True
113;;True;11;5;0;0;0;0;34;14;0;0;0;0;True
114;;True;11;5;0;-184;-88.5;-163;35;0;0;-184;-88.5;-163;True
115;;True;12;1;0;400.899;-15.538;-122.692;60;38;46;89.012;252.618;76.68;True
116;;True;12;1;0;400.899;-15.538;-122.692;60;38;47;89.012;252.618;-179.32;True
117;;True;12;1;0;400.899;-15.538;-122.692;60;39;46;-166.988;252.618;76.68;True
118;;True;12;1;0;1693.196;0;1245.763;12;3;0;-797.484;91.243;-369.525;True
119;;True;12;1;0;-800.113;-448.156;-1585.592;12;4;0;-88;-180;-106.22;True
120;;True;12;2;0;1549.947;-301.49;1910.793;60;49;40;-112.364;116.941;-12.317;True
121;;True;12;2;0;928.988;-617.3;1188.437;12;7;0;928.988;-617.3;1188.437;True
