Row ID;Row Name;Unk0;Unk1;Unk2;Unk3;Unk4;Unk5;Unk6;Unk7;Unk8
0;;0;825241695;1869894495;1632658798;1701668214;29806;0;0;0
1;;0;825241695;1869894495;1632658798;1701668214;29806;0;0;0
2;;0;825241695;1869894495;1632658798;1701668214;29806;0;0;0
3;;0;858796127;1919501407;116;0;0;0;0;0
4;;0;875573343;1835619423;7497058;0;0;0;0;0
5;;0;892350559;1634879327;29555;0;0;0;0;0
6;;0;909127775;1634879327;7103862;0;0;0;0;0
7;;0;925904991;1734430047;24941;0;0;0;0;0
8;;0;942682207;1869567839;100;0;0;0;0;0
9;;0;959459423;1635210079;28781;0;0;0;0;0
10;;0;825241695;1869894495;1632658798;1701668214;29806;0;0;0
11;;0;825307231;1869760863;110;0;0;0;0;0
12;;0;842084447;1701594719;1849780339;1869365860;25711;0;0;0
13;;0;858861663;1851872095;100;0;0;0;0;0
14;;0;875638879;1852785247;101;0;0;0;0;0
15;;0;892416095;1752383839;0;0;0;0;0;0
16;;0;825241695;1869894495;1632658798;1701668214;29806;0;0;0
17;;0;925970527;1869366111;26740;0;0;0;0;0
18;;0;942747743;1818314335;1282303340;1702256997;115;0;0;0
19;;0;825307231;1869760863;110;0;0;0;0;0
20;;0;808595551;1684099167;6646884;0;0;0;0;0
21;;0;825372767;1952536415;29285;0;0;0;0;0
22;;0;825372767;1952536415;29285;0;0;0;0;0
23;;0;858927199;1768902751;1399746419;1886216567;0;0;0;0
24;;0;858927199;1768902751;1399746419;1886216567;0;0;0;0
25;;0;858927199;1768902751;1399746419;1886216567;0;0;0;0
26;;0;909258847;1768902751;1399746419;1886216567;1684300112;25964;0;0
27;;0;825372767;1952536415;29285;0;0;0;0;0
28;;0;942813279;1918976863;7628144;0;0;0;0;0
29;;0;959590495;1852788319;101;0;0;0;0;0
30;;0;825241695;1869894495;1632658798;1701668214;29806;0;0;0
31;;0;825241695;1869894495;1632658798;1701668214;29806;0;0;0
32;;0;825241695;1869894495;1632658798;1701668214;29806;0;0;0
33;;0;825241695;1869894495;1632658798;1701668214;29806;0;0;0
34;;0;825241695;1869894495;1632658798;1701668214;29806;0;0;0
35;;0;842084447;1701594719;1849780339;1869365860;25711;0;0;0
36;;0;909258847;1768902751;1399746419;1886216567;1684300112;25964;0;0
37;;0;858927199;1768902751;1399746419;1886216567;0;0;0;0
38;;0;858927199;1768902751;1399746419;1886216567;0;0;0;0
39;;0;858927199;1768902751;1399746419;1886216567;0;0;0;0
40;;0;825241695;1869894495;1632658798;1701668214;29806;0;0;0
41;;0;825241695;1869894495;1632658798;1701668214;29806;0;0;0
42;;0;825241695;1869894495;1632658798;1701668214;29806;0;0;0
43;;0;859058271;1869501279;119;0;0;0;0;0
44;;0;875835487;1685409119;0;0;0;0;0;0
45;;0;892612703;1701005663;0;0;0;0;0;0
46;;0;858927199;1768902751;1399746419;1886216567;0;0;0;0
47;;0;858927199;1768902751;1399746419;1886216567;0;0;0;0
48;;0;858927199;1768902751;1399746419;1886216567;0;0;0;0
49;;0;858927199;1768902751;1399746419;1886216567;0;0;0;0
52;;0;858927199;1768902751;1399746419;1886216567;0;0;0;0
100;;0;808464735;1869760863;1634031470;7237488;0;0;0;0
101;;0;825241951;1919241567;2037544291;0;0;0;0;0
102;;0;842019167;1869567839;1634031460;7237488;0;0;0;0
103;;0;858796383;1701594719;1700227187;1852797025;0;0;0;0
104;;0;875573599;1869760863;1768444782;6581349;0;0;0;0
105;;0;892350815;1869567839;1768444772;6581349;0;0;0;0
106;;0;909128031;1869760863;110;0;0;0;0;0
107;;0;925905247;1769096287;1816552549;6845285;0;0;0;0
108;;0;942682463;1634028639;1919248500;1869443649;114;0;0;0
109;;0;959459679;1701594719;26739;0;0;0;0;0
110;;0;808530271;1701594719;1700227187;1701735265;29555;0;0;0
111;;0;825307487;1701594719;1700227187;1701735265;1967682419;25959;0;0
112;;0;842084703;1634027615;1917417846;28271;0;0;0;0
113;;0;858861919;1869366111;26740;0;0;0;0;0
114;;0;875639135;1853182559;101;0;0;0;0;0
115;;0;892416351;1853182559;1634031461;1936027243;115;0;0;0
116;;0;909193567;1869894495;1867736430;29798;0;0;0;0
117;;0;925970783;1869894495;25966;0;0;0;0;0
118;;0;942747999;1685409119;0;0;0;0;0;0
119;;0;959525215;1986088031;1634031457;1936027243;115;0;0;0
120;;0;808595807;1986088031;97;0;0;0;0;0
121;;0;825373023;1768969055;7629170;0;0;0;0;0
122;;0;842150239;2037531487;1818326131;0;0;0;0;0
123;;0;858927455;1701335903;27756;0;0;0;0;0
124;;0;875704671;1852785247;101;0;0;0;0;0
125;;0;892481887;1918976863;1667330145;101;0;0;0;0
126;;0;909259103;1768969055;1467246962;1852531045;7566181;0;0;0
127;;0;926036319;1869894495;1750295918;1684825449;0;0;0;0
128;;0;942813535;1869567839;100;0;0;0;0;0
129;;0;959590751;1634027615;1917417846;1750298223;1684825449;0;0;0
130;;0;808661343;1768445791;1749509492;7631727;0;0;0;0
131;;0;808661343;1768445791;1749509492;7631727;0;0;0;0
132;;0;808661343;1768445791;1749509492;7631727;0;0;0;0
133;;0;808661343;1768445791;1749509492;7631727;0;0;0;0
134;;0;875770207;1634227039;7827300;0;0;0;0;0
135;;0;892547423;1749505887;1198814063;1685217653;0;0;0;0
136;;0;909324639;1749500511;1198814063;1685217653;0;0;0;0
137;;0;926101855;1749505887;1165259631;2037212526;1918989639;100;0;0
138;;0;942879071;1749500511;1165259631;2037212526;1918989639;100;0;0
139;;0;959656287;1852788319;101;0;0;0;0;0
140;;0;808726879;1684819807;1635018061;108;0;0;0;0
141;;0;825504095;1634227039;1467445092;1852531045;7566181;0;0;0
142;;0;842281311;1768969055;1198811506;1919250021;27745;0;0;0
143;;0;859058527;1768969055;1198811506;1919250021;1700228193;1701735265;29555;0
144;;0;875835743;1634222943;1632464489;27753;0;0;0;0
145;;0;892612959;1685013087;1970030201;25705;0;0;0;0
146;;0;909390175;1685013087;1970030201;1700226153;1701735265;29555;0;0
147;;0;926167391;1953452639;7234932;0;0;0;0;0
148;;0;942944607;1953452639;1466852724;1852531045;7566181;0;0;0
149;;0;959721823;1869760863;1634031470;1601073008;1751607628;116;0;0
150;;0;808792415;1869760863;1634031470;1601073008;1684302157;25964;0;0
151;;0;825569631;1869760863;1634031470;1601073008;1986094408;121;0;0
152;;0;842346847;1869567839;1634031460;1601073008;1986094408;121;0;0
153;;0;859124063;1869894495;1700226414;1852797025;0;0;0;0
154;;0;875901279;1869894495;1700226414;1852797025;1734954079;29800;0;0
155;;0;892678495;1869894495;1700226414;1852797025;1634027615;31094;0;0
156;;0;909455711;1919241567;2037544291;1885431127;28271;0;0;0
157;;0;926232927;2037531487;1818326131;1885431127;28271;0;0;0
158;;0;808464735;1869760863;1634031470;7237488;0;0;0;0
159;;0;959787359;1852393055;1467114855;1869635941;110;0;0;0
160;;0;808857951;1869760863;1768444782;1600416869;1751607628;116;0;0
161;;0;825635167;1869567839;1768444772;1600416869;1986094408;121;0;0
162;;0;842412383;1869894495;1750295918;1684825449;1634027615;31094;0;0
163;;0;859189599;2037531487;1818326131;1701406803;25708;0;0;0
164;;0;875966815;1869104991;1750299763;1684825449;0;0;0;0
165;;0;892744031;1919241567;2037544291;1685217608;0;0;0;0
166;;0;909521247;1818316127;1952803689;1651462760;101;0;0;0
167;;0;926298463;1818316127;1952803689;1836204392;29295;0;0;0
168;;0;943075679;1935756639;1702259059;1986621013;1702064741;0;0;0
171;;0;825700703;1633899359;25964;0;0;0;0;0
172;;0;842477919;1633899359;1700226412;1701735265;29555;0;0;0
173;;0;859255135;1633899359;1700226412;1701735265;1967682419;25959;0;0
174;;0;876032351;1918978143;1633899364;25964;0;0;0;0
151114;;0;825569631;3420465;0;0;0;0;0;0
