Row ID;Row Name;Camera Target Distance;Rotation Range - Min X;Lock Rotation X - Shift Ratio;Character Origin - Offset Z;Character Lock Range - Max Radius;Field of View - Y Change;Character Lock Range - Max Radius (Dark);Character Lock Range - Max Radius (Pitch Dark);Attack Capture - Upper Limit Height;Attack Capture - Lower Limit Height;Attack Capture - Auto Acquisition - Angle Range Left;Attack Capture - Auto Acquisition - Max Radius;Attack Capture - Auto Acquisition - Max Radius (Dark);Attack Capture - Auto Acquisition - Max Radius (Pitch Dark);Attack Capture - Bullet - Max Radius;Attack Capture - Bullet - Max Radius (Dark);Attack Capture - Bullet - Max Radius (Pitch Dark;Attack Capture - Bullet - Angle Range Left/Right;Unk1;Unk2;Unk3;Unk4;Unk5;Unk6;Unk7;Unk0;Unk1;Unk2;Unk3;Unk4;Unk5;Unk6
0;;3.8;-40;0.45;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
1;;4;-40;0.6;1.42;15;43;-1;-1;0;0;0;0;0;0;0;0;0;0;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
1000;;4.5;-40;0.3;1.87;15;54.5;-1;-1;0;0;0;0;0;0;15;10;6;20;2;0.2;0;0;0;0;0;0;0;0;0;0;0;0
1001;;4.5;-40;0.3;1.87;15;54.5;-1;-1;0;0;0;0;0;0;15;10;6;20;2;0.2;0;0;0;0;0;0;0;0;0;0;0;0
1010;;4.5;-40;0.3;1.87;15;54.5;-1;-1;0;0;0;0;0;0;15;10;6;20;2;0.2;0;0;0;0;0;0;0;0;0;0;0;0
1011;;10;-40;0.3;1.87;15;54.5;-1;-1;0;0;0;0;0;0;15;10;6;20;2;0.5;0;0;0;0;0;0;0;0;0;0;0;0
1020;;4.5;-40;0.6;1.65;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
1021;;5.2;-40;0.6;1.95;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
1022;;4.5;-40;0.6;2.55;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
1040;;3;5;0.6;1;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
1041;;3.8;-40;0.45;1.65;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
1050;;5.4;-15;0.3;1.42;15;43;10;6;0.8;2;20;4.5;4.5;4.5;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
2031;;4.2;-45;0.5;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
2110;;4.8;-30;0.5;1.65;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
2120;;4.5;-25;0.45;1.55;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
2121;;4.5;-30;0.45;1.55;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
2122;;4.5;-50;0.45;1.55;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
2130;;6.5;-20;0.6;1.55;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
2200;;6;-20;0.3;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;10;-1;0;0;0;0;0;0;0;0;0;0;0;0
2201;;6;-40;0.3;2.05;15;50;-1;-1;0;0;0;0;0;0;15;10;6;20;10;-1;0;0;0;0;0;0;0;0;0;0;0;0
3010;;4.5;-40;0.3;1.87;15;54.5;-1;-1;0;0;0;0;0;0;15;10;6;20;2;0.2;0;0;0;0;0;0;0;0;0;0;0;0
3015;;3.8;-40;0.3;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
3050;;3.8;-40;0.3;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
3180;;3.8;-40;0.3;1.2;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
3181;;4.3;-40;0.5;1.45;15;50;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
3204;;8.5;0;0.3;1.49;15;56;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
3210;;3.8;-40;0.4;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
3250;;4;-40;0.5;1.65;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
3251;;4;-40;0.5;1.62;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
3252;;4;-40;0.45;1.6;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
3460;;4.6;-40;0.45;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
3470;;4.2;-40;0.6;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
3560;;4.1;-40;0.2;1.5;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
3570;;4.1;-40;0.4;1.5;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
3600;;3.8;-40;0.45;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
3620;;3.8;-40;0.25;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
3630;;4.2;-40;0.35;1.45;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
3664;;3.8;-40;0.45;1.3;15;48;-1;-1;0;0;0;0;0;0;15;10;6;20;2;-1;0;0;0;0;0;0;0;0;0;0;0;0
