Row ID;Row Name;Unk0;Unk1;Unk2;Unk3;Unk4;Unk5;Unk6;Unk7;Unk8;Unk9;Unk10;Unk11;Unk12;Unk13;Unk14;Unk15;Unk16;Unk17;Unk18;Unk18;Unk19;Unk20;Unk21;Unk22;Unk23;Unk24;Unk25;Unk26;Unk27;Unk28;Unk29;Unk30;Unk31;Unk32;Unk33;Unk34;Unk35
0;;15;1;30;2;9999;0;9999;0;9999;0;30;1;0;9999;0;9999;0;20;256;1;16711680;1;30;5;-1;10;0;9999;0;0;0;0;0;0;0;0;0
1;;40;1;1000;2;9999;0;9999;0;9999;0;30;1;0;9999;0;9999;0;20;256;1;16711680;1;30;5;-1;10;0;9999;0;0;0;0;0;0;0;0;0
2;;15;1;1000;2;9999;0;9999;0;9999;0;30;1;0;9999;0;9999;0;20;256;1;16711680;1;30;5;-1;10;0;9999;0;0;0;0;0;0;0;0;0
3;;1000;1;2000;2;9999;0;9999;0;9999;0;0;1;0;9999;0;9999;0;20;256;1;16711680;1;30;5;-1;10;0;9999;0;0;0;0;0;0;0;0;0
4;;1;0;3;0;9999;0;9999;0;9999;0;30;1;0;9999;0;9999;0;20;256;1;16711680;0;30;5;-1;10;0;9999;0;0;0;0;0;0;0;0;0
5;;5;1;20;2;9999;0;9999;0;9999;0;30;1;0;9999;0;9999;0;20;256;1;16711680;0;30;5;-1;10;0;9999;0;0;0;0;0;0;0;0;0
6;;10;1;25;2;9999;0;9999;0;9999;0;0;1;1;9999;1;9999;1;20;257;1;16711680;8;30;5;-1;10;0;9999;256;0;0;0;0;0;0;0;0
7;;10;1;25;2;9999;0;9999;0;9999;0;0;1;1;9999;1;40;1;20;257;1;16711680;9;30;5;-1;10;0;9999;512;0;0;0;0;0;0;0;0
8;;5;1;20;2;9999;0;9999;0;9999;0;0;1;1;100;1;1;0;20;256;1;16711680;10;30;5;-1;10;0;9999;768;0;0;0;0;0;0;0;0
9;;10;1;25;2;9999;0;9999;0;9999;0;0;1;1;9999;1;40;1;20;257;1;16711680;9;30;5;-1;10;0;9999;512;0;0;0;0;0;0;0;0
10;;5;2;10;2;9999;0;9999;0;9999;0;25;3;1;100;2;30;5;10;257;1;16711680;4;30;5;-1;10;0;15;2560;0;0;0;0;0;0;0;0
11;;10;3;20;3;9999;0;9999;0;9999;0;35;5;1;150;3;60;15;20;257;1;16711680;5;30;5;-1;10;0;30;2816;0;0;0;0;0;0;0;0
12;;20;4;40;4;9999;0;9999;0;9999;0;40;10;1;250;5;180;20;30;257;1;16711680;6;30;5;-1;10;0;90;3072;0;0;0;0;0;0;0;0
13;;40;5;80;5;9999;0;9999;0;9999;0;60;10;1;500;8;220;25;45;257;1;16711680;7;30;5;-1;10;0;110;3328;0;0;0;0;0;0;0;0
14;;60;10;200;10;9999;0;9999;0;9999;0;75;10;1;1000;20;250;40;60;257;1;16711680;7;30;5;-1;10;0;125;3328;0;0;0;0;0;0;0;0
15;;100;20;400;20;9999;0;9999;0;9999;0;100;10;1;2000;40;300;50;75;257;1;16711680;7;30;5;-1;10;0;150;3328;0;0;0;0;0;0;0;0
16;;5;1;10;2;9999;0;9999;0;9999;0;0;0;1;9999;10;9999;10;100;257;1;16711680;0;30;5;-1;10;0;9999;0;0;0;0;0;0;0;0;0
17;;5;1;10;2;9999;0;9999;0;9999;0;0;0;1;9999;10;9999;10;100;257;1;16711680;0;30;5;-1;10;0;9999;0;0;0;0;0;0;0;0;0
18;;100;3;200;3;9999;0;9999;0;9999;0;0.1;1;1;50;2;1;0;10;1;0;16711680;7;30;5;-1;10;0;9999;3328;0;0;0;0;0;0;0;0
19;;9998;2;9999;2;9999;0;9999;0;9999;0;0;0;1;9999;10;9999;10;100;257;1;16711680;7;30;5;-1;10;0;9999;3328;0;0;0;0;0;0;0;0
20;;5;2;9999;2;9999;0;9999;0;9999;0;15;5;1;100;2;1;1;10;257;1;16711680;4;30;5;-1;10;0;0;2560;0;0;0;0;0;0;0;0
21;;10;3;9999;3;9999;0;9999;0;9999;0;25;10;1;150;3;1;1;20;257;1;16711680;5;30;5;-1;10;0;0;2816;0;0;0;0;0;0;0;0
22;;20;4;9999;4;9999;0;9999;0;9999;0;35;20;1;250;5;1;1;30;257;1;16711680;6;30;5;-1;10;0;0;3072;0;0;0;0;0;0;0;0
23;;40;5;9999;5;9999;0;9999;0;9999;0;45;20;1;500;8;1;1;45;257;1;16711680;7;30;5;-1;10;0;0;3328;0;0;0;0;0;0;0;0
24;;60;10;9999;10;9999;0;9999;0;9999;0;55;20;1;1000;20;1;1;60;257;1;16711680;7;30;5;-1;10;0;0;3328;0;0;0;0;0;0;0;0
25;;100;20;9999;20;9999;0;9999;0;9999;0;0;0;1;2000;40;1;1;75;257;1;16711680;7;30;5;-1;10;0;0;3328;0;0;0;0;0;0;0;0
26;;10;1;50;2;9999;0;9999;0;9999;0;0;1;1;9999;1;40;1;20;257;1;16711680;9;30;5;-1;10;0;9999;512;0;0;0;0;0;0;0;0
27;;20;4;40;4;9999;0;9999;0;9999;0;35;20;1;250;5;180;20;30;257;1;131072;1;30;5;-1;10;0;90;5120;0;0;0;0;0;0;0;0
28;;10;3;9999;3;9999;0;9999;0;9999;0;0.1;1;1;10;5;1;1;10;1;0;16711680;7;30;5;-1;10;0;0;3328;0;0;0;0;0;0;0;0
29;;9998;2;9999;2;9999;0;9999;0;9999;0;0;0;1;9999;10;1;1;100;257;1;16711680;7;30;5;-1;10;0;0;3328;0;0;0;0;0;0;0;0
30;;15;0.5;30;0.5;9999;0;9999;0;9999;0;30;1;1;9999;10;9999;0;20;256;1;0;1;30;5;-1;10;0;9999;5120;0;0;0;0;0;0;0;0
31;;30;10;60;30;400;5;9999;0;9999;0;60;1;1;512;10;315;10;0;256;1;0;257;30;5;-1;10;0;90;5120;0;0;0;0;0;0;0;0
32;;30;10;60;30;512;5;9999;0;9999;0;128;1;1;1024;10;315;10;0;256;1;0;257;30;5;-1;10;0;90;5120;0;0;0;0;0;0;0;0
33;;150;10;200;30;512;5;9999;0;9999;0;255;1;1;9999;10;315;10;0;256;1;0;257;30;5;-1;10;0;90;5120;0;0;0;0;0;0;0;0
34;;30;10;60;30;128;5;9999;0;9999;0;30;1;1;256;10;50;10;0;256;1;0;257;30;5;-1;10;0;90;1792;0;0;0;0;0;0;0;0
35;;15;3;40;3;128;5;9999;0;9999;0;15;1;1;45;10;45;10;0;256;1;0;257;30;5;-1;10;0;90;2048;0;0;0;0;0;0;0;0
36;;9999;10;9999;10;9999;5;9999;0;9999;0;60;1;1;2000;10;315;10;0;256;1;0;257;30;5;-1;10;0;90;5120;0;0;0;0;0;0;0;0
37;;20;10;50;20;300;5;9999;0;9999;0;60;1;1;512;10;155;10;0;256;1;0;257;30;5;-1;10;0;90;5120;0;0;0;0;0;0;0;0
38;;30;10;60;30;300;5;9999;0;9999;0;60;1;1;512;10;315;10;0;256;1;0;257;30;5;-1;10;0;90;5120;0;0;0;0;0;0;0;0
39;;5;1;20;2;9999;0;9999;0;9999;0;30;1;0;9999;0;9999;0;20;256;1;16711680;1;30;5;-1;10;0;9999;5120;0;0;0;0;0;0;0;0
40;;10;1;20;1;9999;0;9999;0;9999;0;30;1;1;100;4;80;4;20;256;1;16711680;1;30;5;-1;10;0;9999;5120;0;0;0;0;0;0;0;0
41;;10;0;20;0;9999;0;9999;0;9999;0;30;1;0;100;0;80;0;20;256;1;16711680;1;30;5;-1;10;0;9999;5120;0;0;0;0;0;0;0;0
42;;5;1;20;2;9999;0;9999;0;9999;0;30;1;0;9999;0;9999;0;20;256;1;16711680;1;30;5;-1;10;0;9999;5120;0;0;0;0;0;0;0;0
43;;5;1;20;2;9999;0;9999;0;9999;0;30;1;0;9999;0;9999;0;20;256;1;16711680;1;30;5;-1;10;0;9999;5120;0;0;0;0;0;0;0;0
44;;5;1;20;2;9999;0;9999;0;9999;0;30;1;0;9999;0;9999;0;20;256;1;16711680;1;30;5;-1;10;0;9999;5120;0;0;0;0;0;0;0;0
45;;10;3;90;10;125;3;512;3;768;3;2048;1;1;2048;20;256;10;20;256;1;131072;257;30;5;-1;10;0;9999;5120;0;0;0;0;0;0;0;0
46;;10;3;80;3;9999;0;9999;0;9999;0;128;1;1;512;0;50;5;20;256;1;65536;1;30;5;-1;10;0;9999;5120;0;0;0;0;0;0;0;0
47;;5;1;20;2;9999;0;9999;0;9999;0;30;1;0;9999;0;9999;0;20;256;1;16711680;1;30;5;-1;10;0;9999;5120;0;0;0;0;0;0;0;0
48;;30;12;120;2;9999;0;9999;0;9999;0;512;1;1;2048;20;512;10;20;256;1;131072;257;30;5;-1;10;0;9999;5120;0;0;0;0;0;0;0;0
49;;60;12;240;2;9999;0;9999;0;9999;0;150;1;1;2048;20;512;10;20;256;1;131072;257;30;5;-1;10;0;9999;5120;0;0;0;0;0;0;0;0
50;;120;12;240;2;9999;0;9999;0;9999;0;128;1;1;700;20;512;0;20;256;1;131072;257;30;5;-1;10;0;9999;5120;0;0;0;0;0;0;0;0
51;;20;4;80;2;9999;0;9999;0;9999;0;65;1;1;512;10;315;0;20;256;1;131072;257;30;5;-1;10;0;9999;5120;0;0;0;0;0;0;0;0
52;;10;2;40;2;9999;0;9999;0;9999;0;40;1;1;256;10;100;0;20;256;1;65536;257;30;5;-1;10;0;9999;5120;0;0;0;0;0;0;0;0
