Row ID;Row Name;Unk0;Unk1;Unk2;Unk3;Unk4;Unk5;Unk6;Unk7;Unk8;Unk9;Unk10;Unk11;Unk12;Unk13;Unk14;Unk15;Unk16;Unk17;Unk18;Unk19
0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;;10;10;15;15;10;10;655360;655360;655360;655360;655360;655360;655360;655360;655360;655360;655360;655360;0;0
2;;15;15;15;15;15;15;1310720;1310720;655360;655360;1114112;1114112;1114112;1114112;1114112;1114112;1638400;1638400;0;0
3;;0;0;0;0;0;0;0;0;2293760;2293760;0;0;0;0;0;0;0;0;0;0
100;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;;10;10;5;5;10;10;10;10;5;5;10;10;10;10;10;10;10;10;0;0
102;;15;15;10;10;15;15;15;15;10;10;15;15;15;15;15;15;15;15;0;0
103;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201;;10;10;15;15;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
202;;15;15;15;15;15;15;655360;655360;0;0;0;0;0;0;0;0;0;0;0;0
203;;0;0;0;0;0;0;0;0;655360;655360;0;0;0;0;0;0;0;0;0;0
