Row ID;Row Name;Unk0;Unk1;Unk2;Unk3
0;;-1;-1;-1;-1
101000;;5000;-1;-1;-1
101001;;5004;-1;-1;-1
102000;;4800;-1;-1;-1
102010;;4801;-1;-1;-1
102020;;4802;-1;-1;-1
103000;;8085;-1;-1;-1
103010;;8081;-1;-1;-1
103020;;8086;-1;-1;-1
104000;;8560;-1;-1;-1
105000;;8600;-1;-1;-1
106100;;19050;19055;19058;-1
106101;;19051;19055;19058;-1
106110;;4300;4315;4370;-1
106120;;4300;4315;4375;-1
107000;;5070;-1;-1;-1
107001;;5071;-1;-1;-1
107002;;5072;-1;-1;-1
108000;;8971;5260;9080;-1
108010;;4330;5260;-1;-1
108100;;4460;4461;-1;-1
108110;;4460;4461;4465;-1
109000;;4301;-1;-1;-1
109010;;4300;-1;-1;-1
1200000;;-1;-1;-1;-1
1200010;;16613;-1;-1;-1
1200020;;16614;-1;-1;-1
1200030;;16615;-1;-1;-1
10000000;;-1;-1;-1;-1
10000010;;9680;-1;-1;-1
10000020;;9681;-1;-1;-1
20410000;;-1;-1;-1;-1
20410010;;18900;-1;-1;-1
20410020;;18901;-1;-1;-1
20410030;;18902;-1;-1;-1
21200000;;-1;-1;-1;-1
21200010;;16147;-1;-1;-1
21400000;;-1;-1;-1;-1
21400010;;16506;-1;-1;-1
21400020;;16503;-1;-1;-1
21400030;;16515;-1;-1;-1
21400040;;16518;-1;-1;-1
21400050;;16519;-1;-1;-1
21500000;;-1;-1;-1;-1
21500010;;19101;-1;-1;-1
21500020;;19102;-1;-1;-1
22700000;;-1;-1;-1;-1
22700010;;12049;-1;-1;-1
22700020;;12560;-1;-1;-1
30000000;;-1;-1;-1;-1
30000010;;10173;-1;-1;-1
30000020;;10183;-1;-1;-1
30000030;;10164;-1;-1;-1
30000040;;19000;-1;-1;-1
30000050;;19001;-1;-1;-1
30000060;;19002;-1;-1;-1
30000070;;19003;-1;-1;-1
30000080;;19004;-1;-1;-1
30000090;;19005;-1;-1;-1
30000100;;19006;-1;-1;-1
30000110;;19007;-1;-1;-1
30100000;;-1;-1;-1;-1
30100010;;10855;-1;-1;-1
30700000;;-1;-1;-1;-1
30700010;;12054;-1;-1;-1
30700020;;12059;-1;-1;-1
30701000;;12057;-1;-1;-1
30800000;;-1;-1;-1;-1
30800200;;17153;-1;-1;-1
30800210;;17152;-1;-1;-1
30801000;;17154;-1;-1;-1
31500000;;-1;-1;-1;-1
31501000;;11830;-1;-1;-1
31700000;;-1;-1;-1;-1
31700010;;11870;-1;-1;-1
31700020;;11860;-1;-1;-1
31800000;;-1;-1;-1;-1
31800010;;5401;-1;-1;-1
31810000;;-1;-1;-1;-1
31810010;;16902;-1;-1;-1
31810020;;16904;-1;-1;-1
32510000;;-1;-1;-1;-1
32510010;;13772;-1;-1;-1
33200000;;-1;-1;-1;-1
33200010;;5020;-1;-1;-1
33200020;;5021;-1;-1;-1
33200030;;5022;-1;-1;-1
33200040;;16311;-1;-1;-1
33300000;;-1;-1;-1;-1
33300010;;5020;-1;-1;-1
33300020;;5021;-1;-1;-1
33600000;;-1;-1;-1;-1
33600010;;13195;-1;-1;-1
33600020;;13177;4300;-1;-1
33700000;;-1;-1;-1;-1
33700010;;13185;-1;-1;-1
34700000;;-1;-1;-1;-1
34700010;;15606;-1;-1;-1
34700020;;15607;-1;-1;-1
34700030;;15610;-1;-1;-1
35000000;;-1;-1;-1;-1
35000010;;12535;-1;-1;-1
35000020;;12536;-1;-1;-1
35000030;;12537;-1;-1;-1
35000040;;19050;-1;-1;-1
35100000;;-1;-1;-1;-1
35100010;;17210;-1;-1;-1
35700000;;-1;-1;-1;-1
35700010;;15507;-1;-1;-1
36100000;;-1;-1;-1;-1
36100010;;5020;-1;-1;-1
36300000;;-1;-1;-1;-1
36300010;;5020;-1;-1;-1
36600000;;-1;-1;-1;-1
36600005;;14702;-1;-1;-1
36600010;;14705;-1;-1;-1
36600020;;14706;-1;-1;-1
36600030;;14703;-1;-1;-1
36600060;;14704;-1;-1;-1
36600070;;14712;-1;-1;-1
36610000;;-1;-1;-1;-1
36610010;;17041;-1;-1;-1
36610020;;17042;-1;-1;-1
36610030;;17044;-1;-1;-1
36610040;;17045;-1;-1;-1
36610050;;13471;-1;-1;-1
36610060;;17047;-1;-1;-1
36610070;;17048;-1;-1;-1
36610080;;17049;-1;-1;-1
36700000;;-1;-1;-1;-1
36700010;;17121;-1;-1;-1
37020000;;-1;-1;-1;-1
37020010;;14806;-1;-1;-1
37030010;;14443;-1;-1;-1
