Row ID;Row Name;Unk0;Unk1;Unk2;Unk3;Unk4;Unk5;Unk6;Unk7;Unk8
0;;0;808464479;1869760863;110;0;0;0;0;0
1;;0;842018911;1869567839;100;0;0;0;0;0
2;;0;842018911;1869567839;100;0;0;0;0;0
3;;0;858796127;1701594719;26739;0;0;0;0;0
4;;0;875573343;1869894495;25966;0;0;0;0;0
5;;0;909127775;1852788319;101;0;0;0;0;0
6;;0;909127775;1852788319;101;0;0;0;0;0
7;;0;909127775;1852788319;101;0;0;0;0;0
8;;0;909127775;1852788319;101;0;0;0;0;0
9;;0;909127775;1852788319;101;0;0;0;0;0
10;;0;909127775;1852788319;101;0;0;0;0;0
11;;0;909127775;1852788319;101;0;0;0;0;0
