Row ID;Row Name;Effect Category
829;;10007
875;;10007
1530;;10007
1575;;10007
1576;Royal Greatsword - Bullet;10007
1724;;10007
1800;;10007
1801;;10007
1809;;10007
1894;;10007
1901;;10007
3141;Freezing Grease [Attack];10007
3143;Drawstring Freezing Grease [Attack];10007
3145;;10007
3147;;10007
3300;;10007
3309;;10007
6700;Frostbite - Type 1 - Special 1;10007
6701;Frostbite - Type 1 - Special 2;10007
6702;Frostbite - Type 1 - Special 3;10007
6703;Frostbite - Type 1 - Special 4;10007
6704;Frostbite - Type 1 - Special 5;10007
6705;Frostbite - Type 1 - Special 6;10007
24000;NPC: Frostbite;10007
24001;NPC: Frostbite;10007
24002;NPC: Frostbite;10007
24003;NPC: Frostbite;10007
24004;NPC: Frostbite;10007
24005;NPC: Frostbite;10007
24006;NPC: Frostbite;10007
24007;NPC: Frostbite;10007
24008;NPC: Frostbite;10007
24009;NPC: Frostbite;10007
24010;NPC: Frostbite;10007
24011;NPC: Frostbite;10007
24012;NPC: Frostbite;10007
24013;NPC: Frostbite;10007
24014;NPC: Frostbite;10007
24015;NPC: Frostbite;10007
24016;NPC: Frostbite;10007
24017;NPC: Frostbite;10007
24018;NPC: Frostbite;10007
24019;NPC: Frostbite;10007
24130;NPC: Frostbite;10007
24131;NPC: Frostbite;10007
24132;NPC: Frostbite;10007
24140;NPC: Frostbite;10007
24150;NPC: Frostbite;10007
24160;NPC: Frostbite;10007
24170;NPC: Frostbite;10007
107500;Frostbite - Low - Addition +0;10007
107501;Frostbite - Low - Addition +1;10007
107502;Frostbite - Low - Addition +2;10007
107503;Frostbite - Low - Addition +3;10007
107504;Frostbite - Low - Addition +4;10007
107505;Frostbite - Low - Addition +5;10007
107506;Frostbite - Low - Addition +6;10007
107507;Frostbite - Low - Addition +7;10007
107508;Frostbite - Low - Addition +8;10007
107509;Frostbite - Low - Addition +9;10007
107510;Frostbite - Low - Addition +10;10007
107511;Frostbite - Low - Addition +11;10007
107512;Frostbite - Low - Addition +12;10007
107513;Frostbite - Low - Addition +13;10007
