Row ID,Row Name,Unk1,Effect ID - Right Hand,Unk2,Unk3,Base Price,Sell Value,Behavior ID,Replace Item ID,Sort ID,Unk4,Dialog Message ID,Unk5,Icon ID,Model ID,Shop Level,Comp Trophy Sed ID,Trophy Seq ID,Max Amount,Consume Hero Point,Over Dexterity,Goods Type,Reference Type,SpEffect Category,Goods Category,Goods Use Animation,Interaction Menu Type,Use Limit Category,Undetermined,Vow Type 0,Vow Type 1,Vow Type 2,Vow Type 3,Vow Type 4,Vow Type 5,Vow Type 6,Vow Type 7,Vow Type 8,Vow Type 9,Vow Type 10,Vow Type 11,Vow Type 12,Vow Type 13,Vow Type 14,Vow Type 15,Enable Host Player,Enable as Phantom,Enable as Friendly Phantom,Enable as Hostile Phantom,Enable in Multiplayer,Enable Online Only,Is Equippable,Is Usable,Is Auto Equipped,Is Guidance Item,Is Unique,Is Drop,Can be Deposited,Is Exclusive,Is Travel Item,Is Regenerative Item,Is Regenerative Item,Is Weapon Buff Item,Undetermined,Disable Dropping in Multiplayer,Disable Usage in Multiplayer Arena,Undetermined,Has Rapid Application,Is Throwable Item,Is Crimson Tear,Is Cerulean Tear,Undetermined,Undetermined,Undetermined,Unk1,Unk2,Unk3,Effect ID - Left Hand,Reinforce Param Weapon ID,Vagrant Item Lot ID,Vagrant (Enemy) Item Lot ID,Vagrant (Enemy) Item Lot ID,Use VFX 1,Use VFX 2,Use VFX 3,Is Not Great Rune/Physick Item,Undetermined,Can be used on Ladder,Is Activatable Item,Display Use Selected option,Affect Left-hand,Is Pureblood Knight's Medal,Undetermined,Regenerative Item Type,Item Display Type,Can be Dropped,Max Number Stored in Itembox,Undetermined,Undetermined,Undetermined,Undetermined,Unk10,Unk11,Unk12,Unk13,Unk14,Reinforcement Replacement ID,Reinforcement Material Set ID,Reinforcement Cost,Unk15,Unk16,Unk17,Unk18,Unk19,Unk20,Unk21,Unk22
0,,0,-1,-1,0,0,0,0,-1,-1,-1,-1,16711680,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,0,0,0,-1,-1,-1,False,False,False,False,False,False,False,False,0,0,True,0,255,1,-1,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
10,,1,501050,-1,0,0,-1,0,-1,999999,-1,-1,16711680,0,0,-1,-1,-1,99,0,50,0,2,0,0,6,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,302060,True,False,False,True,False,False,False,False,0,0,False,0,255,1,-1,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
11,,1,501051,-1,0,0,-1,0,-1,999999,-1,-1,16711680,0,0,-1,-1,-1,99,0,50,0,2,0,0,14,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,0,255,1,-1,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
12,,1,81,-1,0,0,-1,0,-1,999999,-1,-1,16711680,0,0,-1,-1,-1,1,0,50,0,2,0,0,6,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,0,255,1,-1,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
13,,1,8060,-1,0,0,-1,0,-1,999999,-1,-1,16711680,0,0,-1,-1,-1,1,0,50,0,2,0,0,14,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,301000,-1,301002,True,False,False,True,False,False,False,False,0,0,False,0,255,1,-1,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
14,,1,8061,-1,0,0,-1,0,-1,999999,-1,-1,16711680,0,0,-1,-1,-1,1,0,50,0,2,0,0,14,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,301000,-1,301002,True,False,False,True,False,False,False,False,0,0,False,0,255,1,-1,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
15,,1,8062,-1,0,0,-1,0,-1,999999,-1,-1,16711680,0,0,-1,-1,-1,1,0,50,0,2,0,0,14,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,301000,-1,301002,True,False,False,True,False,False,False,False,0,0,False,0,255,1,-1,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
16,,1,8070,-1,0,0,-1,0,-1,999999,-1,-1,16711680,0,0,-1,-1,-1,1,0,50,0,2,0,0,14,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,301000,-1,301002,True,False,False,True,False,False,False,False,0,0,False,0,255,1,-1,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
20,,1,124,-1,0,0,-1,0,-1,999999,-1,-1,16711680,0,0,-1,-1,-1,1,0,50,0,1,0,0,2,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,302000,-1,-1,True,False,False,True,False,False,False,False,0,0,False,0,255,1,-1,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
21,,1,-1,-1,0,0,-1,0,-1,999999,-1,-1,16711680,4121,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,0,255,1,-1,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
22,,1,-1,-1,0,0,-1,0,-1,999999,-1,-1,16711680,4032,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,0,255,1,-1,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
23,,1,-1,-1,0,0,100,0,-1,999999,-1,-1,16711680,4000,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,99,255,1,1000,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
24,,1,-1,-1,0,0,200,0,-1,999999,-1,-1,16711680,4001,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,99,255,1,3000,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
25,,1,-1,-1,0,0,500,0,-1,999999,-1,-1,16711680,4004,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,99,255,1,6000,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
26,,1,-1,-1,0,0,500,0,-1,999999,-1,-1,16711680,4006,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,99,255,1,5000,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
27,,1,-1,-1,0,0,200,0,-1,999999,-1,-1,16711680,4015,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,99,255,1,1000,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
28,,1,-1,-1,0,0,100,0,-1,999999,-1,-1,16711680,4065,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,99,255,1,2000,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
29,,1,-1,-1,0,0,500,0,-1,999999,-1,-1,16711680,4060,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,99,255,1,4000,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
30,,1,-1,-1,0,0,100,0,-1,999999,-1,-1,16711680,4061,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,99,255,1,5000,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
31,,1,-1,-1,0,0,200,0,-1,999999,-1,-1,16711680,4015,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,99,255,1,1000,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
35,,1,-1,-1,0,0,200,0,-1,999999,-1,-1,16711680,4128,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,99,255,1,1000,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
40,,1,-1,-1,0,0,-1,0,41,999999,-1,-1,16711680,0,0,-1,-1,-1,1,0,0,9,0,0,0,9,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,301000,-1,-1,True,False,True,True,False,False,False,False,3,0,False,1,255,1,-1,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
41,,1,-1,-1,0,0,-1,0,40,999999,-1,-1,16711680,0,0,-1,-1,-1,1,0,0,9,0,0,0,-1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,301001,-1,-1,True,False,True,True,False,False,False,False,3,0,False,1,255,1,-1,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
