Row ID;Row Name;Disable Param - Network Test;Disable Param - Debug;Destination Weather: Sunny;Destination Weather: Clear Sky;Destination Weather: Lightly Cloudy;Destination Weather: Cloudy;Destination Weather: Rain;Destination Weather: Heavy Rain;Destination Weather: Storm;Destination Weather: Storm for Battle;Destination Weather: Snow;Destination Weather: Heavy Snow;Destination Weather: Fog;Destination Weather: Heavy Fog;Destination Weather: Sandstorm;Destination Weather: Heavy Fog and Rain;Post Cutscene In-game Weather;Indoor/Outdoor Type;Replacement Weather: Sunny;Replacement Weather: Clear Sky;Replacement Weather: Lightly Cloudy;Replacement Weather: Cloudy;Replacement Weather: Rain;Replacement Weather: Heavy Rain;Replacement Weather: Storm;Replacement Weather: Storm for Battle;Replacement Weather: Snow;Replacement Weather: Heavy Snow;Replacement Weather: Fog;Replacement Weather: Heavy Fog;Replacement Weather: Sandstorm;Replacement Weather: Heavy Fog and Rain;Destination Weather: Snowstorm;Destination Weather: Lightning Storm;Destination Weather: Reserved 3;Destination Weather: Reserved 4;Destination Weather: Reserved 5;Destination Weather: Reserved 6;Destination Weather: Reserved 7;Destination Weather: Reserved 8;Replacement Weather: Snowstorm;Replacement Weather: Lightning Storm;Replacement Weather: Reserved 3;Replacement Weather: Reserved 4;Replacement Weather: Reserved 5;Replacement Weather: Reserved 6;Replacement Weather: Reserved 7;Replacement Weather: Reserved 8;Is Apply MapGdRegionID for GPARAM Enabled;Override MapGdRegion ID
0;;False;False;0;0;11;11;20;20;0;0;40;40;50;50;60;50;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
10000010;;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
10000020;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
10000030;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
10000040;;True;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
10000050;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;False;-1
10010000;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;False;-1
10010001;;True;False;0;1;10;11;20;21;30;31;40;41;50;51;60;52;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;81;82;83;84;85;86;87;88;1;1;1;1;1;1;1;1;False;-1
11000040;;True;False;0;0;11;11;20;20;0;0;40;40;50;50;60;50;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
11050010;;True;False;0;0;11;11;20;20;0;0;40;40;50;50;60;50;-1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;False;-1
