Row ID;Row Name;Material ID [1];Material ID [2];Material ID [3];Material ID [4];Material ID [5];Material ID [6];Material Amount [1];Material Amount [2];Material Amount [3];Material Amount [4];Material Amount [5];Material Amount [6];Material Category [1];Material Category [2];Material Category [3];Material Category [4];Material Category [5];Material Category [6];Disable Display Number [1];Disable Display Number [2];Disable Display Number [3];Disable Display Number [4];Disable Display Number [5];Disable Display Number [6]
0;None;1250;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
1;Smithing Stone [1] * 2;10100;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
2;Smithing Stone [1] * 4;10100;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
3;Smithing Stone [1] * 6;10100;-1;-1;-1;-1;-1;6;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
4;Smithing Stone [2] * 2;10101;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
5;Smithing Stone [2] * 4;10101;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
6;Smithing Stone [2] * 6;10101;-1;-1;-1;-1;-1;6;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
7;Smithing Stone [3] * 2;10102;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
8;Smithing Stone [3] * 4;10102;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
9;Smithing Stone [3] * 6;10102;-1;-1;-1;-1;-1;6;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
10;Smithing Stone [4] * 2;10103;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
11;Smithing Stone [4] * 4;10103;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
12;Smithing Stone [4] * 6;10103;-1;-1;-1;-1;-1;6;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
13;Smithing Stone [5] * 2;10104;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
14;Smithing Stone [5] * 4;10104;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
15;Smithing Stone [5] * 6;10104;-1;-1;-1;-1;-1;6;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
16;Smithing Stone [6] * 2;10105;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
17;Smithing Stone [6] * 4;10105;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
18;Smithing Stone [6] * 6;10105;-1;-1;-1;-1;-1;6;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
19;Smithing Stone [7] * 2;10106;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
20;Smithing Stone [7] * 4;10106;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
21;Smithing Stone [7] * 6;10106;-1;-1;-1;-1;-1;6;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
22;Smithing Stone [8] * 2;10107;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
23;Smithing Stone [8] * 4;10107;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
24;Smithing Stone [8] * 6;10107;-1;-1;-1;-1;-1;6;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
25;Ancient Dragon Smithing Stone * 1;10140;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
100;;1110;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
101;;10100;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
102;;10100;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
103;;10100;-1;-1;-1;-1;-1;6;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
104;;10101;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
105;;10101;-1;-1;-1;-1;-1;4;-1;-1;-1;-1;-1;4;15;15;15;15;0;False;False;False;False;False;False
