Row ID;Row Name;Disable Param - Network Test;Sort ID;Wandering Equip ID;Resist - Sleep;Resist - Madness;Poise Durability;Poise;Repair Price;Basic Price;Sell Value;Weight;Resident SpEffect ID [1];Resident SpEffect ID [2];Resident SpEffect ID [3];Upgrade Material ID;Weak Parts Damage %;Poise Recovery Correction;Origin Armor 0;Origin Armor 1;Origin Armor 2;Origin Armor 3;Origin Armor 4;Origin Armor 5;Origin Armor 6;Origin Armor 7;Origin Armor 8;Origin Armor 9;Origin Armor 10;Origin Armor 11;Origin Armor 12;Origin Armor 13;Origin Armor 14;Origin Armor 15;Facescale - Male - Scale X;Facescale - Male - Scale Z;Facescale - Male - Max X;Facescale - Male - Max Z;Facescale - Female - Scale X;Facescale - Female - Scale Z;Facescale - Female - Max X;Facescale - Female - Max Z;QWC ID;Model ID;Icon ID - Male;Icon ID - Female;Knockback;Knockback Bounce Rate;Durability;Max Durability;Weapon Repel Power;Defence - Physical;Defence - Magic;Defence - Fire;Defence - Lightning;Defence - Slash;Defence - Strike;Defence - Thrust;Resist - Poison;Resist - Scarlet Rot;Resist - Hemorrhage;Resist - Blight;Reinforce Type ID;Achievement ID;Shop Level;Knockback Param ID;Weapon Repel Damage %;Equip Model Category;Equip Model Gender;Armor Category;Rarity;Sort Group ID;Parts Damage Type;Can Deposit;Is Head Equipment;Is Body Equipment;Is Arm Equipment;Is Leg Equipment;Use Facescale;Skip Weak Damage Anim;Defence Material - Variation Value - Weak;Auto Foot Effect Decal Base ID [2];Auto Foot Effect Decal Base ID [3];Defence Material - Variation Value;Can Discard;Can Drop;Cannot Drop in Multiplayer;Simple Model for DLC1;Show Log Condition Type;Show Dialog Condition Type [0];Show Dialog Condition Type [1];Absorption - Physical;Absorption - Slash;Absorption - Strike;Absorption - Thrust;Absorption - Magic;Absorption - Fire;Absorption - Lightning;Defence Material SFX ID [1];Defence Material SFX ID - Weak [1];Defence Material [1];Defence Material - Weak [1];Defence Material SFX ID [2];Defence Material SFX ID - Weak [2];Foot Material SE;Defence Material - Weak [2];Auto Foot Effect Decal Base ID [1];Toughness Absorption;Toughness Recovery Correction;Absorption - Holy;Defence - Holy;Posture Control ID;Shop Price;Resist - Frost;Mask 00 - Hide upper front face;Mask 01 - Hide lower front face;Mask 02 - Hide middle front face;Mask 03 - Hide top and back of head;Mask 04 - Hide neck;Mask 05 - Hide neckline and shoulders;Mask 06 - Hide upper torso area, reduce back size;Mask 07 - Reduce bicep size;Mask 08 - Reduce shoulder and upper bicep size;Mask 09 - Hide elbows;Mask 10 - Hide lower forearms;Mask 11 - Hide right hand;Mask 12 - Hide upper leg area;Mask 13 - Hide left hand;Mask 14 - Hide lower leg area;Mask 15 - Hide calves;Mask 16 - Hide feet;Mask 17 - Alter Armor Part;Mask 18 - Alter Armor Part;Mask 19 - Alter Armor Part;Mask 20 - Alter Armor Part;Mask 21 - Alter Armor Part;Mask 22 - Alter Armor Part;Mask 23 - Alter Armor Part;Mask 24 - Alter Armor Part;Mask 25 - Alter Armor Part;Mask 26 - Hide arms (for specific chest armor);Mask 27 - Alter Armor Part;Mask 28 - Hide shoulders and shoulder armor;Mask 29 - Hide wrist cloth;Mask 30 - Alter Armor Part;Mask 31 - Alter Armor Part;Mask 32 - Alter Neck Part;Mask 33 - Alter Armor Part;Mask 34 - Alter Neck/Shoulder Part;Mask 35 - Alter Lower Stomach Part;Mask 36 - Alter Hood Part;Mask 37 - Alter Armor Part;Mask 38 - Hide Left Shoulder Part;Mask 39 - Hide Right Shoulder Part;Mask 40 - Alter Armor Part;Mask 41 - Alter Armor Part;Mask 42 - Alter Armor Part;Mask 43 - Alter Armor Part;Mask 44 - Alter Armor Part;Mask 45 - Alter Armor Part;Mask 46 - Alter Armor Part;Mask 47 - Alter Armor Part;Mask 48 - Alter Armor Part;Mask 49 - Alter Armor Part;Mask 50 - Alter Armor Part;Mask 51 - Head: Hide Leg Part;Mask 52 - Alter Armor Part;Mask 53 - Head: Hide Knee Part;Mask 54 - Alter Armor Part;Mask 55 - Head: Hide Belt Part;Mask 56 - Alter Armor Part;Mask 57 - Head: Hide Skirt Part;Mask 58 - Alter Armor Part;Mask 59 - Alter Armor Part;Mask 60 - Hide hair scalp;Mask 61 - Hide hair low;Mask 62 - Alter Armor Part;Mask 63 - Hide hair top in;Mask 64 - Hide hair top out;Mask 65 - Hide hair front in;Mask 66 - Hide hair front out;Mask 67 - Hide hair sides;Mask 68 - Hide hair back;Mask 69 - Hide ponytail;Mask 70 - Alter Armor Part;Mask 71 - Alter Armor Part;Mask 72 - Alter Prisoner Part;Mask 73 - Alter Fia Clothing Part;Mask 74 - Alter Armor Part;Mask 75 - Alter Armor Part;Mask 76 - Alter Armor Part;Mask 77 - Alter Armor Part;Mask 78 - Alter Armor Part;Mask 79 - Alter Armor Part;Mask 80 - Alter Armor Part;Mask 81 - Alter Armor Part;Mask 82 - Alter Armor Part;Mask 83 - Alter Armor Part;Mask 84 - Alter Armor Part;Mask 85 - Alter Armor Part;Mask 86 - Alter Armor Part;Mask 87 - Alter Armor Part;Mask 88 - Alter Armor Part;Mask 89 - Alter Armor Part;Mask 90 - Alter Armor Part;Mask 91 - Alter Armor Part;Mask 92 - Alter Armor Part;Mask 93 - Alter Armor Part;Mask 94 - Alter Armor Part;Mask 95 - Alter Armor Part
1000;Type 1;False;99999;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1.1;1.1;1;1;1.1;1.1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;1;0;4;1;4;0;255;0;False;False;False;False;False;False;False;0;-1;-1;0;False;False;False;False;True;False;True;1;1;1;1;1;1;1;139;139;139;139;139;139;139;139;-1;1;0;1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1100;Type 2;False;99999;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1.1;1.1;1;1;1.1;1.1;-1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;1;0;4;1;4;0;255;0;False;False;False;False;False;False;False;0;-1;-1;0;False;False;False;False;True;False;True;1;1;1;1;1;1;1;139;139;139;139;139;139;139;139;-1;1;0;1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1200;Type 3;False;99999;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1.1;1.1;1;1;1.1;1.1;-1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;1;0;4;1;4;0;255;0;False;False;False;False;False;False;False;0;-1;-1;0;False;False;False;False;True;False;True;1;1;1;1;1;1;1;139;139;139;139;139;139;139;139;-1;1;0;1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1300;Type 4;False;99999;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1.1;1.1;1;1;1.1;1.1;-1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;1;0;4;1;4;0;255;0;False;False;False;False;False;False;False;0;-1;-1;0;False;False;False;False;True;False;True;1;1;1;1;1;1;1;139;139;139;139;139;139;139;139;-1;1;0;1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1400;Type 5;False;99999;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1.1;1.1;1;1;1.1;1.1;-1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;1;0;4;1;4;0;255;0;False;False;False;False;False;False;False;0;-1;-1;0;False;False;False;False;True;False;True;1;1;1;1;1;1;1;139;139;139;139;139;139;139;139;-1;1;0;1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1500;Type 6;False;99999;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1.1;1.1;1;1;1.1;1.1;-1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;1;0;4;1;4;0;255;0;False;False;False;False;False;False;False;0;-1;-1;0;False;False;False;False;True;False;True;1;1;1;1;1;1;1;139;139;139;139;139;139;139;139;-1;1;0;1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1600;Type 7;False;99999;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1.1;1.1;1;1;1.1;1.1;-1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;1;0;4;1;4;0;255;0;False;False;False;False;False;False;False;0;-1;-1;0;False;False;False;False;True;False;True;1;1;1;1;1;1;1;139;139;139;139;139;139;139;139;-1;1;0;1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1700;Type 8;False;99999;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1.1;1.1;1;1;1.1;1.1;-1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;1;0;4;1;4;0;255;0;False;False;False;False;False;False;False;0;-1;-1;0;False;False;False;False;True;False;True;1;1;1;1;1;1;1;139;139;139;139;139;139;139;139;-1;1;0;1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1800;Type 9;False;99999;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1.1;1.1;1;1;1.1;1.1;-1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;1;0;4;1;4;0;255;0;False;False;False;False;False;False;False;0;-1;-1;0;False;False;False;False;True;False;True;1;1;1;1;1;1;1;139;139;139;139;139;139;139;139;-1;1;0;1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1900;Type 10;False;99999;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1.1;1.1;1;1;1.1;1.1;-1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;1;0;4;1;4;0;255;0;False;False;False;False;False;False;False;0;-1;-1;0;False;False;False;False;True;False;True;1;1;1;1;1;1;1;139;139;139;139;139;139;139;139;-1;1;0;1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
