Row ID;Row Name;Lower FPS Threshold - Raise Balance Level;Upper FPS Threshold - Lower Balance Level;Lower FPS Continous - Raise Balance Level;Upper FPS Continous - Lower Balance Level;Sleep Frame Count after Level Lower;Sleep Frame Count after Level Raise;Post Process: Light Shaft;Post Process: Bloom;Post Process: Glow;Post Process: Anti-Aliasing;Post Process: SSAO;Post Process: Depth of Field;Post Process: Motion Blur;Post Process: Motion Blur Iteration;Cut Shadow Blur;Halve SFX Particle;Omit SFX Reflection;Omit Water Surface SFX Interaction;Omit SFX Glow;Omit SFX Distortion;Omit SFX Soft Sprite;Omit SFX Light Shaft;SFX Scale - Render Distance Scale;Dumamitc Resolution;Halve Shadow Cascade [0] Resolution;Halve Shadow Cascade [1] Resolution;Disable Wetness for Player;Disable Wetness for Remote Player;Disable Wetness for NPC;Lower Limit of Resolution Reduction;Upper Limit of Resolution Reduction
0;;30.6;31.6;5;20;30;10;13;15;21;21;21;21;11;7;9;5;4;4;21;4;21;5;4;2;1;14;3;2;2;70;100
1;;32.5;33.5;5;20;30;10;13;15;21;21;18;18;11;7;9;3;3;3;21;3;21;5;3;2;1;14;3;2;2;70;100
2;;30.6;31.6;5;20;30;10;13;6;21;21;21;21;11;7;9;13;10;8;21;10;21;5;10;2;1;14;3;2;2;70;100
3;;32.5;33.5;5;20;30;10;13;15;21;21;18;18;11;7;9;3;3;3;21;3;21;5;3;2;1;14;3;2;2;70;100
10;;30.6;31.6;5;20;30;10;13;6;21;21;21;21;11;7;9;5;4;4;21;4;21;5;4;2;1;14;3;2;2;100;100
11;;32.5;33.5;5;20;30;10;13;6;21;21;18;18;11;7;9;5;4;4;21;4;21;5;4;2;1;14;3;2;2;100;100
12;;30.6;31.6;5;20;30;10;13;6;21;21;21;21;11;7;9;13;10;8;21;10;21;5;10;2;1;14;3;2;2;100;100
13;;32.5;33.5;5;20;30;10;13;6;21;21;18;18;11;7;9;5;4;4;21;4;21;5;4;2;1;14;3;2;2;100;100
30;;30.6;31.6;5;20;30;10;21;21;21;21;21;21;21;21;9;21;21;21;21;21;21;21;21;2;1;14;21;21;21;100;100
31;;58.6;59.6;5;20;30;10;21;21;21;21;21;21;11;7;9;8;8;5;21;6;21;5;6;2;1;14;21;21;21;70;100
40;;30.6;31.6;5;20;30;10;21;21;21;21;21;21;21;21;9;21;21;21;21;21;21;21;21;2;1;14;21;21;21;100;100
41;;58.6;59.6;5;20;30;10;21;21;21;21;21;21;11;7;9;8;8;5;21;6;21;5;6;2;1;14;21;21;21;70;100
50;;30.6;31.6;5;20;30;10;21;21;21;21;21;21;11;7;9;13;10;8;21;10;21;5;10;2;1;14;3;2;2;90;100
51;;58.6;59.6;5;20;30;10;13;6;21;21;21;21;11;7;9;8;8;5;21;6;21;5;6;2;1;14;3;2;2;70;100
