Row ID;Row Name;Disable Param - Network Test;Pre-conversion - Map Image: R;Pre-conversion - Map Image: G;Pre-conversion - Map Image: B;Map Name ID
10;;False;0;255;0;-61000
11;;False;0;223;0;61000
12;;False;0;191;191;-61001
13;;False;0;223;191;61001
15;;False;15;127;15;-61002
16;;False;15;191;15;61002
20;;False;15;15;127;-62000
21;;False;0;127;223;62000
22;;False;0;255;255;-62001
23;;False;0;223;223;62001
24;;False;0;0;255;-62002
25;;False;0;0;223;62002
30;;False;255;255;191;-63000
31;;False;255;223;191;63000
32;;False;255;207;0;-63002
33;;False;255;191;0;63002
34;;False;255;159;0;-63001
35;;False;255;127;0;63001
36;;False;191;223;191;-63003
37;;False;191;239;191;63003
40;;False;255;0;0;-64000
41;;False;223;0;0;64000
42;;False;255;127;127;-64001
43;;False;207;127;127;64001
44;;False;255;127;255;-64002
45;;False;223;127;223;64002
50;;False;191;191;191;-65000
51;;False;223;223;223;65000
52;;False;159;127;127;-65001
53;;False;159;159;159;65001
54;;False;223;223;239;-65002
55;;False;239;239;239;65002
255;;False;0;0;0;0
