Row ID;Row Name;Ongoing Visual FX ID;Ongoing Sound FX ID;Initial Visual FX ID;Initial Sound FX ID;Finish Visual FX ID;Finish Sound FX ID;Hide Start Distance;Hide End Distance;Transform - Protector ID;Ongoing Model Point ID;Initial Model Point ID;Finish Model Point ID;Effect Type;Weapon Enchant ID 0;Play Category;Play Priority;Large Effect Exists;Soul Effect Exists;Invisible Whilst Hidden;Enable Hide Fields;Invisible in Camouflage for Friend;Add Map Area Block Offset;Enable Half Hidden;Is Full Body Protector ID;Is Invisible Weapon;Is Silent;Is Hand Protector ID;Unk1;Unk2;Unk3;Unk4;Unk5;Decal ID 0;Decal ID 1;Weapon Enchant ID 1;Effect VFX Type 0;Effect VFX Type 1;Body Protector Type;Effect VFX - Dummy ID 0;Effect VFX - Dummy ID 1;Effect VFX - Dummy ID 2;Effect VFX - Dummy ID 3;Effect VFX - Dummy ID 4;Effect VFX - Dummy ID 5;Effect VFX - Dummy ID 6;Effect VFX - Dummy ID 7;Effect VFX - Dummy ID 8;Effect VFX - Dummy ID 9;Effect VFX - Dummy ID 10;Effect VFX - Dummy ID 11;Effect VFX - Dummy ID 12;Effect VFX - Dummy ID 13;Effect VFX - Dummy ID 14;Effect VFX - Dummy ID 15;Unk6;Phantom Type;Camouflage Ghost;Unk7;Phantom Param ID;Emissive Intensity Scale;Unk8;Body Protector Val;Unk9;Ember Intensity Scale;Unk10;Unk11;Unk12;Unk13
0;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;-1;0;0;0;0;65535;0;0;0
1;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;-1;0;0;0;0;65535;0;0;0
2;;4140;-1;-1;-1;-1;-1;-1;-1;-1;905;-1;-1;0;0;4;12;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;-1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;-1;0;0;0;0;65535;0;0;0
3;;890;-1;-1;-1;-1;-1;-1;-1;-1;200;-1;-1;0;0;4;3;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;-1;0;0;0;0;65535;0;0;0
4;;815;-1;-1;-1;-1;-1;-1;-1;-1;220;-1;-1;0;0;0;0;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;-1;0;0;0;0;65535;0;0;0
5;;4200;-1;-1;-1;-1;-1;-1;-1;-1;905;-1;-1;0;0;4;11;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;-1;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;-1;0;0;0;0;65535;0;0;0
6;;4080;-1;-1;-1;-1;-1;-1;-1;-1;220;-1;-1;0;0;0;0;True;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;-1;-1;0;3;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;-1;0;0;0;0;65535;0;0;0
8;;24027;-1;-1;-1;-1;-1;17;12;-1;220;-1;-1;0;0;3;2;False;False;True;True;True;False;True;False;False;False;False;False;False;False;False;False;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;-1;0;0;0;0;65535;0;0;0
9;;20228;-1;-1;-1;-1;-1;-1;-1;-1;236;-1;-1;0;0;3;53;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;-1;0;0;0;0;65535;0;0;0
10;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;-1;0;0;0;0;65535;0;0;0
