Row ID;Row Name;Shealth Time;Unk0;Unk1;Unk2;1H - Dummy ID 0;1H - Dummy ID 1;2H - Dummy ID 0;Sheathed - Dummy ID 0;Sheathed - Dummy ID 1;1H - Dummy ID 2;1H - Dummy ID 3;2H - Dummy ID 1;Sheathed - Dummy ID 2;Sheathed - Dummy ID 3;1H - Dummy ID 4;1H - Dummy ID 5;2H - Dummy ID 2;Sheathed - Dummy ID 4;Sheathed - Dummy ID 5;1H - Dummy ID 6;1H - Dummy ID 7;2H - Dummy ID 3;Sheathed - Dummy ID 6;Sheathed - Dummy ID 7;Unk22;Unk23;Unk24;Unk25;2H - Dummy ID 4;2H - Dummy ID 5;2H - Dummy ID 6;2H - Dummy ID 7;Unk30;Unk31;Unk32;Unk33;Unk34;Unk35;Unk36;Unk37;Unk38;Unk39;Unk40;Unk41;Unk42;Unk43;Unk44;Unk45;Unk46;Unk47;Unk48;Unk49;Unk50;Unk51;Unk52;Unk53;Unk1;Unk2;Unk3;Unk4;Unk5;Unk6;Unk7;Unk8;Unk9;Unk10;Unk11;Unk12;Unk13;Unk14;Unk15;Unk16
0;;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;;0;0;0;0;1;0;400;401;400;403;402;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;400;-1;-1;-1;-1;-1;0;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
2;;0;0;0;0;1;0;404;405;410;2407;2406;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;410;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
3;;0;0;0;0;1;0;404;405;410;407;406;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;410;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
4;;0;0;0;0;1;0;20;405;21;407;406;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;21;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
5;;0;0;0;0;1;0;20;405;21;409;408;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;21;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
6;;0;0;0;0;1;0;20;405;21;409;406;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;21;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
7;;0;0;0;0;1;0;20;405;21;407;406;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;21;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
8;;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;;0;0;0;0;0;0;20;21;24;2031;2030;2030;2031;2030;2031;2030;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;2031;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
21;;0;0;0;0;2;0;20;21;24;2036;2035;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
22;;0;0;0;0;0;0;115;116;115;2063;2064;2118;2119;2117;2119;2118;30;31;30;31;30;62;61;62;61;0;62;0;512;257;115;2117;31;0;61;0;0;0;0;0;3;3;3;3;1;1;3;3;3;3;1;1;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
23;;0;0;0;0;0;0;20;21;24;2031;2030;2030;2031;2030;2031;2030;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;2031;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
24;;0;0;0;0;3;0;20;21;16;2114;2113;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;16;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
25;;0;0;0;0;2;0;20;21;24;2036;2035;2035;2036;2035;2036;2035;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;2036;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
26;;0;0;0;0;2;0;20;21;24;2036;2035;35;36;35;36;35;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;36;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
27;;0;0;0;0;0;0;20;21;24;2031;2030;2030;2031;2030;2031;2030;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;2031;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
28;;0;0;0;0;0;0;20;21;24;2031;2030;2030;2031;2030;2031;2030;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;2031;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
29;;0;0;0;0;1;0;20;21;24;2070;2069;2069;2070;2069;2070;2069;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;2070;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
30;;0;0;0;0;0;0;20;21;24;2031;2030;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
31;;0;0;0;0;0;0;20;21;24;2031;2030;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
32;;0;0;0;0;2;0;20;21;24;2036;2035;35;36;35;36;35;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;36;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
33;;0;0;0;0;0;0;20;21;24;2031;2030;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
34;;0;0;0;0;0;0;20;21;24;2031;2030;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
35;;0;0;0;0;2;0;20;21;24;2036;2035;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
36;;0;0;0;0;3;0;20;21;24;2038;2037;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
37;;0;0;0;0;3;0;20;21;24;2038;2037;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
38;;0;0;0;0;3;0;20;21;24;2038;2037;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
39;;0;0;0;0;0;0;20;21;24;2031;2030;30;31;30;31;30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;31;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
40;;0;0;0;0;2;0;20;21;24;2036;2035;35;36;35;36;35;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;256;0;24;36;-1;-1;-1;-1;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
