Row ID;Row Name;Disable Param - Network Test;Model Memory Type;Texture Memory Type;Camera Dither Fade ID;Send Report - Animation Memory Size MB
100;;False;1;1;0;12
110;;False;1;1;0;12
120;;False;1;1;0;12
1000;;False;1;1;0;12
2010;Blaidd;False;3;3;101;12
2030;Rennala;False;4;4;101;12
2031;Rennala;False;1;1;101;12
2040;Rennala Student;False;3;3;101;12
2041;Rennala Student (Bug);False;3;3;101;12
2050;Snow Witch Ranni;False;3;3;101;12
2051;Snow Witch Ranni;False;3;3;101;12
2060;The Two Fingers;False;4;4;120;12
2070;The Three Fingers;False;4;4;120;12
2100;Black Knife Assassin;False;3;3;101;12
2110;Beast Clergyman;False;4;4;120;12
2120;;False;4;4;101;12
2130;Morgott;False;4;4;110;12
2131;Morgott (Dead);False;3;3;101;12
2140;Omen Monstrosity;False;3;3;110;12
2150;Empty;False;1;1;101;12
2160;Palm Reader;False;2;2;101;12
2170;Palm Reader;False;2;2;101;12
2180;Melina;False;3;3;101;12
2190;Radagon;False;4;4;101;12
2191;Radagon (Crucified);False;4;4;101;12
2200;Elden Beast;False;4;4;120;12
2270;Giant Crab;False;4;4;110;12
2271;Crab;False;2;2;101;12
2272;Giant Crab (Damaged);False;4;4;110;12
2273;Crab (Worms);False;2;2;101;12
2274;Crab;False;4;4;110;12
2275;Crab (Crystals);False;2;2;101;12
2276;Crab (Very Dirty);False;4;4;110;12
2277;Crab (Dirty);False;2;2;101;12
2500;Crucible Knight;False;3;3;101;12
3000;Castle Exile;False;3;3;101;15
3010;Banished Knight;False;3;3;101;12
3020;Castle Exile (Large);False;3;3;101;12
3050;Commander;False;4;4;110;12
3060;Undead Mariner;False;3;3;101;12
3061;Undead Azula Beastman;False;3;3;101;12
3070;Dominula Celebrant;False;3;3;101;12
3080;Imp;False;3;3;101;12
3100;Elemer of the Briar;False;3;3;101;12
3150;Night's Cavalry;False;3;4;110;12
3160;Night's Cavalry Horse;False;3;1;110;12
3170;Albinauric Archer;False;3;3;101;12
3171;Albinauric Archer (No quiver);False;3;3;110;12
3180;Dog;False;2;2;101;12
3181;Red Wolf of Radagon;False;3;3;110;12
3200;Nomad Trader;False;3;3;101;12
3201;Nomad Trader;False;3;3;101;12
3202;Nomad Trader;False;3;3;101;12
3210;Nomad Mule;False;2;2;101;12
3250;Draconic Tree Sentinel;False;4;4;120;12
3251;Tree Sentinel;False;4;4;120;12
3252;Tree Sentinel (Fallen);False;4;4;120;12
3300;Nox Swordstress;False;3;3;101;12
3320;Silver Tear;False;2;2;101;12
3330;Silver Tear Orb;False;2;2;110;12
3350;Crystalian;False;3;3;101;12
3360;Ancestral Follower;False;3;3;101;12
3361;Ancestral Follower;False;3;3;101;12
3370;Ancestral Follower Shaman;False;3;3;101;12
3371;Ancestral Follower Shaman;False;3;3;101;12
3400;Grave Warden Duelist;False;3;3;101;12
3450;Misbegotten;False;3;3;101;15
3451;Misbegotten;False;1;1;101;12
3460;Winged Misbegotten;False;3;3;101;12
3470;Albinauric;False;3;3;101;12
3471;Albinauric (Variant);False;3;3;101;12
3500;Skeleton (Curved Sword);False;3;3;101;12
3510;Skeleton (Scimitar);False;3;3;101;12
3550;Sanguine Noble;False;3;3;101;12
3560;Godskin Apostle;False;3;3;110;12
3570;Godskin Noble;False;3;3;110;12
3600;Alabaster Lord;False;3;3;101;12
3610;Oracle Envoy;False;3;3;101;12
3620;Oracle Envoy (Robe);False;3;3;101;12
3630;Oracle Envoy;False;3;3;120;12
3640;;False;2;2;110;12
3650;Erdtree Guardian;False;3;3;101;12
3660;Commoner;False;3;3;101;15
3661;Putrid Corpse;False;3;3;101;12
3662;Putrid Corpse;False;3;3;101;12
3664;Cemetery Shade;False;3;3;101;12
3665;Devious Commoner;False;3;3;101;12
3666;Sunflower Commoner;False;3;3;101;12
3670;Albinauric Lookout;False;3;3;101;12
3700;Depraved Perfumer;False;3;3;101;12
3701;Depraved Perfumer;False;3;3;101;12
3702;Raya Lucaria Scholar;False;3;3;101;12
3703;Noble's Page;False;3;3;101;12
3704;Battlemage;False;3;3;101;12
3710;Master Azur;False;3;3;101;12
3720;Sorcerer with Orbhead;False;3;3;101;12
3730;Stone Wizard Orb;False;3;3;110;12
3750;Clayman;False;3;3;101;12
3800;Cleanrot Knight;False;3;3;101;12
3810;Kindred of Rot;False;3;3;101;12
3850;Marionette;False;3;3;101;12
3860;Avionette;False;3;3;101;12
3900;Fire Monk;False;3;3;101;12
3901;Godskin Monk;False;3;3;101;12
3910;Fire Prelate;False;3;3;110;12
3950;Man-Serpent;False;3;3;101;15
3970;Azula Beastman;False;3;3;101;12
4000;Royal Rider;False;3;3;101;12
4020;Royal Revenant;False;3;3;101;12
4040;Slug;False;2;2;101;12
4050;Kaiden Sellsword;False;3;3;101;12
4060;Horse (Thick Mane);False;2;2;101;12
4070;Wolf;False;2;2;101;12
4071;Wolf;False;1;1;101;12
4080;Rat;False;2;2;101;12
4090;Giant Rat;False;3;3;101;12
4100;Demi-Human;False;2;2;101;12
4101;Demi-Human (Large);False;2;2;101;12
4110;Demi-Human Shaman;False;2;2;101;12
4120;Demi-Human Beastman;False;2;2;101;12
4130;Demi-Human Queen;False;4;4;110;12
4140;Snail;False;3;3;101;12
4150;Basilisk;False;3;3;101;12
4160;Dog (Thick Fur);False;2;2;101;12
4161;Dog (Thick Fur);False;2;2;101;12
4162;Starved Dog (Fur);False;2;2;101;12
4163;Starved Dog (Fur);False;2;2;101;12
4164;Starved Dog;False;2;2;101;12
4165;Starved Dog;False;2;2;101;12
4166;Starved Dog;False;2;2;101;12
4167;Starved Dog;False;2;2;101;12
4170;Living Mass;False;2;2;101;12
4171;Living Mass;False;3;3;101;12
4180;Jellyfish;False;2;2;101;12
4190;Scarab;False;2;2;101;12
4191;Scarab (Plain);False;1;1;101;12
4192;Scarab;False;1;1;101;12
4200;Giant Bat;False;2;2;101;12
4201;Bat Harpy;False;3;3;101;12
4210;Warhawk;False;3;3;101;12
4220;Land Octopus (Large);False;3;3;120;12
4230;Land Octopus (Small);False;3;3;101;12
4240;Fingercreeper (Large);False;3;3;110;12
4241;Fingercreeper (Large);False;3;3;120;12
4250;Fingercreeper (Small);False;3;3;101;12
4260;Burial Watchdog;False;3;3;101;12
4270;Lion Guardian;False;4;4;110;12
4280;Giant Ant Queen;False;3;3;110;12
4281;Giant Ant;False;3;3;120;12
4290;Bloodhound Knight;False;3;3;101;12
4300;Wandering Noble;False;3;3;101;15
4310;Soldier;False;3;3;101;15
4311;Godrick Soldier;False;3;3;101;12
4312;Raya Lucaria Soldier;False;3;3;101;12
4313;Leyndell Soldier;False;3;3;101;12
4314;Radahn Soldier;False;3;3;101;12
4315;Mausoleum Soldier (Headless);False;3;3;101;12
4316;Haligtree Soldier;False;3;3;101;12
4321;Vulgar Militia;False;2;2;101;12
4340;Mad Pumpkin Head;False;4;4;110;12
4341;Grinning Torturer;False;4;4;110;12
4350;Knight;False;3;3;101;12
4351;Godrick Knight;False;3;3;101;12
4352;Cuckoo Knight;False;3;3;101;12
4353;Leyndell Knight;False;3;3;101;12
4354;Redmane Kngiht;False;3;3;101;12
4355;Mausoleum Knight (Headless);False;3;3;101;12
4356;Haligtree Knight;False;3;3;101;12
4358;;False;3;3;101;12
4360;Knight's Horse;False;3;3;101;12
4361;Knight's Horse;False;3;3;101;12
4362;Knight's Horse;False;3;3;101;12
4363;Knight's Horse;False;3;3;101;12
4364;Knight's Horse;False;3;3;101;12
4365;Knight's Horse;False;3;3;101;12
4368;;False;3;3;101;12
4370;Foot Soldier;False;3;3;101;12
4371;Godrick Foot Soldier;False;3;3;101;12
4372;Raya Lucaria Foot Soldier;False;3;3;101;12
4373;Leyndell Foot Soldier;False;3;3;101;12
4374;Radahn Foot Soldier;False;3;3;101;12
4375;Mausoleum Foot Soldier;False;3;3;101;12
4376;Haligtree Foot Soldier;False;3;3;101;12
4377;Highwayman;False;3;3;101;12
4380;Starcaller;False;3;3;101;15
4381;Bloodthorn Exile;False;3;3;101;12
4382;Tunnel Miner;False;3;3;101;12
4383;Glintstone Miner;False;3;3;101;12
4384;Glintstone Miner - Small Sack;False;3;3;101;12
4385;Fungal Sorcerer;False;3;3;101;12
4420;Giant Lobster;False;4;4;110;12
4421;Giant Lobster;False;4;4;110;12
