Row ID;Row Name;Unk0;LOD Distance;LOD Distance;Unk3;LOD Distance;LOD Distance;Unk6;Unk7;Unk8;Unk9;Unk10;Unk11
0;;5397;1;1;5397;1;1;0;0;0;0;0;0
1;;5397;1;1;5397;1;1;0;0;0;0;0;0
2;;5121;1;0.5;5121;1;0.5;0;0;0;0;0;0
3;;5121;1;0.5;5121;1;0.5;0;0;0;0;0;0
4;;5121;1;0.8;5121;1;0.75;0;0;0;0;0;0
5;;5121;1;0.6;5121;1;0.6;0;0;0;0;0;0
6;;5121;1;0.5;5121;1;0.5;0;0;0;0;0;0
7;;5121;1;0.4;5121;1;0.4;0;0;0;0;0;0
8;;5121;1;0.3;5121;1;0.3;0;0;0;0;0;0
10;;5121;1;0.25;5121;1;0.25;0;0;0;0;0;0
11;;5121;1;0;5121;1;0;0;0;0;0;0;0
12;;5397;1;1;5397;1;1;0;0;0;0;0;0
13;;5397;1;1;5397;1;1;0;0;0;0;0;0
20;;5397;1;1;5397;1;1;0;0;0;0;0;0
