Row ID;Row Name;Disable Param - Network Test;Enable Fast Travel Event Flag ID;Weather Lot - Time Offset;Weather Create Asset Limit ID;Map AI Sight Type;Sound Indoor Type;Reverb Default Type;BGM Place Info;Env Place Info;Map Additional Sound Bank ID;Map Height for Sound;Enable Blend Timezone Envmap;Override GI Resolution - XSS;Map High Hit Switch - AABB Depth;Map High Hit Switch - AABB Height;Map High Hit Switch - Play Distance;Automatic Draw Group - Back Side Pixel Count;Player Light Scale;Enable Timezone Player Light Scale;Disable Automatic Cliff Wind;Open Character Activation Threshold;Map Mimicry Establishment Param ID;Override GI Resolution - XSX
0;;False;0;0;-1;0;0;-1;0;0;-1;0;True;-1;40;40;5;32400;1;True;False;-1;-1;-1
10000000;;False;0;0;-1;1;0;-1;999;100;-1;-273;True;0;25;5;1;32400;1;True;False;-1;-1;0
10010000;;True;0;0;-1;1;0;-1;180;100;-1;0;True;-1;40;40;5;32400;1;True;False;-1;-1;-1
11000000;;True;0;0;-1;1;0;-1;110;110;-1;0;True;0;40;20;4;81000;1;True;False;-1;-1;0
11050000;;True;0;0;-1;1;0;-1;110;110;11005;0;True;0;40;40;5;32400;1;True;False;-1;-1;0
11100000;;True;0;0;-1;1;0;-1;111;110;11010;0;False;-1;40;40;5;32400;1;True;False;-1;-1;-1
11700000;;True;0;0;-1;1;0;-1;999;110;-1;0;False;-1;40;40;5;32400;1;True;False;-1;-1;-1
11710000;;True;0;0;-1;1;0;-1;999;110;-1;0;False;0;40;40;5;32400;1;True;False;-1;-1;0
11720000;;True;0;0;-1;1;0;-1;999;110;-1;0;False;-1;40;40;5;32400;1;True;False;-1;-1;-1
12010000;;True;0;0;-1;1;1;-1;120;120;-1;0;False;-1;40;40;5;32400;1;True;False;-1;-1;-1
12020000;;True;0;0;-1;1;1;-1;120;120;-1;0;False;0;40;20;4;32400;1;True;False;-1;-1;0
12030000;;True;0;0;-1;1;1;-1;120;120;12003;0;False;-1;30;20;4;32400;1;True;False;-1;-1;-1
12040000;;True;0;0;-1;1;1;-1;120;120;-1;0;False;-1;40;40;5;32400;1;True;False;-1;-1;-1
12050000;;True;0;0;-1;1;1;-1;120;120;12005;0;False;-1;40;40;5;32400;1;True;False;-1;-1;-1
12060000;;True;0;0;-1;1;1;-1;120;120;-1;0;False;-1;40;40;5;32400;1;True;False;-1;-1;-1
