Row ID;Row Name;Right-hand - R1 Combo;Right-hand - R2 Combo;Right-hand - Dash Attack;Right-hand - Forward Roll Attack;Right-hand - Side Roll Attack;Right-hand - Backward Roll Attack;Right-hand - Backstep Attack;Right-hand - Jump Attack;Right-hand - Dash Jump Attack;Unused;Right-hand - R1 Shoot (Bow);Right-hand - R2 Shoot (Bow);Unused;Right-hand - Forward Move (Magic);Right-hand - Backward Move (Magic);Right-hand - Side Move (Bow);Right-hand - Side Roll (Bow);Right-hand - No Interrupt (Bow);Unused;Right-hand - Side Move (Melee Magic);Right-hand - Side Move (Medium Magic);Right-hand - Side Move (Long Magic);Right-hand - HP Recovery (Magic);Right-hand - Buff (Magic);Right-hand - Forward Move (Melee Magic);Right-hand - Backward Move (Melee Magic);Right-hand - Forward Move (Medium Magic);Right-hand - Backward Move (Medium Magic);Unused;Right-hand - R1 Attack (Shield);Right-hand - R2 Attack (Shield);Unused;Unused;Unused;Right-hand - Backstep (Guard Succcess);Right-hand - No Interrupt (Guard Succcess);Right-hand - Guard Counter (Guard Succcess);Unused;Unused;Left-hand - R1 Combo (2H Only);Left-hand - R2 Combo (2H Only);Left-hand - L1 Combo (1H Only);Left-hand - Dash Attack (2H Only);Left-hand - Forward Roll (2H Only);Left-hand - Side Roll (2H Only);Left-hand - Backward Roll (2H Only);Left-hand - Backstep Attack (2H Only);Left-hand - Jump Attack (2H Only);Unused;Left-hand - Dash Jump Attack (2H Only);Left-hand - R1 Shoot (Bow);Left-hand - R2 Shoot (Bow);Unused;Left-hand - Forward Move (Long Magic);Left-hand - Backward Move (Long Magic);Left-hand - Parry Attack (Parry Success);Left-hand - No Interrupt (Parry Success);Unused;Unused;Unused;Left-hand - Side Move (Melee Magic);Left-hand - Side Move (Medium Magic);Left-hand - Side Move (Long Magic);Left-hand - HP Recovery (Magic);Left-hand - Buff (Magic);Left-hand - Forward Move (Melee Magic);Left-hand - Backward Move (Melee Magic);Left-hand - Forward Move (Medium Magic);Left-hand - Backward Move (Medium Magic);Unused;Backstep;Forward Roll;Side Roll;Backward Roll;Side Move;Common - Back;Common - Backstep;Common - Standby;Common - 2H Right Switch;Common - 2H Left Switch;Common - 1H Switch;Common - Approach Battle Distance;Unused;Unused;Unused;Guard Break - Deadly Attack;Guard Break - Dash Attack;Guard Break - Melee Magic;Guard Break - No Interrupt;Unused;Special - Shield Bash;Unused;Unused;Unused;Unused;Flask Interrupt - Dash Attack;Flask Interrupt - Throwable Item;Flask Interrupt - No Interrupt;Unused;Unused;Parry Interrupt - Parry;Parry Interrupt - Forward Roll;Parry Interrupt - Side Roll;Parry Interrupt - Backward Roll;Parry Interrupt - Backstep Attack;Parry Interrupt - Stationary Guard;Parry Interrupt - No Interrupt;Unused;Unused;Unused;Damaged Interrupt - Backward Roll;Damaged Interrupt - Side Roll;Damaged Interrupt - Backward Guard Move;Damaged Interrupt - Side Move;Damaged Interrupt - No Interrupt;Damaged Interrupt - R1 Combo;Damaged Interrupt - Forward Roll;Damaged Interrupt - Backstep;Damaged Interrupt - Forward Guard Move;Unused;Bullet Interrupt - Forward Roll;Bullet Interrupt - Side Roll;Bullet Interrupt - Forward Guard Move;Bullet Interrupt - Side Move;Bullet Interrupt - No Interrupt;Bullet Interrupt - After Roll;Bullet Interrupt - Dash Approach;Unused;Unused;Unused;Attack Interrupt - Backstep;Attack Interrupt - Forward Roll;Attack Interrupt - Side Roll;Attack Interrupt - After Roll;Attack Interrupt - Forward Guard Move;Attack Interrupt - Side Guard Move;Attack Interrupt - Stationary Guard;Attack Interrupt - Shield Bash;Attack Interrupt - No Interrupt;Attack Interrupt - Avoidance Weapon Art;Misc - 2H R1 Combo;Misc - 2H R2 Combo;Misc - Guard during Move;Misc - Dual-wield R1 Attack;Misc - Replace Roll with Movement Art;Misc - Use Throwable Item;Misc - Use HP Recovery Item;Misc - Use Buff Item;Misc - Use Buff Combo Attack;Unused;Weapon Art - Short Range Attack;Weapon Art - Medium Range Attack;Weapon Art - Ranged Attack;Weapon Art - Recovery;Weapon Art - Buff;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused;Unused
0;;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;5;5;5;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;6;6;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;7;7;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;8;8;8;8;0;1;1;1;1;1;9;9;9;0;0;10;10;10;10;10;10;10;0;0;0;2;2;2;2;2;2;2;2;2;0;3;3;3;3;3;3;3;0;0;0;4;4;4;4;4;4;4;4;4;4;100;101;102;103;104;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;;1;2;3;4;5;6;7;8;9;0;11;12;0;27;29;1501;1502;1500;0;0;22;25;28;30;31;21;23;24;26;32;35;36;0;0;0;1601;1600;1602;0;0;41;42;43;44;45;46;47;48;49;50;51;52;0;68;69;1701;1700;0;0;0;62;65;67;70;71;61;63;64;66;72;101;102;103;104;105;106;107;108;109;110;111;112;0;0;0;1801;1802;1803;1800;0;120;0;0;0;0;1901;1902;1900;0;0;2001;2002;2003;2004;2005;2006;2000;0;0;0;1205;1204;1208;1207;1200;1201;1203;1202;1206;0;1301;1302;1304;1305;1300;1303;1306;0;0;0;1401;1402;1403;1404;1405;1406;1407;1408;1400;1409;9000;9010;9020;9030;9040;153;150;151;152;154;200;210;220;230;231;232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;;30;20;0;10;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;6;10;6;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;30;100;0;0;0;30;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;;20;15;24;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;7;0;14;7;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;30;100;0;0;0;30;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;;20;15;24;10;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;14;7;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;30;100;0;0;35;1000;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;;12;22;66;0;0;0;0;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;30;100;0;0;45;1000;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;;12;22;66;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;30;100;0;0;55;1000;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;;30;20;0;10;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;6;10;6;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;70;100;0;0;0;30;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;;20;15;24;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;7;0;14;7;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;70;100;0;0;0;30;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
