Row ID;Row Name;Disable Param - Network Test;Logic ID;Battle Goal ID;Sight - Distance;Sight - Y Angle;Don't Avoid Giant Enemy;Enable Weapon Switch;Aim for AI Target Lock Dummy Poly ID;Ranged Attack - SpEffect ID;Search Target - Forget Time [1];Search Target - Forget Time [2];BackToHome Goal Duration after NPC Wall Collision;Search Target - Visual Forget Time;Blocked Movement - Anim ID;Listen - Distance;Call Help - Action Animation ID;Call Help - Call Action ID;Sight - Distance;Use Guard against Actions;Listen - Sound Cutoff Distance;Sense - Distance;Retreat Home - Max Distance;Retreat Home - Distance;Retreat Home - Battle Distance;Non-Battle Act Life;Retreat Home - Look for Target Time;Retreat Home - Look for Target Distance;Sound Target - Forget Time;Battle - Start Distance;Call Help - My Peer ID;Call Help - Call Peer ID;Target System - Damage Effect Rate;Team Attack Effectivity;Sight - Angle X;Sight - Angle Y;Disable Darkness Modifier to Distance;Caravan Role;Call Help - Valid Target Min Distance;Call Help - Valid Target Range;Call Help - Forget Time by Arrival;Call Help - Min Wait Time;Call Help - Max Wait Time;Goal Action - To Caution (Sound);Listen - Listen Level;Call Help - Reply Behavior Type;Disable Path Move;Skip Arrival Visibility Check;Think Attribute - Do Admirer;Navigation - Edge;Navigation - Large Space;Navigation - Ladder;Navigation - Hole;Navigation - Door;Navigation - Ignore Navmesh Wall;Navigation - Lava;Navigation - Cliff Edge;Search Threshold - Level 0 to Level 1;Search Threshold - Level 1 to Level 2;Platoon - Reply Time;Platoon - Reply Add Random Time;Search Sight - Angle X;Update Battle Sight;Battle Sight - Overwrite Distance;Battle Sight - Overwrite Angle Height;Battle Sight - Overwrite Angle Width;Sight - Start Position - Backward Offset;Sight - Start Distance;Act Type on Failed Path;Goal Action - Target Alerted by Important Sound;Shift Animation ID on Ranged Attack;Act Type on Non-BTL Failed Path;Is Spirit Summon AI;Goal Action - Target Search Level 1;Goal Action - Target Search Level 2;Jump Move Type;Disable Local Steering;Goal Action - Target Lost;Change State Action - To Normal;Time to Forget Target;Attack ID - On Ranged Attack;Use Fall Jump - Outside of Combat;Use Fall Jump - In Combat;Enable Jump - In Combat;Back to Home Stuck Act;Sound Behavior ID [1];Sound Behavior ID [2];Sound Behavior ID [3];Sound Behavior ID [4];Sound Behavior ID [5];Sound Behavior ID [6];Sound Behavior ID [7];Sound Behavior ID [8];Weapon Switch Out - SpEffect ID;Weapon Switch In - SpEffect ID;Weapon Switch Out - Animation ID;Weapon Switch In - Animation ID;Stealth Attack - Animation ID
0;;False;11000;11000;20;20;False;False;True;-1;5;8;0;8;3000;0.1;-1;-1;20;False;0;0;75;50;6;1;7;12;3;20;0;0;100;25;60;45;False;0;0;0;0;0;0;1;128;0;False;0;0;True;True;False;False;False;False;False;False;5;-1;0;0;0;False;0;0;0;3;3;0;2;-1;0;False;2;0;1;False;1;0;5;-1;0;2;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;;False;11000;11000;20;20;False;False;True;-1;5;8;0;8;-1;0.1;0;0;30;False;0;0;9999;9999;6;1;7;12;3;20;0;0;100;0;60;45;False;0;0;0;0;0;0;0;128;0;False;0;0;False;False;False;False;False;False;False;False;5;-1;0;0;0;False;0;0;0;3;3;0;0;-1;0;False;0;0;0;False;0;0;5;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2;;False;10000;11000;20;20;False;False;True;-1;5;8;5;8;3000;0.1;0;0;20;False;0;0;75;50;6;1;7;12;3;20;0;0;100;25;60;45;False;0;0;0;0;0;0;1;128;0;False;0;0;True;True;False;False;False;False;False;False;5;-1;0;0;0;False;0;0;0;3;3;3;2;-1;0;False;2;0;1;False;1;0;5;-1;0;2;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
10;;False;10000;20000;20;20;False;False;True;-1;5;8;5;8;3000;0.1;0;0;20;False;0;0;9999;9999;6;1;7;12;3;20;0;0;100;25;60;45;False;0;0;0;0;0;0;1;128;0;False;0;0;True;True;True;False;True;False;False;False;5;-1;0;0;0;False;0;0;0;3;3;3;2;-1;0;False;2;0;1;False;1;0;5;-1;2;2;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
11;;False;10000;20000;20;20;False;False;True;-1;5;8;5;8;3000;0.1;0;0;20;False;0;0;9999;9999;6;1;7;12;3;20;0;0;100;25;60;45;False;0;0;0;0;0;0;1;128;0;False;0;0;True;True;True;False;True;False;False;False;5;-1;0;0;0;False;0;0;0;3;3;3;2;-1;0;False;2;0;1;False;1;0;5;-1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
20;;False;10000;21000;20;20;False;False;True;-1;5;8;5;8;-1;0.1;0;0;20;False;0;0;75;50;6;1;7;12;3;20;0;0;100;25;60;45;False;0;0;0;0;0;0;1;128;0;False;0;0;True;True;True;False;True;False;False;False;5;-1;0;0;0;False;0;0;0;3;3;3;2;-1;0;False;2;0;1;False;1;0;5;-1;2;2;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
50;;False;10000;10000;20;20;False;False;True;-1;5;8;5;8;3000;0.1;0;0;20;False;0;0;75;50;6;1;7;12;3;20;0;0;100;25;60;45;False;0;0;0;0;0;0;1;128;0;False;0;0;True;True;True;False;True;False;False;False;5;-1;0;0;0;False;0;0;0;3;3;3;2;-1;0;False;2;0;1;False;1;0;5;-1;2;2;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
100;;False;1540;14000;20;20;False;False;True;-1;5;8;5;8;3000;0.1;0;0;20;False;0;0;75;50;6;1;7;12;3;20;0;0;100;25;60;45;False;0;0;0;0;0;0;1;128;0;False;0;0;True;True;False;False;True;False;False;True;5;-1;0;0;0;False;0;0;0;3;3;0;2;-1;0;False;2;0;0;True;1;0;5;-1;2;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
540;;False;1540;14000;20;20;False;False;True;-1;5;8;5;8;3000;0.1;0;0;20;False;0;0;75;50;6;1;7;12;3;20;0;0;100;25;60;45;False;0;0;0;0;0;0;1;128;0;False;0;0;True;True;False;False;True;False;False;True;5;-1;0;0;0;False;0;0;0;3;3;0;2;-1;0;False;2;0;0;True;1;0;5;-1;2;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
541;;False;1541;14000;20;20;False;False;True;-1;5;8;5;8;3000;0.1;0;0;20;False;0;0;75;50;6;1;7;12;3;20;0;0;100;25;60;45;False;0;0;0;0;0;0;1;128;0;False;0;0;True;True;False;False;True;False;False;True;5;-1;0;0;0;False;0;0;0;3;3;0;2;-1;0;False;2;0;0;True;1;0;5;-1;2;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
