Row ID;Row Name;Unk0;Unk1;Unk2;Unk3;Unk4;Unk5;Unk6;Unk7;Unk8
0;;0;1601596997;1596993584;1701147207;110;0;0;0;0
10;;1;1601596997;1596993840;1701536076;0;0;0;0;0
20;;1;1601596997;1596994096;1853189965;1852399988;0;0;0;0
30;;1;1601596997;1596994352;1767992400;110;0;0;0;0
40;;1;1601596997;1596994608;2003791443;0;0;0;0;0
100;;0;1601596997;1596993585;1953718595;25964;0;0;0;0
110;;1;1601596997;1596993841;1735289163;2037672259;0;0;0;0
120;;1;1601596997;1596994097;1632397141;1769109858;6845550;0;0;0
130;;1;1601596997;1596994353;1634559314;7564905;0;0;0;0
140;;1;1601596997;1596994609;1684104001;7957861;0;0;0;0
150;;1;1601596997;1596994865;1953787730;1765961317;1701991527;101;0;0
160;;1;1601596997;1596995121;1668050774;1349480033;1869834610;110;0;0
180;;0;1601596997;1596995633;1869903188;1818323314;0;0;0;0
190;;1;1601596997;1596995889;1970563410;27745;0;0;0;0
300;;0;1601596997;1596993587;1635017027;1651339107;115;0;0;0
310;;0;1601596997;1596993843;1702256963;0;0;0;0;0
320;;0;1601596997;1596994099;1852732756;27749;0;0;0;0
340;;1;1601596997;1596994611;1702326100;114;0;0;0;0
350;;1;1601596997;1596994867;1766549333;1766025070;31092;0;0;0
390;;1;1601596997;1596995891;1718185027;1853183078;7103854;0;0;0
500;;1;1601596997;1596993589;1953656646;1936942450;0;0;0;0
