Row ID;Row Name;Unk12
10;;60
120100;;5
120105;;5
120110;;5
120115;;5
120120;;10
120125;;10
170000;;70
170001;;70
170002;;70
170003;;70
2110554;[Beast Clergyman];57
2150010;;90
3700110;[Depraved Perfumer];40
3700130;[Depraved Perfumer];20
3700131;[Depraved Perfumer];20
3704170;[Battlemage];30
3704220;[Battlemage];30
4710610;[Writhing Mass];40
8101100;[Giant Ballista];-7
20000040;Arrow;70
20000045;Arrow;70
20000140;Fire Arrow;70
20000145;Fire Arrow;70
20000240;Serpent Arrow;70
20000245;Serpent Arrow;70
20000340;Bone Arrow (Fletched);70
20000345;Bone Arrow (Fletched);70
20000440;St. Trina's Arrow;70
20000445;St. Trina's Arrow;70
20000540;Shattershard Arrow (Fletched);70
20000545;Shattershard Arrow (Fletched);70
20000640;Rainbow Stone Arrow (Fletched);70
20000645;Rainbow Stone Arrow (Fletched);70
20000740;Golden Arrow;70
20000745;Golden Arrow;70
20000840;Dwelling Arrow;70
20000845;Dwelling Arrow;70
20000940;Bone Arrow;70
20000945;Bone Arrow;70
20001040;Firebone Arrow (Fletched);70
20001045;Firebone Arrow (Fletched);70
20001140;Firebone Arrow;70
20001145;Firebone Arrow;70
20001240;Poisonbone Arrow (Fletched);70
20001245;Poisonbone Arrow (Fletched);70
20001340;Poisonbone Arrow;70
20001345;Poisonbone Arrow;70
20001440;Sleepbone Arrow (Fletched);70
20001445;Sleepbone Arrow (Fletched);70
20001540;Sleepbone Arrow;70
20001545;Sleepbone Arrow;70
20001640;Stormwing Bone Arrow;70
20001645;Stormwing Bone Arrow;70
20001740;Lightningbone Arrow (Fletched);70
20001745;Lightningbone Arrow (Fletched);70
20001840;Lightningbone Arrow;70
20001845;Lightningbone Arrow;70
20001940;Rainbow Stone Arrow;70
20001945;Rainbow Stone Arrow;70
20002040;Shattershard Arrow;70
20002045;Shattershard Arrow;70
20002140;Spiritflame Arrow;70
20002145;Spiritflame Arrow;70
20002240;;70
20002245;;70
20002340;Magicbone Arrow (Fletched);70
20002345;Magicbone Arrow (Fletched);70
20002440;Magicbone Arrow;70
20002445;Magicbone Arrow;70
20002540;Haligbone Arrow (Fletched);70
20002545;Haligbone Arrow (Fletched);70
20002640;Haligbone Arrow;70
20002645;Haligbone Arrow;70
20002740;Bloodbone Arrow (Fletched);70
20002745;Bloodbone Arrow (Fletched);70
20002840;Bloodbone Arrow;70
20002845;Bloodbone Arrow;70
20002940;Coldbone Arrow (Fletched);70
20002945;Coldbone Arrow (Fletched);70
20003040;Coldbone Arrow;70
20003045;Coldbone Arrow;70
20003140;Rotbone Arrow (Fletched);70
20003145;Rotbone Arrow (Fletched);70
20003240;Rotbone Arrow;70
20003245;Rotbone Arrow;70
82200000;;5
82210000;;10
