Row ID;Row Name;Is Head Equipment
10000;Head;True
40000;Iron Helmet;True
50000;Kaiden Helm;True
60000;Drake Knight Helm;True
61000;Drake Knight Helm (Altered);True
80000;Scaled Helm;True
90000;Perfumer Hood;True
100000;Traveler's Hat;True
120000;Alberich's Pointed Hat;True
121000;Alberich's Pointed Hat (Altered);True
130000;Spellblade's Pointed Hat;True
140000;Bull-Goat Helm;True
150000;Iron Kasa;True
160000;Guilty Hood;True
170000;Black Wolf Mask;True
180000;Black Knife Hood;True
190000;Exile Hood;True
200000;Banished Knight Helm;True
201000;Banished Knight Helm (Altered);True
210000;Briar Helm;True
220000;Page Hood;True
230000;Night's Cavalry Helm;True
231000;Night's Cavalry Helm (Altered);True
240000;Blue Silver Mail Hood;True
250000;Nomadic Merchant's Chapeau;True
260000;Malformed Dragon Helm;True
270000;Tree Sentinel Helm;True
280000;Royal Knight Helm;True
290000;Nox Monk Hood;True
291000;Nox Monk Hood (Altered);True
292000;Nox Swordstress Crown;True
293000;Night Maiden Twin Crown;True
294000;Nox Swordstress Crown (Altered);True
300000;Great Horned Headband;True
301000;Shining Horned Headband;True
310000;Duelist Helm;True
320000;Sanguine Noble Hood;True
330000;Guardian Mask;True
340000;Cleanrot Helm;True
341000;Cleanrot Helm (Altered);True
350000;Fire Monk Hood;True
351000;Blackflame Monk Hood;True
360000;Fire Prelate Helm;True
370000;Aristocrat Headband;True
380000;Aristocrat Hat;True
390000;Old Aristocrat Cowl;True
420000;Vulgar Militia Helm;True
430000;Sage Hood;True
440000;Pumpkin Helm;True
460000;Elden Lord Crown;True
470000;Radahn's Redmane Helm;True
510000;Queen's Crescent Crown;True
520000;Sanguine Noble Hood;True
530000;Godskin Apostle Hood;True
540000;Depraved Perfumer Headscarf;True
570000;Crucible Axe Helm;True
571000;Crucible Tree Helm;True
580000;Lusat's Glintstone Crown;True
581000;Azur's Glintstone Crown;True
590000;All-Knowing Helm;True
600000;Twinned Helm;True
610000;Ragged Hat;True
611000;Ragged Hat (Altered);True
620000;Prophet Blindfold;True
630000;Astrologer Hood;True
640000;Lionel's Helm;True
650000;Hoslow's Helm;True
651000;Diallos's Mask;True
660000;Vagabond Knight Helm;True
670000;Blue Cloth Cowl;True
680000;White Mask;True
690000;Royal Remains Helm;True
700000;Brave's Cord Circlet;True
701000;Brave's Leather Helm;True
720000;Beast Champion Helm;True
730000;Champion Headband;True
740000;Crimson Hood;True
741000;Navy Hood;True
742000;;True
760000;Maliketh's Helm;True
770000;Malenia's Winged Helm;True
780000;Veteran's Helm;True
790000;Bloodhound Knight Helm;True
800000;Festive Hood;True
801000;Festive Hood (Altered);True
802000;Blue Festive Hood;True
810000;Commoner's Headband;True
811000;Commoner's Headband (Altered);True
820000;Envoy Crown;True
830000;Twinsage Glintstone Crown;True
831000;Olivinus Glintstone Crown;True
832000;Lazuli Glintstone Crown;True
833000;Karolos Glintstone Crown;True
834000;Witch's Glintstone Crown;True
834100;;True
835000;;True
836000;;True
840000;Marionette Soldier Helm;True
850000;Marionette Soldier Birdhelm;True
860000;Raging Wolf Helm;True
870000;Land of Reeds Helm;True
872000;Okina Mask;True
873000;;True
880000;Confessor Hood;True
881000;Confessor Hood (Altered);True
890000;Prisoner Iron Mask;True
891000;Blackguard's Iron Mask;True
900000;Traveling Maiden Hood;True
902000;Finger Maiden Fillet;True
910000;Preceptor's Big Hat;True
911000;Mask of Confidence;True
912000;;True
913000;;True
920000;Grass Hair Ornament;True
930000;Skeletal Mask;True
940000;Eccentric's Hood;True
941000;Eccentric's Hood (Altered);True
950000;Fingerprint Helm;True
960000;Consort's Mask;True
961000;Ruler's Mask;True
963000;Marais Mask;True
964000;Bloodsoaked Mask;True
965000;;True
966000;;True
967000;;True
970000;Omen Helm;True
980000;Carian Knight Helm;True
990000;Hierodas Glintstone Crown;True
992000;;True
1000000;Haima Glintstone Crown;True
1010000;Snow Witch Hat;True
1030000;Juvenile Scholar Cap;True
1040000;Radiant Gold Mask;True
1060000;Albinauric Mask;True
1070000;Zamor Mask;True
1080000;Imp Head (Cat);True
1081000;Imp Head (Fanged);True
1082000;Imp Head (Long-Tongued);True
1083000;Imp Head (Corpse);True
1084000;Imp Head (Wolf);True
1085000;Imp Head (Elder);True
1090000;Silver Tear Mask;True
1100000;Chain Coif;True
1101000;Greathelm;True
1110000;Octopus Head;True
1120000;Jar;True
1130000;Mushroom Head;True
1300000;Nox Mirrorhelm;True
1301000;Iji's Mirrorhelm;True
1400000;Black Hood;True
1401000;Bandit Mask;True
