Row ID;Row Name;Reinforce Type ID
1000;;0
1100;;0
1200;;0
1210;;0
1220;;0
1230;;0
1240;;0
1250;;0
1260;;0
1400;;0
1410;;0
1420;;0
1430;;0
1500;;0
1600;;0
1700;;0
1800;;0
1900;;0
2000;;0
2100;;0
2200;;0
11000;;0
12000;;0
13000;;0
100000;;0
100100;;100
100200;;200
100300;;300
100400;;400
100500;;500
100600;;600
100700;;700
100800;;800
100900;;900
101000;;1000
110000;Unarmed;3000
170000;Throwing Dagger;0
171000;Bone Dart;0
172000;Poisonbone Dart;0
173000;Kukri;0
174000;Crystal Dart;0
175000;Fan Daggers;0
176000;Ruin Fragment;0
183000;Explosive Stone;0
183100;Explosive Stone Clump;0
184000;Poisoned Stone;0
184100;Poisoned Stone Clump;0
300000;Ancestral Infant's Head;0
301000;Omen Bairn;0
301100;Regal Omen Bairn;0
302000;Miranda's Prayer;0
303000;Cuckoo Glintstone;0
305000;Glintstone Scrap;0
305100;Large Glintstone Scrap;0
306000;Gravity Stone Fan;0
307000;Gravity Stone Chunk;0
308000;Wraith Calling Bell;0
351000;Spark Aromatic;0
358000;Poison Spraymist;0
361000;Acid Spraymist;0
830000;Fire Pot;0
830100;Fire Redmane Pot;0
830200;Fire Giantsflame Pot;0
832000;Lightning Pot;0
832100;Ancient Dragonbolt Pot;0
833000;Fetid Pot;0
834000;Swarm Pot;0
835000;Holy Water Pot;0
835100;Sacred Order Pot;0
836000;;0
837000;Poison Pot;0
840000;Fire Roped Po;0
842000;Lightning Roped Pot;0
843000;Roped Fetid Pot;0
844000;Poison Roped Pot;0
846000;Magic Roped Pot;0
847000;Roped Fly Pot;0
848000;;0
849000;Roped Volcano Pot;0
851000;Roped Holy Water Pot;0
860000;Volcano Pot;0
864000;Sleep Pot;0
865000;Rancor Pot;0
866000;Magic Pot;0
866100;Magic Academy Pot;0
867000;;0
1000000;Dagger;0
1000100;Dagger [Heavy];100
1000200;Dagger [Keen];5000
1000300;Dagger [Quality];300
1000400;Dagger [Fire];400
1000500;Dagger [Flame Art];500
1000600;Dagger [Lightning];600
1000700;Dagger [Sacred];700
1000800;Dagger [Magic];800
1000900;Dagger [Cold];900
1001000;Dagger [Poison];1000
1001100;Dagger [Blood];1100
1001200;Dagger [Occult];1200
1010000;Black Knife;0
1010100;Black Knife [Heavy];100
1010200;Black Knife [Keen];200
1010300;Black Knife [Quality];300
1010400;Black Knife [Fire];400
1010500;Black Knife [Flame Art];500
1010600;Black Knife [Lightning];600
1010700;Black Knife [Sacred];700
1010800;Black Knife [Magic];800
1010900;Black Knife [Cold];900
1011000;Black Knife [Poison];1000
1011100;Black Knife [Blood];1100
1011200;Black Knife [Occult];1200
1020000;Parrying Dagger;0
1020100;Parrying Dagger [Heavy];100
1020200;Parrying Dagger [Keen];5000
1020300;Parrying Dagger [Quality];300
1020400;Parrying Dagger [Fire];400
1020500;Parrying Dagger [Flame Art];500
1020600;Parrying Dagger [Lightning];600
1020700;Parrying Dagger [Sacred];700
1020800;Parrying Dagger [Magic];800
1020900;Parrying Dagger [Cold];900
1021000;Parrying Dagger [Poison];1000
1021100;Parrying Dagger [Blood];1100
1021200;Parrying Dagger [Occult];1200
1030000;Misericorde;0
1030100;Misericorde [Heavy];100
1030200;Misericorde [Keen];5000
1030300;Misericorde [Quality];300
1030400;Misericorde [Fire];400
1030500;Misericorde [Flame Art];500
1030600;Misericorde [Lightning];600
1030700;Misericorde [Sacred];700
1030800;Misericorde [Magic];800
1030900;Misericorde [Cold];900
1031000;Misericorde [Poison];1000
1031100;Misericorde [Blood];1100
1031200;Misericorde [Occult];1200
1040000;Reduvia;0
