Row ID;Row Name;Disable Darkness Modifier to Distance
1000000;;True
1000100;;True
1000101;;True
1000102;;True
1001000;;True
1002000;;True
1003000;;True
1004000;;True
1004001;;True
1005000;;True
1200000;;True
1200100;;True
1200199;;True
1300000;;True
10005000;;True
20100000;Blaidd the Half-Wolf;True
20108000;Blaidd the Half-Wolf;True
20108500;Baleful Shadow;True
20109000;Blaidd the Half-Wolf;True
20109500;;True
20300100;Rennala, Queen of the Full Moon;True
20310100;Rennala, Queen of the Full Moon;True
21000000;Black Knife Assassin;True
21000001;;True
21000010;;True
21000030;;True
21000052;Black Knife Assassin;True
21100000;Beast Clergyman;True
21101000;Beast Clergyman;True
21102000;Beast Clergyman;True
25000030;Crucible Knight;True
25000040;;True
25001030;;True
30003000;Castle Exile;True
30003005;;True
30003010;;True
30003015;;True
30003020;;True
30003025;;True
30003030;;True
30003100;;True
30003200;Castle Exile;True
30003300;;True
30003400;;True
30003800;;True
30003900;;True
30500940;;True
30600000;Undead Mariner;True
30600010;;True
30601000;Undead Mariner;True
30601010;;True
30610000;Undead Azula Beastman;True
30610010;;True
30611000;Undead Azula Beastman;True
30611010;;True
30701000;Dominula Celebrant;True
30701100;;True
30701200;;True
30800000;Imp;True
30800010;Imp;True
30800020;Imp;True
30800030;Imp;True
30800040;Imp;True
30800100;Imp;True
30800110;Imp;True
30800300;;True
30800400;;True
30800500;;True
30800600;;True
30800900;;True
30801000;Imp;True
30802000;Imp;True
30803000;;True
31001000;;True
31500000;Night's Cavalry;True
31500052;Night's Cavalry;True
31501000;Night's Cavalry;True
31501052;Night's Cavalry;True
31502000;;True
31503000;;True
31600000;Night's Cavalry Horse;True
31600052;Night's Cavalry Horse;True
31700000;Albinauric Archer;True
31700052;Albinauric Archer;True
31700053;;True
31700054;;True
31700055;;True
31700056;;True
31700057;;True
31700058;;True
31700059;;True
31709000;Albinauric Archer;True
31800000;Dog;True
31800020;Dog;True
31804000;;True
31810000;Red Wolf of Radagon;True
31810024;;True
31810052;Red Wolf of Radagon;True
31810500;;True
31810510;;True
31814000;;True
32500900;;True
32510900;;True
32511000;Tree Sentinel;True
32520054;Fallen Tree Sentinel;True
32520110;;True
33000000;Nox Swordstress;True
33000900;Nox Swordstress;True
33100000;;True
33100900;;True
33101000;;True
33200000;Silver Tear;True
33200100;Silver Tear;True
33200200;Silver Tear;True
33209000;Silver Tear;True
33300000;Silver Tear Orb;True
33300020;;True
33300062;Silver Tear Orb;True
33500000;Crystalian;True
33500900;;True
33500910;;True
33501000;Crystalian;True
33501500;Crystalian;True
33501900;;True
33501910;;True
33502000;Crystalian;True
33502900;;True
33600000;Ancestral Follower;True
33600100;Ancestral Follower;True
33600110;;True
33600500;Ancestral Follower;True
33600600;Ancestral Follower;True
33600610;;True
33600700;Ancestral Follower;True
33601000;Ancestral Follower;True
33601100;Ancestral Follower;True
33602000;Ancestral Follower;True
33602100;Ancestral Follower;True
33610000;Ancestral Follower;True
33610110;;True
33610500;Ancestral Follower;True
33611000;Ancestral Follower;True
33612000;Ancestral Follower;True
33700000;Ancestral Follower Shaman;True
33710000;Ancestral Follower Shaman;True
34000010;;True
34001010;;True
34500000;Misbegotten;True
34501000;Misbegotten;True
34510000;Misbegotten;True
34519000;Misbegotten;True
34600000;Leonine Misbegotten;True
34600010;;True
34600020;;True
34600900;;True
34601000;Leonine Misbegotten;True
34602000;;True
35000000;Skeleton (Curved Sword);True
35000010;Skeleton (Curved Sword);True
35001000;Skeleton (Curved Sword);True
35001010;Skeleton (Curved Sword);True
35001020;;True
35001021;;True
35002000;Skeleton (Curved Sword);True
35002010;Skeleton (Curved Sword);True
35003000;Skeleton (Curved Sword);True
35003010;Skeleton (Curved Sword);True
35004000;Skeleton (Curved Sword);True
35004010;Skeleton (Curved Sword);True
35100000;Skeleton (Scimitar);True
35100010;Skeleton (Scimitar);True
35100100;Skeleton (Scimitar);True
35100110;Skeleton (Scimitar);True
35100111;;True
35100200;Skeleton (Scimitar);True
35101000;Skeleton (Scimitar);True
35101001;;True
35101100;Skeleton (Scimitar);True
35102000;Skeleton (Scimitar);True
35102010;Skeleton (Scimitar);True
35102020;Skeleton (Scimitar);True
35103000;Skeleton (Scimitar);True
35103100;Skeleton (Scimitar);True
35104000;Skeleton (Scimitar);True
35104010;Skeleton (Scimitar);True
35104100;Skeleton (Scimitar);True
35109000;;True
35500000;Sanguine Noble;True
35600900;Godskin Apostle;True
35600942;;True
35700900;;True
35700910;;True
36000000;Alabaster Lord;True
36000062;Alabaster Lord;True
36001000;Alabaster Lord;True
36001100;;True
36100000;Oracle Envoy;True
36100010;;True
36100011;;True
36100020;;True
36100030;;True
36200000;Oracle Envoy;True
36300000;Oracle Envoy;True
36301000;;True
36301054;;True
36400000;;True
36602000;Commoner;True
36602100;Commoner;True
36602200;Commoner;True
36602300;Commoner;True
36602400;;True
36602500;;True
36602600;;True
36603000;Commoner;True
36603100;Commoner;True
36603200;;True
36603300;;True
36603400;;True
36640000;Cemetery Shade;True
36640010;;True
36640020;;True
36640900;;True
37030120;;True
37500000;Clayman;True
37500100;;True
37501000;Clayman;True
37501100;;True
37501200;;True
37502000;Clayman;True
37502100;;True
38000010;;True
38500000;Marionette;True
38500100;;True
38500110;;True
38500150;;True
38501000;Marionette;True
38502000;Marionette;True
38600000;Avionette;True
38600001;;True
38600011;;True
38600500;Avionette;True
38601000;Avionette;True
38601001;;True
38601011;;True
39700000;Azula Beastman;True
39701000;Azula Beastman;True
39701100;Azula Beastman;True
39701200;Azula Beastman;True
39702000;Azula Beastman;True
39702100;Azula Beastman;True
39703000;Azula Beastman;True
39703100;Azula Beastman;True
39703200;;True
39703300;;True
40000000;Royal Rider;True
40000100;Royal Rider;True
40001000;Royal Rider;True
40200000;Royal Revenant;True
40200100;Royal Revenant;True
40500900;;True
40600000;Horse;True
40609900;;True
40700000;Wolf;True
40700100;Wolf;True
40700200;;True
40700300;;True
40700500;;True
40700510;;True
40700600;;True
40701000;Wolf;True
40702000;Wolf;True
40703000;;True
40704000;;True
40704052;;True
40708000;Wolf;True
40800000;Rat;True
40800001;;True
40800002;;True
40800003;;True
40800004;;True
40800300;Rat;True
40900000;Giant Rat;True
40900001;;True
40900300;Giant Rat;True
41301900;;True
41400000;Snail;True
41401000;Snail;True
41402000;Snail;True
41402001;;True
41402002;;True
41402003;;True
41402903;;True
41403000;Snail;True
41403001;;True
41404000;Snail;True
41600000;Dog;True
41610000;Dog;True
41610010;Dog;True
41610101;;True
41620000;Starved Dog;True
41630000;Starved Dog;True
41640000;Starved Dog;True
41650000;Starved Dog;True
41660000;Starved Dog;True
41670000;Starved Dog;True
41700000;Living Mass;True
41700010;Living Mass;True
41710000;Living Mass;True
41710010;;True
41800000;Jellyfish;True
41809000;Jellyfish;True
42000000;Giant Bat;True
42000001;;True
42000100;Giant Bat;True
42000200;Giant Bat;True
42010000;Bat Harpy;True
42011000;Bat Harpy;True
42400000;Giant Fingercreeper;True
42400020;Giant Fingercreeper;True
42400050;;True
42400100;Giant Fingercreeper;True
42400900;;True
42410000;Giant Fingercreeper;True
42410050;;True
42500000;Small Fingercreeper;True
42600000;Burial Watchdog;True
42600200;;True
42600900;;True
42601000;Burial Watchdog;True
42601010;;True
42601100;Burial Watchdog;True
42601200;;True
42700000;Lion Guardian;True
42700040;Lion Guardian;True
42700100;;True
42701000;Lion Guardian;True
42702000;;True
42800000;Giant Ant;True
42800100;Giant Ant;True
42800200;Giant Ant;True
42801000;;True
42900030;;True
42900100;Bloodhound Knight;True
42909000;Bloodhound Knight;True
43005000;Wandering Noble;True
43005850;;True
43111100;Godrick Soldier;True
43112100;Godrick Soldier;True
43113900;;True
43120100;Raya Lucaria Soldier;True
43121100;Raya Lucaria Soldier;True
43130100;Leyndell Soldier;True
43131100;Leyndell Soldier;True
43140040;Radahn Soldier;True
43140100;Radahn Soldier;True
43140110;;True
43140900;;True
43140910;;True
43141100;Radahn Soldier;True
43150100;;True
43151100;;True
43160100;Haligtree Soldier;True
43161100;Haligtree Soldier;True
43400110;;True
43400900;;True
43401900;;True
43610000;Godrick Knight's Horse;True
43620000;Cuckoo Knight's Horse;True
43630000;Leyndell Knight's Horse;True
43640000;Redmane Knight's Horse;True
43650000;Mausoleum Knight's Horse;True
43680000;;True
43701500;;True
43721500;Raya Lucaria Foot Soldier;True
43731500;Leyndell Foot Soldier;True
43731550;;True
43741500;Radahn Foot Soldier;True
43761500;Haligtree Foot Soldier;True
43771500;Highwayman;True
43810000;Bloodthorn Exile;True
43810050;;True
43810100;Bloodthorn Exile;True
43810150;;True
43823000;Tunnel Miner;True
43826000;Tunnel Miner;True
44400000;Fungal Pod;True
44410000;Giant Fungal Pod;True
44500000;Walking Mausoleum;True
44500100;;True
44700000;Ghiza Torturer;True
44700100;;True
44700900;;True
44701000;Ghiza Torturer;True
44701900;;True
44702000;Ghiza Torturer;True
44800000;Giant Miranda Sprout;True
44800100;Giant Miranda Sprout;True
44800200;Giant Miranda Sprout;True
44800300;Giant Miranda Sprout;True
44800400;Giant Miranda Sprout;True
44810000;Miranda Sprout;True
44810100;Miranda Sprout;True
44810200;Miranda Sprout;True
44810300;Miranda Sprout;True
44810400;Miranda Sprout;True
44810500;Miranda Sprout;True
44811000;Miranda Sprout;True
44811100;Miranda Sprout;True
44811200;Miranda Sprout;True
44811300;Miranda Sprout;True
44811400;Miranda Sprout;True
44820000;Giant Miranda Sprout;True
44830000;Miranda Sprout;True
44831000;Miranda Sprout;True
44900000;Living Pot - Large;True
44900040;;True
44900052;;True
44900100;Living Pot - Large;True
44900200;Living Pot - Large;True
44900300;;True
44910000;Living Pot - Small;True
44910100;Living Pot - Small;True
44910200;Living Pot - Small;True
44919000;Living Pot - Small;True
44920000;Living Pot - Huge;True
45000900;;True
45000942;;True
45010900;;True
45020020;;True
45020900;;True
45020920;Dragon;True
45020922;;True
45030900;;True
45100900;;True
45100930;;True
45500000;Monstrous Dog;True
45500040;Monstrous Dog;True
45500090;;True
45500100;;True
45500110;;True
45500200;;True
45500300;;True
45506000;Monstrous Dog;True
45600000;Monstrous Crow;True
45600010;;True
45600040;Monstrous Crow;True
45609990;;True
45610000;Monstrous Crow;True
45610010;;True
45800900;;True
46000040;Troll Knight;True
46010900;;True
46200000;Astel, Stars of Darkness;True
46200100;;True
46200200;;True
46201000;Astel, Stars of Darkness;True
46201100;;True
46201200;;True
46201500;;True
46209000;Astel, Stars of Darkness;True
46209100;Astel, Stars of Darkness;True
46209200;Astel, Stars of Darkness;True
46209300;Astel, Stars of Darkness;True
46300000;Runebear;True
46300010;Runebear;True
46300020;Runebear;True
46300052;Runebear;True
46400000;Ulcerated Tree Spirit;True
46400007;Ulcerated Tree Spirit;True
46400032;Ulcerated Tree Spirit;True
46400033;Ulcerated Tree Spirit;True
46400056;;True
46400062;;True
46400100;Ulcerated Tree Spirit;True
46400800;;True
46400900;;True
46600000;Golem;True
46600100;Golem;True
46600200;;True
46600300;;True
46600301;;True
46600330;;True
46601000;Golem;True
46601033;;True
46601050;;True
46601100;Golem;True
46601133;;True
46601233;;True
46700000;Ancestor Spirit;True
46700100;Ancestor Spirit;True
46700200;Ancestor Spirit;True
46700900;;True
46800000;Fallingstar Beast;True
46800001;;True
46800900;;True
46800930;;True
46900900;;True
47100000;God-Devouring Serpent / Rykard, Lord of Blasphemy;True
47300000;Starscourge Radahn;True
47300100;;True
47600900;Fire Giant;True
47700000;Gargoyle;True
47700010;;True
47700011;;True
47700050;;True
47700200;Gargoyle;True
47700900;;True
47701000;Gargoyle;True
47701010;;True
47701200;Gargoyle;True
47702000;Gargoyle;True
47702010;;True
47702100;;True
47705000;;True
47705900;;True
47705950;;True
47706000;;True
47706900;;True
48100000;Erdtree Avatar;True
48100100;Erdtree Avatar;True
48100900;;True
48110000;Erdtree Avatar;True
48110040;Erdtree Avatar;True
48110900;;True
48110952;;True
48200900;;True
49100000;Magma Wyrm;True
49100010;;True
49100900;;True
49100926;;True
49100932;;True
49100952;;True
49500000;Tibia Mariner;True
49500050;Tibia Mariner;True
49500900;;True
49500932;;True
49600000;Giant Skeleton Torso;True
49600050;Giant Skeleton Torso;True
49600068;;True
49600900;;True
49600932;;True
49800000;Death Rite Bird;True
49800100;;True
49800900;;True
49800950;;True
60100000;Deer;True
60100010;Deer;True
60100050;Deer;True
60200000;;True
60300000;;True
60310000;Bear;True
60400000;Owl;True
60400050;Owl;True
60600000;Goat;True
60601000;Goat;True
60900000;Turtle;True
60910000;Turtle Pope;True
61000000;Rabbitgaroo;True
61000010;Rabbitgaroo;True
70000100;Fallen Hawk Soldier;True
70003100;Fallen Hawk Soldier;True
71000900;;True
80000000;Torrent;True
80001000;;True
81000000;Ballista;True
81100000;Dragon-faced Flamethrower;True
81200000;Merciless Chariot;True
90602000;;True
121000000;Black Knife Tiche;True
130800000;Fanged Imps;True
131700000;Latenna the Albinauric;True
133100000;Nightmaiden;True
133101000;Swordstress;True
133200000;Mimic Tear - Blob;True
133500000;Crystalian;True
133600500;Ancestral Follower;True
134501000;Winged Misbegotten;True
135000000;Skeletal Militiaman;True
135004000;Skeletal Bandit;True
136100000;Oracle Envoy;True
137502000;Clayman;True
138500000;Marionette Soldier;True
138601000;Avionette Soldier;True
139701000;Azula Beastman;True
140700000;Lone Wolf;True
140800000;Giant Rat;True
141660000;Rotten Stray;True
141800000;Spirit Jellyfish;True
143005000;Wandering Noble 3;True
143140100;Radahn Soldier 1;True
144400000;Land Squirt;True
144810000;Miranda Sprout;True
144910000;Soldjars of Fortune;True
149100000;[Frenzied Summon] Magma Wyrm;True
500000000;;True
523012000;;True
523120000;Castellan Jerren;True
523120040;Castellan Jerren;True
523161000;;True
523400000;Bloody Finger Ravenmount Assassin;True
523441000;;True
523480040;Millicent;True
523481000;;True
523600000;Vargram the Raging Wolf;True
523730000;Knight of the Great Jar;True
523740000;Knight of the Great Jar;True
523750000;Knight of the Great Jar;True
523800000;Errant Sorcerer Wilhelm;True
526300900;;True
533090000;Patches;True
533120000;Witch-Hunter Jerren;True
533160000;Sorceress Sellen;True
533161000;;True
533180000;Yura, Hunter of Bloody Fingers;True
533260000;Knight Bernahl;True
533261000;;True
533290000;Recusant Bernahl;True
533441000;;True
533480000;Millicent;True
533481000;Millicent;True
533550000;Okina;True
533630000;Finger Maiden Therolina;True
533870000;Mary, Eldest Sister;True
