Row ID;Row Name;Sword Arts Type
0;;0
1;;255
10;No Skill;255
100;Lion's Claw;0
101;Impaling Thrust;1
102;Piercing Fang;2
103;Spinning Slash;3
104;%null%;4
105;Charge Forth;5
106;Stamp (Upward Cut);6
107;Stamp (Sweep);7
108;Blood Tax;8
109;Repeating Thrust;9
110;Wild Strikes;10
111;Spinning Strikes;11
112;Double Slash;12
113;Prelate's Charge;13
114;Unsheathe;14
115;Square Off;15
116;Giant Hunt;16
117;Torch Attack;17
118;Loretta's Slash;18
119;Poison Moth Flight;19
120;Spinning Weapon;20
121;%null%;21
122;Storm Assault;22
123;Stormcaller;23
124;Sword Dance;24
125;Spinning Chain;25
200;Glintblade Phalanx;50
201;Sacred Blade;51
202;Ice Spear;52
203;Glintstone Pebble;53
204;Bloody Slash;54
205;Lifesteal Fist;55
207;Eruption;56
208;Prayerful Strike;57
209;Gravitas;58
210;Storm Blade;59
212;Earthshaker;61
213;Golden Land;62
214;Flaming Strike;63
216;Thunderbolt;64
217;Lightning Slash;65
218;Carian Grandeur;66
219;Carian Greatsword;67
220;Vacuum Slice;68
221;Black Flame Tornado;69
222;Sacred Ring of Light;70
223;Firebreather;71
224;Blood Blade;72
225;Phantom Slash;73
226;Spectral Lance;74
227;Chilling Mist;75
228;Poisonous Mist;76
300;Shield Bash;90
301;Barricade Shield;91
302;Parry;92
303;Buckler Parry;93
305;Carian Retaliation;95
306;Storm Wall;96
307;Golden Parry;97
308;Shield Crash;98
309;Thops's Barrier;99
400;Through and Through;100
401;Barrage;101
402;Mighty Shot;102
404;Enchanted Shot;103
405;Sky Shot;108
406;Rain of Arrows;105
407;%null%;106
501;Hoarfrost Stomp;110
502;Storm Stomp;111
503;Kick;112
504;Lightning Ram;113
505;Flame of the Redmanes;114
506;Ground Slam;115
507;Golden Slam;116
508;Waves of Darkness;117
509;Hoarah Loux's Earthshaker;118
600;Determination;130
601;Royal Knight's Resolve;131
602;Assassin's Gambit;132
603;Golden Vow;133
604;Sacred Order;134
605;Shared Order;135
606;Seppuku;136
607;Cragblade;137
650;Barbaric Roar;140
651;War Cry;141
652;Beast's Roar;142
653;Troll's Roar;143
654;Braggart's Roar;144
700;Endure;150
701;Vow of the Indomitable;151
702;Holy Ground;152
800;Quickstep;155
801;Bloodhound's Step;156
802;Raptor of the Mists;157
850;White Shadow's Lure;160
1000;Surge of Faith;200
1001;Flame Spit;201
1002;Tongues of Fire;202
1003;Oracular Bubble;203
1004;Bubble Shower;204
1005;Great Oracular Bubble;205
1006;Sea of Magma;206
1007;Viper Bite;207
1008;Moonlight Greatsword;208
1009;Siluria's Woe;209
1010;Rallying Standard;210
1011;Bear Witness!;211
1012;Eochaid's Dancing Blade;212
1013;Soul Stifler;213
1014;Taker's Flames;214
1015;Shriek of Milos;215
1016;Reduvia Blood Blade;216

### 
1017;Glintstone Dart;217
1018;Flowing Form;218
1019;Night-and-Flame Stance;219
1020;Wave of Gold;220
1021;Ruinous Ghostflame;221
1022;Establish Order;222
1023;Mists of Slumber;223
1024;Spearcall Ritual;224
1025;Wolf's Assault;225
1026;Thundercloud Form;226
1027;Cursed-Blood Slice;227
1028;Waterfowl Dance;228
1029;Gold Breaker;229
1030;I Command Thee, Kneel!;230
1031;Regal Roar;231
1032;Starcaller Cry;232
1033;Wave of Destruction;233
1034;Bloodboon Ritual;234
1035;Flowing Form;235
1036;Blade of Death;236
1037;Blade of Gold;237
1038;Destined Death;238
1039;Spinning Wheel;239
1040;Alabaster Lords' Pull;240
1041;Onyx Lords' Repulsion;241
1042;Oath of Vengeance;242
1043;Ice Lightning Sword;243
1044;Regal Beastclaw;244
1045;Flame Dance;245
1046;Claw Flick;246
1047;Nebula;247
1048;Ghostflame Ignition;248
1049;Ancient Lightning Spear;249
1050;Frenzyflame Thrust;250
1051;Miquella's Ring of Light;251
1052;Golden Tempering;252
1053;Last Rites;253
1054;Unblockable Blade;254
1055;Eochaid's Dancing Blade;212

1165;;165
1166;;166
1167;Corpse Wax Cutter;167
1168;Zamor Ice Storm;168
1169;Radahn's Rain;169
1170;The Queen's Black Flame;170
1171;Dynast's Finesse;171
1172;Magma Shower;172
1173;Nebula;173
1174;Death Flare;174
1175;Bloodhound's Finesse;175
1176;Magma Guillotine;176
1177;Corpse Piler;177
1178;Transient Moonlight;178
1179;Bloodblade Dance;179
1180;%null%;180
1181;%null%;181
1182;Knowledge Above All;182
1183;Devourer of Worlds;183
1184;Familal Rancor;184
1185;Rosus's Summons;185
1186;Thunderstorm;186
1187;Sacred Phalanx;187
1188;Great-Serpent Hunt;188
1189;Angel's Wings;189
1190;Storm Kick;190
1191;Unblockable Blade;191
1192;Sorcery of the Crozier;192
1193;Erdtree Slam;193
1194;Gravity Bolt;194
1195;Fires of Slumber;195
1196;Golden Retaliation;196
1197;Contagious Fury;197
1198;Ordovis's Vortex;198
1199;Spinning Weapon;199
