Row ID;Row Name;AssetId_0;AssetId_1;AssetId_2;AssetId_3;AssetId_4;AssetId_5;AssetId_6;AssetId_7;CreateWeight_0;CreateWeight_1;CreateWeight_2;CreateWeight_3;CreateWeight_4;CreateWeight_5;CreateWeight_6;CreateWeight_7
60081002;;95002;95003;-1;-1;-1;-1;-1;-1;50;75;0;0;0;0;0;0;
60081102;;95002;95003;-1;-1;-1;-1;-1;-1;50;75;0;0;0;0;0;0;
60081202;;95002;95003;-1;-1;-1;-1;-1;-1;50;75;0;0;0;0;0;0;
60091002;;95002;95003;-1;-1;-1;-1;-1;-1;50;75;0;0;0;0;0;0;
60091102;;95002;95003;-1;-1;-1;-1;-1;-1;50;75;0;0;0;0;0;0;
60091202;;95002;95003;-1;-1;-1;-1;-1;-1;50;75;0;0;0;0;0;0;
60100702;;95002;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;
60100802;;95002;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;
60100902;;95002;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;
60110702;;95002;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;
60110802;;95002;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;
60110902;;95002;-1;-1;-1;-1;-1;-1;-1;100;0;0;0;0;0;0;0;
