Row ID;Row Name;disableParam_NT;ParamStr
203000;;1;c2030;
203001;;1;c2030_B;
211000;;1;c2110;
212000;;1;c2120;
213000;;0;c2130_A;
213001;;1;c2130_B;
219000;;1;c2190;
356000;;1;c3560;
451000;;1;c4510;
452000;;1;c4520;
467000;;1;c4670;
471000;;1;c4710;
472000;;1;c4720;
472001;;1;c4720_B;
473000;;1;c4730;
475000;;1;c4750;
476000;;1;c4760;
480000;;1;c4800;
920100;;1;MidBoss_DeathGenus;
920200;;0;MidBoss_TreeKnights;
920300;;0;MidBoss_Wyvern;
920400;;1;MidBoss_UgRemains;
920500;;1;MidBoss_CarianRoyal;
920600;;1;MidBoss_TreeDaemon;
920700;;1;MidBoss_Aster;
920800;;1;MidBoss_MeteoricIronBeast;
920900;;0;MidBoss_BasementRoom;
921000;;1;MidBoss_DarkKnights;
921100;;1;MidBoss_NewCircle;
921200;;1;MidBoss_Creepy;
921300;;1;MidBoss_FieldDragon;
921400;;1;MidBoss_Wolf;
921500;;1;MidBoss_BlackSword;
921600;;1;MidBoss_DaemonPhantom;
921700;;1;MidBoss_DeepBlood;
925000;;0;MidBoss_CircleEvent;
930000;;0;MidBoss_Catacombs;
931000;;0;MidBoss_Cave;
932000;;0;MidBoss_Tunnel;
950000;;1;MidBoss_Fortress;
10000000;;1;None;
10000001;;1;_BgmSilent;
10000002;;1;c2030;
10000003;;1;c2120;
10000004;;1;c2130_A;
10000005;;1;c2130_B;
10000006;;1;c3560;
10000007;;1;c4670;
10000008;;1;c4720;
10000009;;1;c4730;
10000010;;1;c4750;
10000011;;1;MidBoss_Catacombs;
10000012;;1;MidBoss_Cave;
10000013;;1;MidBoss_Fortress;
10000014;;1;FieldStrongEnemyA;
10000015;;1;FieldStrongEnemyB;
10000016;;1;MidBoss_Tunnel;
10000017;;1;MidBoss_DeathGenus;
10000018;;1;MidBoss_TreeKnights;
10000019;;1;_BgmSilent_MistWall;
10000020;;1;MidBoss_CircleEvent;
10000021;;1;c4710;
10000022;;1;MidBoss_Wyvern;
10000023;;1;MidBoss_UgRemains;
10000024;;1;c4720_B;
10000025;;1;c2030_B;
10000026;;1;c4800;
10000027;;1;c4510;
10000028;;1;MidBoss_TreeDaemon;
10000029;;1;MidBoss_Aster;
10000030;;1;MidBoss_MeteoricIronBeast;
10000031;;1;MidBoss_BasementRoom;
10000032;;1;c2110;
10000033;;1;c2190;
10000034;;1;c4520;
10000035;;1;c4760;
10000036;;1;MidBoss_CarianRoyal;
10000037;;1;MidBoss_DarkKnights;
10000038;;1;MidBoss_NewCircle;
10000039;;1;MidBoss_Creepy;
10000040;;1;MidBoss_FieldDragon;
10000041;;1;MidBoss_Wolf;
10000042;;1;MidBoss_BlackSword;
10000043;;1;MidBoss_DaemonPhantom;
10000044;;1;MidBoss_DeepBlood;
10000045;;1;EventBoss_Reserved08;
10000046;;1;EventBoss_Reserved09;
10000047;;1;EventBoss_Reserved10;
10000048;;1;EventBoss_Reserved11;
10000049;;1;EventBoss_Reserved12;
10000050;;1;EventBoss_Reserved13;
10000051;;1;EventBoss_Reserved14;
10000052;;1;EventBoss_Reserved15;
10000053;;1;FieldBoss_Lv02;
10000054;;1;FieldBoss_Lv03;
10000055;;1;FieldBoss_Lv04;
10000056;;1;FieldBoss_Lv05;
10000057;;1;FieldBoss_Lv06;
10000058;;1;FieldBoss_Lv07;
10000059;;1;FieldBoss_Lv08;
10000060;;1;FieldBoss_Lv09;
10000061;;1;FieldBoss_Lv10;
10000062;;1;FieldBoss_Lv11;
10000063;;1;FieldBoss_Lv12;
10000064;;1;FieldBoss_Lv13;
10000065;;1;FieldBoss_Lv14;
10000066;;1;FieldBoss_Lv15;
10000067;;1;FieldBoss_Lv16;
10000068;;1;FieldBoss_Lv17;
10000069;;1;FieldBoss_Lv18;
10000070;;1;FieldBoss_Lv19;
10000071;;1;FieldBoss_Lv20;
10000072;;1;FieldBoss_Lv21;
10000073;;1;FieldBoss_Lv22;
10000074;;1;FieldBoss_Lv23;
10000075;;1;FieldBoss_Lv24;
10000076;;1;FieldBoss_Lv25;
10000077;;1;FieldBoss_Lv26;
10000078;;1;FieldBoss_Lv27;
10000079;;1;FieldBoss_Lv28;
10000080;;1;FieldBoss_Lv29;
10000081;;1;FieldBoss_Lv30;
10000082;;1;FieldBoss_Lv31;
10000083;;1;MultiHostile_00;
10000084;;1;MultiHostile_01;
10000085;;1;MultiHostile_02;
10000086;;1;MultiHostile_03;
10000087;;1;MultiHostile_04;
10000088;;1;MultiHostile_05;
10000089;;1;Invalid;
11000000;;1;Bgm_000_Green;
11000001;;1;Bgm_010_Lake;
11000002;;1;Bgm_020_Mountain;
11000003;;1;Bgm_030_Plain;
11000004;;1;Bgm_040_Snow;
11000005;;1;Bgm_100_Castle;
11000006;;1;Bgm_110_KingCity;
11000007;;1;Bgm_120_UgLabyrinth;
11000008;;1;Bgm_121_UgLabyrinth_Ruins;
11000009;;1;Bgm_130_Remains;
11000010;;1;Bgm_140_Academy;
11000011;;1;Bgm_150_RottenBigTree;
11000012;;1;Bgm_160_VolcanoPrison;
11000013;;1;Bgm_180_Tutorial;
11000014;;1;Bgm_190_Ritual;
11000015;;1;Bgm_300_Catacombs;
11000016;;1;Bgm_310_Cave;
11000017;;1;Bgm_320_Tunnel;
11000018;;1;Bgm_340_Tower;
11000019;;1;Bgm_350_UgKingCity;
11000020;;1;Bgm_351_UgKingCity_Tomb;
11000021;;1;Bgm_390_CliffTunnel;
11000022;;1;Bgm_500_Fortress;
11000023;;1;Bgm_999_None;
11000024;;1;Bgm_021_Volcano;
11000025;;1;Bgm_041_SnowUnder;
11000026;;1;Bgm_111_Hub;
