local GrassTypeParam_Lv1 = {
	[7] = { -- 
		["lodRange"] = 110,
		["lod0ClusterType"] = 1,
		["lod1ClusterType"] = 5,
		["lod2ClusterType"] = 5,
		["pad0"] = "[0|0]",
		["distributionType"] = 0,
		["baseDensity"] = 2.5,
		["model0Name"] = AEG001_061,
		["flatTextureName"] = AET005_004_a,
		["billboardTextureName"] = AET005_004_a,
		["normalInfluence"] = 90,
		["inclinationMax"] = 30,
		["inclinationJitter"] = 0,
		["scaleBaseMin"] = 90,
		["scaleBaseMax"] = 110,
		["scaleHeightMin"] = 55,
		["scaleHeightMax"] = 120,
		["colorShade1_r"] = 180,
		["colorShade1_g"] = 180,
		["colorShade1_b"] = 255,
		["colorShade2_r"] = 255,
		["colorShade2_g"] = 255,
		["colorShade2_b"] = 255,
		["flatSplitType"] = 0,
		["flatBladeCount"] = 2,
		["flatSlant"] = 0,
		["flatRadius"] = 0,
		["castShadow"] = 0,
		["windAmplitude"] = 80,
		["pad1"] = "[0]",
		["windCycle"] = 40,
		["orientationAngle"] = -1,
		["orientationRange"] = -1,
		["spacing"] = 0,
		["dithering"] = 0,
		["pad"] = "[0|0|0]",
		["simpleModelName"] = AEG001_061,
		["model1Name"] = AEG001_062
	},
	[8] = { -- 
		["lodRange"] = 111,
		["lod0ClusterType"] = 1,
		["lod1ClusterType"] = 5,
		["lod2ClusterType"] = 5,
		["pad0"] = "[0|0]",
		["distributionType"] = 0,
		["baseDensity"] = 2,
		["model0Name"] = AEG001_063,
		["flatTextureName"] = AET005_004_a,
		["billboardTextureName"] = AET005_004_a,
		["normalInfluence"] = 90,
		["inclinationMax"] = 30,
		["inclinationJitter"] = 0,
		["scaleBaseMin"] = 60,
		["scaleBaseMax"] = 110,
		["scaleHeightMin"] = 20,
		["scaleHeightMax"] = 105,
		["colorShade1_r"] = 180,
		["colorShade1_g"] = 180,
		["colorShade1_b"] = 100,
		["colorShade2_r"] = 255,
		["colorShade2_g"] = 255,
		["colorShade2_b"] = 255,
		["flatSplitType"] = 0,
		["flatBladeCount"] = 2,
		["flatSlant"] = 0,
		["flatRadius"] = 0,
		["castShadow"] = 0,
		["windAmplitude"] = 80,
		["pad1"] = "[0]",
		["windCycle"] = 40,
		["orientationAngle"] = -1,
		["orientationRange"] = -1,
		["spacing"] = 0,
		["dithering"] = 0,
		["pad"] = "[0|0|0]",
		["simpleModelName"] = AEG001_065,
		["model1Name"] = AEG001_064
	},
	[42] = { -- 
		["lodRange"] = 109,
		["lod0ClusterType"] = 1,
		["lod1ClusterType"] = 5,
		["lod2ClusterType"] = 5,
		["pad0"] = "[0|0]",
		["distributionType"] = 0,
		["baseDensity"] = 2.5,
		["model0Name"] = AEG009_030,
		["flatTextureName"] = AET005_004_a,
		["billboardTextureName"] = AET005_004_a,
		["normalInfluence"] = 90,
		["inclinationMax"] = 30,
		["inclinationJitter"] = 0,
		["scaleBaseMin"] = 100,
		["scaleBaseMax"] = 130,
		["scaleHeightMin"] = 50,
		["scaleHeightMax"] = 130,
		["colorShade1_r"] = 255,
		["colorShade1_g"] = 180,
		["colorShade1_b"] = 180,
		["colorShade2_r"] = 255,
		["colorShade2_g"] = 255,
		["colorShade2_b"] = 255,
		["flatSplitType"] = 0,
		["flatBladeCount"] = 2,
		["flatSlant"] = 0,
		["flatRadius"] = 0,
		["castShadow"] = 0,
		["windAmplitude"] = 80,
		["pad1"] = "[0]",
		["windCycle"] = 40,
		["orientationAngle"] = -1,
		["orientationRange"] = -1,
		["spacing"] = 0,
		["dithering"] = 0,
		["pad"] = "[0|0|0]",
		["simpleModelName"] = AEG009_031,
		["model1Name"] = AEG009_031
	},
	[43] = { -- 
		["lodRange"] = 111,
		["lod0ClusterType"] = 1,
		["lod1ClusterType"] = 5,
		["lod2ClusterType"] = 5,
		["pad0"] = "[0|0]",
		["distributionType"] = 0,
		["baseDensity"] = 1.5,
		["model0Name"] = AEG009_032,
		["flatTextureName"] = AET005_004_a,
		["billboardTextureName"] = AET005_004_a,
		["normalInfluence"] = 90,
		["inclinationMax"] = 30,
		["inclinationJitter"] = 0,
		["scaleBaseMin"] = 60,
		["scaleBaseMax"] = 110,
		["scaleHeightMin"] = 20,
		["scaleHeightMax"] = 105,
		["colorShade1_r"] = 220,
		["colorShade1_g"] = 250,
		["colorShade1_b"] = 200,
		["colorShade2_r"] = 255,
		["colorShade2_g"] = 255,
		["colorShade2_b"] = 255,
		["flatSplitType"] = 0,
		["flatBladeCount"] = 2,
		["flatSlant"] = 0,
		["flatRadius"] = 0,
		["castShadow"] = 0,
		["windAmplitude"] = 80,
		["pad1"] = "[0]",
		["windCycle"] = 40,
		["orientationAngle"] = -1,
		["orientationRange"] = -1,
		["spacing"] = 0,
		["dithering"] = 0,
		["pad"] = "[0|0|0]",
		["simpleModelName"] = AEG009_031,
		["model1Name"] = AEG009_031
	},
	[44] = { -- 
		["lodRange"] = 110,
		["lod0ClusterType"] = 1,
		["lod1ClusterType"] = 5,
		["lod2ClusterType"] = 0,
		["pad0"] = "[0|0]",
		["distributionType"] = 0,
		["baseDensity"] = 2,
		["model0Name"] = AEG001_296,
		["flatTextureName"] = AET005_004_a,
		["billboardTextureName"] = AET005_004_a,
		["normalInfluence"] = 90,
		["inclinationMax"] = 30,
		["inclinationJitter"] = 0,
		["scaleBaseMin"] = 85,
		["scaleBaseMax"] = 110,
		["scaleHeightMin"] = 65,
		["scaleHeightMax"] = 110,
		["colorShade1_r"] = 255,
		["colorShade1_g"] = 255,
		["colorShade1_b"] = 255,
		["colorShade2_r"] = 255,
		["colorShade2_g"] = 255,
		["colorShade2_b"] = 255,
		["flatSplitType"] = 0,
		["flatBladeCount"] = 2,
		["flatSlant"] = 0,
		["flatRadius"] = 0,
		["castShadow"] = 0,
		["windAmplitude"] = 80,
		["pad1"] = "[0]",
		["windCycle"] = 40,
		["orientationAngle"] = -1,
		["orientationRange"] = -1,
		["spacing"] = 0,
		["dithering"] = 0,
		["pad"] = "[0|0|0]",
		["simpleModelName"] = AEG001_325,
		["model1Name"] = AEG001_297
	},
	[45] = { -- 
		["lodRange"] = 110,
		["lod0ClusterType"] = 1,
		["lod1ClusterType"] = 5,
		["lod2ClusterType"] = 0,
		["pad0"] = "[0|0]",
		["distributionType"] = 0,
		["baseDensity"] = 2.5,
		["model0Name"] = AEG001_327,
		["flatTextureName"] = AET005_004_a,
		["billboardTextureName"] = AET005_004_a,
		["normalInfluence"] = 90,
		["inclinationMax"] = 30,
		["inclinationJitter"] = 0,
		["scaleBaseMin"] = 60,
		["scaleBaseMax"] = 110,
		["scaleHeightMin"] = 75,
		["scaleHeightMax"] = 120,
		["colorShade1_r"] = 255,
		["colorShade1_g"] = 255,
		["colorShade1_b"] = 255,
		["colorShade2_r"] = 255,
		["colorShade2_g"] = 255,
		["colorShade2_b"] = 255,
		["flatSplitType"] = 0,
		["flatBladeCount"] = 2,
		["flatSlant"] = 0,
		["flatRadius"] = 0,
		["castShadow"] = 0,
		["windAmplitude"] = 80,
		["pad1"] = "[0]",
		["windCycle"] = 40,
		["orientationAngle"] = -1,
		["orientationRange"] = -1,
		["spacing"] = 0,
		["dithering"] = 0,
		["pad"] = "[0|0|0]",
		["simpleModelName"] = AEG001_284,
		["model1Name"] = AEG001_328
	},
	[98] = { -- 
		["lodRange"] = 110,
		["lod0ClusterType"] = 1,
		["lod1ClusterType"] = 5,
		["lod2ClusterType"] = 0,
		["pad0"] = "[0|0]",
		["distributionType"] = 0,
		["baseDensity"] = 2,
		["model0Name"] = AEG001_366,
		["flatTextureName"] = AET005_004_a,
		["billboardTextureName"] = AET005_004_a,
		["normalInfluence"] = 90,
		["inclinationMax"] = 30,
		["inclinationJitter"] = 0,
		["scaleBaseMin"] = 85,
		["scaleBaseMax"] = 110,
		["scaleHeightMin"] = 75,
		["scaleHeightMax"] = 110,
		["colorShade1_r"] = 255,
		["colorShade1_g"] = 255,
		["colorShade1_b"] = 255,
		["colorShade2_r"] = 255,
		["colorShade2_g"] = 255,
		["colorShade2_b"] = 255,
		["flatSplitType"] = 0,
		["flatBladeCount"] = 2,
		["flatSlant"] = 0,
		["flatRadius"] = 0,
		["castShadow"] = 0,
		["windAmplitude"] = 80,
		["pad1"] = "[0]",
		["windCycle"] = 40,
		["orientationAngle"] = -1,
		["orientationRange"] = -1,
		["spacing"] = 0,
		["dithering"] = 0,
		["pad"] = "[0|0|0]",
		["simpleModelName"] = AEG001_364,
		["model1Name"] = AEG001_367
	},
	[118] = { -- 
		["lodRange"] = 2,
		["lod0ClusterType"] = 1,
		["lod1ClusterType"] = 0,
		["lod2ClusterType"] = 0,
		["pad0"] = "[0|0]",
		["distributionType"] = 0,
		["baseDensity"] = 1.4,
		["model0Name"] = AEG098_023,
		["flatTextureName"] = AET005_031_a,
		["billboardTextureName"] = AET005_031_a,
		["normalInfluence"] = 100,
		["inclinationMax"] = 60,
		["inclinationJitter"] = 0,
		["scaleBaseMin"] = 65,
		["scaleBaseMax"] = 100,
		["scaleHeightMin"] = 95,
		["scaleHeightMax"] = 80,
		["colorShade1_r"] = 255,
		["colorShade1_g"] = 255,
		["colorShade1_b"] = 255,
		["colorShade2_r"] = 255,
		["colorShade2_g"] = 255,
		["colorShade2_b"] = 255,
		["flatSplitType"] = 0,
		["flatBladeCount"] = 1,
		["flatSlant"] = 0,
		["flatRadius"] = 0,
		["castShadow"] = 0,
		["windAmplitude"] = 80,
		["pad1"] = "[0]",
		["windCycle"] = 40,
		["orientationAngle"] = -1,
		["orientationRange"] = -1,
