local PartsDrawParam = {
	[0] = { -- 
		["lv01_BorderDist"] = 15,
		["lv01_PlayDist"] = 1,
		["lv12_BorderDist"] = 30,
		["lv12_PlayDist"] = 2,
		["lv23_BorderDist"] = 9999,
		["lv23_PlayDist"] = 0,
		["lv34_BorderDist"] = 9999,
		["lv34_PlayDist"] = 0,
		["lv45_BorderDist"] = 9999,
		["lv45_PlayDist"] = 0,
		["tex_lv01_BorderDist"] = 30,
		["tex_lv01_PlayDist"] = 1,
		["enableCrossFade"] = 0,
		["drawDist"] = 9999,
		["drawFadeRange"] = 0,
		["shadowDrawDist"] = 9999,
		["shadowFadeRange"] = 0,
		["motionBlur_BorderDist"] = 20,
		["isPointLightShadowSrc"] = 0,
		["isDirLightShadowSrc"] = 1,
		["isShadowDst"] = 1,
		["isShadowOnly"] = 0,
		["drawByReflectCam"] = 0,
		["drawOnlyReflectCam"] = 0,
		["IncludeLodMapLv"] = -1,
		["isNoFarClipDraw"] = 0,
		["lodType"] = 1,
		["shadowDrawLodOffset"] = 0,
		["isTraceCameraXZ"] = 0,
		["isSkydomeDrawPhase"] = 0,
		["DistantViewModel_BorderDist"] = 30,
		["DistantViewModel_PlayDist"] = 5,
		["LimtedActivate_BorderDist_forGrid"] = -1,
		["LimtedActivate_PlayDist_forGrid"] = 10,
		["zSortOffsetForNoFarClipDraw"] = 0,
		["shadowDrawAlphaTestDist"] = 9999,
		["fowardDrawEnvmapBlendType"] = 0,
		["LBDrawDistScaleParamID"] = 0,
		["resereve"] = "[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]"
	},
	[1] = { -- 
		["lv01_BorderDist"] = 40,
		["lv01_PlayDist"] = 1,
		["lv12_BorderDist"] = 1000,
		["lv12_PlayDist"] = 2,
		["lv23_BorderDist"] = 9999,
		["lv23_PlayDist"] = 0,
		["lv34_BorderDist"] = 9999,
		["lv34_PlayDist"] = 0,
		["lv45_BorderDist"] = 9999,
		["lv45_PlayDist"] = 0,
		["tex_lv01_BorderDist"] = 30,
		["tex_lv01_PlayDist"] = 1,
		["enableCrossFade"] = 0,
		["drawDist"] = 9999,
		["drawFadeRange"] = 0,
		["shadowDrawDist"] = 9999,
		["shadowFadeRange"] = 0,
		["motionBlur_BorderDist"] = 20,
		["isPointLightShadowSrc"] = 0,
		["isDirLightShadowSrc"] = 1,
		["isShadowDst"] = 1,
		["isShadowOnly"] = 0,
		["drawByReflectCam"] = 0,
		["drawOnlyReflectCam"] = 0,
		["IncludeLodMapLv"] = -1,
