local PhantomParam = {
	[1] = { -- 
		["edgeColorA"] = 1,
		["frontColorA"] = 0,
		["diffMulColorA"] = 1,
		["specMulColorA"] = 1,
		["lightColorA"] = 1,
		["edgeColorR"] = 160,
		["edgeColorG"] = 160,
		["edgeColorB"] = 160,
		["frontColorR"] = 160,
		["frontColorG"] = 160,
		["frontColorB"] = 160,
		["diffMulColorR"] = 160,
		["diffMulColorG"] = 160,
		["diffMulColorB"] = 160,
		["specMulColorR"] = 160,
		["specMulColorG"] = 160,
		["specMulColorB"] = 160,
		["lightColorR"] = 160,
		["lightColorG"] = 160,
		["lightColorB"] = 160,
		["reserve"] = "[0]",
		["alpha"] = 1,
		["blendRate"] = 1,
		["blendType"] = 0,
		["isEdgeSubtract"] = 0,
		["isFrontSubtract"] = 0,
		["isNo2Pass"] = 0,
		["edgePower"] = 1,
		["glowScale"] = 0
	},
	[18] = { -- 
		["edgeColorA"] = 0.07,
		["frontColorA"] = 0.05,
		["diffMulColorA"] = 1,
		["specMulColorA"] = 1,
		["lightColorA"] = 0,
		["edgeColorR"] = 200,
		["edgeColorG"] = 200,
		["edgeColorB"] = 200,
		["frontColorR"] = 100,
		["frontColorG"] = 100,
		["frontColorB"] = 100,
		["diffMulColorR"] = 255,
		["diffMulColorG"] = 255,
		["diffMulColorB"] = 255,
		["specMulColorR"] = 255,
		["specMulColorG"] = 255,
		["specMulColorB"] = 255,
		["lightColorR"] = 0,
		["lightColorG"] = 0,
		["lightColorB"] = 0,
		["reserve"] = "[0]",
		["alpha"] = 1,
		["blendRate"] = 1,
		["blendType"] = 0,
		["isEdgeSubtract"] = 0,
		["isFrontSubtract"] = 0,
		["isNo2Pass"] = 0,
		["edgePower"] = 1,
		["glowScale"] = 3
	},
	[19] = { -- 
		["edgeColorA"] = 0.1,
		["frontColorA"] = 0.03,
		["diffMulColorA"] = 1.3,
		["specMulColorA"] = 1,
		["lightColorA"] = 0,
		["edgeColorR"] = 0,
		["edgeColorG"] = 135,
		["edgeColorB"] = 155,
		["frontColorR"] = 0,
		["frontColorG"] = 135,
		["frontColorB"] = 155,
		["diffMulColorR"] = 155,
		["diffMulColorG"] = 255,
		["diffMulColorB"] = 255,
		["specMulColorR"] = 255,
		["specMulColorG"] = 255,
		["specMulColorB"] = 255,
		["lightColorR"] = 0,
		["lightColorG"] = 0,
		["lightColorB"] = 0,
		["reserve"] = "[0]",
		["alpha"] = 1,
		["blendRate"] = 1,
		["blendType"] = 0,
		["isEdgeSubtract"] = 0,
		["isFrontSubtract"] = 0,
		["isNo2Pass"] = 0,
		["edgePower"] = 5,
		["glowScale"] = 1
	},
	[28] = { -- 
		["edgeColorA"] = 0.1,
		["frontColorA"] = 0.1,
		["diffMulColorA"] = 1.5,
		["specMulColorA"] = 1,
		["lightColorA"] = 0,
		["edgeColorR"] = 50,
		["edgeColorG"] = 50,
		["edgeColorB"] = 60,
		["frontColorR"] = 50,
		["frontColorG"] = 50,
		["frontColorB"] = 60,
		["diffMulColorR"] = 255,
		["diffMulColorG"] = 255,
		["diffMulColorB"] = 255,
		["specMulColorR"] = 255,
		["specMulColorG"] = 255,
		["specMulColorB"] = 255,
		["lightColorR"] = 255,
		["lightColorG"] = 255,
		["lightColorB"] = 255,
		["reserve"] = "[0]",
		["alpha"] = 1,
		["blendRate"] = 1,
		["blendType"] = 0,
		["isEdgeSubtract"] = 0,
		["isFrontSubtract"] = 0,
		["isNo2Pass"] = 0,
		["edgePower"] = 5,
		["glowScale"] = 0
	},
	[29] = { -- 
		["edgeColorA"] = 0.05,
		["frontColorA"] = 0.03,
		["diffMulColorA"] = 1.3,
		["specMulColorA"] = 1,
		["lightColorA"] = 0,
		["edgeColorR"] = 255,
		["edgeColorG"] = 225,
		["edgeColorB"] = 155,
		["frontColorR"] = 140,
		["frontColorG"] = 120,
		["frontColorB"] = 100,
		["diffMulColorR"] = 255,
		["diffMulColorG"] = 225,
		["diffMulColorB"] = 180,
		["specMulColorR"] = 255,
		["specMulColorG"] = 255,
		["specMulColorB"] = 255,
		["lightColorR"] = 0,
		["lightColorG"] = 0,
		["lightColorB"] = 0,
		["reserve"] = "[0]",
		["alpha"] = 1,
		["blendRate"] = 1,
		["blendType"] = 0,
		["isEdgeSubtract"] = 0,
		["isFrontSubtract"] = 0,
		["isNo2Pass"] = 0,
		["edgePower"] = 1,
		["glowScale"] = 3
	},
	[32] = { -- 
		["edgeColorA"] = 0.02,
		["frontColorA"] = 0.01,
		["diffMulColorA"] = 1.5,
		["specMulColorA"] = 1,
		["lightColorA"] = 0,
		["edgeColorR"] = 55,
		["edgeColorG"] = 0,
		["edgeColorB"] = 255,
		["frontColorR"] = 55,
		["frontColorG"] = 0,
		["frontColorB"] = 255,
		["diffMulColorR"] = 200,
		["diffMulColorG"] = 200,
		["diffMulColorB"] = 255,
		["specMulColorR"] = 255,
		["specMulColorG"] = 255,
		["specMulColorB"] = 255,
		["lightColorR"] = 255,
		["lightColorG"] = 255,
		["lightColorB"] = 255,
		["reserve"] = "[0]",
		["alpha"] = 1,
		["blendRate"] = 1,
		["blendType"] = 0,
		["isEdgeSubtract"] = 0,
		["isFrontSubtract"] = 0,
		["isNo2Pass"] = 0,
		["edgePower"] = 1,
		["glowScale"] = 0
	},
	[44] = { -- 
		["edgeColorA"] = 0.05,
		["frontColorA"] = 0.02,
		["diffMulColorA"] = 1.3,
		["specMulColorA"] = 1,
		["lightColorA"] = 0,
		["edgeColorR"] = 255,
		["edgeColorG"] = 225,
		["edgeColorB"] = 105,
		["frontColorR"] = 150,
		["frontColorG"] = 130,
		["frontColorB"] = 60,
		["diffMulColorR"] = 255,
		["diffMulColorG"] = 225,
		["diffMulColorB"] = 180,
		["specMulColorR"] = 255,
		["specMulColorG"] = 255,
		["specMulColorB"] = 255,
		["lightColorR"] = 0,
		["lightColorG"] = 0,
		["lightColorB"] = 0,
		["reserve"] = "[0]",
		["alpha"] = 1,
		["blendRate"] = 1,
		["blendType"] = 0,
		["isEdgeSubtract"] = 0,
		["isFrontSubtract"] = 0,
		["isNo2Pass"] = 0,
		["edgePower"] = 1,
		["glowScale"] = 3
	},
	[50] = { -- 
		["edgeColorA"] = 0.07,
		["frontColorA"] = 0.02,
		["diffMulColorA"] = 1.3,
		["specMulColorA"] = 1,
		["lightColorA"] = 0,
		["edgeColorR"] = 0,
		["edgeColorG"] = 135,
		["edgeColorB"] = 155,
		["frontColorR"] = 0,
		["frontColorG"] = 135,
		["frontColorB"] = 155,
		["diffMulColorR"] = 155,
		["diffMulColorG"] = 255,
		["diffMulColorB"] = 255,
		["specMulColorR"] = 255,
		["specMulColorG"] = 255,
		["specMulColorB"] = 255,
		["lightColorR"] = 0,
		["lightColorG"] = 0,
		["lightColorB"] = 0,
		["reserve"] = "[0]",
		["alpha"] = 1,
		["blendRate"] = 1,
		["blendType"] = 0,
		["isEdgeSubtract"] = 0,
		["isFrontSubtract"] = 0,
		["isNo2Pass"] = 0,
		["edgePower"] = 5,
		["glowScale"] = 3
	},
	[51] = { -- 
		["edgeColorA"] = 0.05,
		["frontColorA"] = 0.02,
		["diffMulColorA"] = 1,
		["specMulColorA"] = 1,
		["lightColorA"] = 0,
		["edgeColorR"] = 200,
		["edgeColorG"] = 200,
		["edgeColorB"] = 200,
		["frontColorR"] = 100,
		["frontColorG"] = 100,
		["frontColorB"] = 100,
		["diffMulColorR"] = 255,
		["diffMulColorG"] = 255,
		["diffMulColorB"] = 255,
		["specMulColorR"] = 255,
		["specMulColorG"] = 255,
		["specMulColorB"] = 255,
		["lightColorR"] = 0,
		["lightColorG"] = 0,
		["lightColorB"] = 0,
		["reserve"] = "[0]",
		["alpha"] = 1,
		["blendRate"] = 1,
		["blendType"] = 0,
		["isEdgeSubtract"] = 0,
		["isFrontSubtract"] = 0,
		["isNo2Pass"] = 0,
		["edgePower"] = 1,
		["glowScale"] = 3
	},
	[60] = { -- 
		["edgeColorA"] = 0.05,
		["frontColorA"] = 0.05,
		["diffMulColorA"] = 1,
		["specMulColorA"] = 1,
		["lightColorA"] = 0,
		["edgeColorR"] = 255,
		["edgeColorG"] = 40,
		["edgeColorB"] = 40,
		["frontColorR"] = 40,
		["frontColorG"] = 60,
		["frontColorB"] = 60,
		["diffMulColorR"] = 255,
		["diffMulColorG"] = 210,
		["diffMulColorB"] = 190,
		["specMulColorR"] = 255,
		["specMulColorG"] = 255,
		["specMulColorB"] = 255,
		["lightColorR"] = 255,
		["lightColorG"] = 255,
		["lightColorB"] = 255,
		["reserve"] = "[0]",
		["alpha"] = 1,
		["blendRate"] = 1,
		["blendType"] = 0,
		["isEdgeSubtract"] = 0,
		["isFrontSubtract"] = 1,
		["isNo2Pass"] = 0,
		["edgePower"] = 0.7,
		["glowScale"] = 0.5
	},
	[61] = { -- 
		["edgeColorA"] = 0.07,
		["frontColorA"] = 0.04,
		["diffMulColorA"] = 1,
		["specMulColorA"] = 1,
		["lightColorA"] = 0,
		["edgeColorR"] = 200,
		["edgeColorG"] = 120,
		["edgeColorB"] = 80,
		["frontColorR"] = 0,
		["frontColorG"] = 65,
		["frontColorB"] = 95,
		["diffMulColorR"] = 255,
		["diffMulColorG"] = 255,
		["diffMulColorB"] = 255,
		["specMulColorR"] = 255,
		["specMulColorG"] = 255,
		["specMulColorB"] = 255,
		["lightColorR"] = 255,
		["lightColorG"] = 255,
		["lightColorB"] = 255,
		["reserve"] = "[0]",
		["alpha"] = 1,
		["blendRate"] = 1,
		["blendType"] = 0,
		["isEdgeSubtract"] = 0,
		["isFrontSubtract"] = 1,
		["isNo2Pass"] = 0,
		["edgePower"] = 0.7,
		["glowScale"] = 0.5
	},
	[62] = { -- 
		["edgeColorA"] = 0.07,
		["frontColorA"] = 0.04,
		["diffMulColorA"] = 1,
		["specMulColorA"] = 1,
		["lightColorA"] = 0,
		["edgeColorR"] = 200,
		["edgeColorG"] = 120,
		["edgeColorB"] = 80,
		["frontColorR"] = 0,
		["frontColorG"] = 65,
		["frontColorB"] = 95,
		["diffMulColorR"] = 255,
		["diffMulColorG"] = 255,
		["diffMulColorB"] = 255,
		["specMulColorR"] = 255,
		["specMulColorG"] = 255,
		["specMulColorB"] = 255,
		["lightColorR"] = 255,
		["lightColorG"] = 255,
		["lightColorB"] = 255,
		["reserve"] = "[0]",
		["alpha"] = 1,
		["blendRate"] = 1,
		["blendType"] = 0,
		["isEdgeSubtract"] = 0,
		["isFrontSubtract"] = 1,
		["isNo2Pass"] = 0,
		["edgePower"] = 0.7,
		["glowScale"] = 0.5
	},
	[70] = { -- 
		["edgeColorA"] = 0.07,
		["frontColorA"] = 0.04,
		["diffMulColorA"] = 1,
		["specMulColorA"] = 1,
		["lightColorA"] = 0,
		["edgeColorR"] = 112,
		["edgeColorG"] = 118,
		["edgeColorB"] = 255,
		["frontColorR"] = 62,
		["frontColorG"] = 65,
		["frontColorB"] = 0,
		["diffMulColorR"] = 255,
		["diffMulColorG"] = 255,
		["diffMulColorB"] = 255,
		["specMulColorR"] = 255,
		["specMulColorG"] = 255,
		["specMulColorB"] = 255,
		["lightColorR"] = 255,
		["lightColorG"] = 255,
		["lightColorB"] = 255,
		["reserve"] = "[0]",
		["alpha"] = 1,
		["blendRate"] = 1,
		["blendType"] = 0,
		["isEdgeSubtract"] = 0,
		["isFrontSubtract"] = 1,
		["isNo2Pass"] = 0,
		["edgePower"] = 0.7,
		["glowScale"] = 0.5
	},
	[200] = { -- 
		["edgeColorA"] = 0.1,
		["frontColorA"] = 0.25,
		["diffMulColorA"] = 0.9,
		["specMulColorA"] = 1,
		["lightColorA"] = 0,
		["edgeColorR"] = 250,
		["edgeColorG"] = 250,
		["edgeColorB"] = 255,
		["frontColorR"] = 35,
		["frontColorG"] = 35,
		["frontColorB"] = 45,
		["diffMulColorR"] = 255,
		["diffMulColorG"] = 255,
		["diffMulColorB"] = 255,
		["specMulColorR"] = 255,
		["specMulColorG"] = 255,
		["specMulColorB"] = 255,
		["lightColorR"] = 255,
		["lightColorG"] = 255,
		["lightColorB"] = 255,
		["reserve"] = "[0]",
		["alpha"] = 1,
		["blendRate"] = 1,
		["blendType"] = 0,
		["isEdgeSubtract"] = 0,
		["isFrontSubtract"] = 0,
		["isNo2Pass"] = 0,
		["edgePower"] = 0.5,
		["glowScale"] = 0.3
	},
	[201] = { -- 
		["edgeColorA"] = 0.1,
		["frontColorA"] = 0.2,
		["diffMulColorA"] = 0.25,
		["specMulColorA"] = 1,
		["lightColorA"] = 0.05,
		["edgeColorR"] = 200,
		["edgeColorG"] = 225,
		["edgeColorB"] = 255,
		["frontColorR"] = 15,
		["frontColorG"] = 30,
		["frontColorB"] = 50,
		["diffMulColorR"] = 255,
		["diffMulColorG"] = 255,
		["diffMulColorB"] = 255,
		["specMulColorR"] = 255,
		["specMulColorG"] = 255,
		["specMulColorB"] = 255,
		["lightColorR"] = 210,
		["lightColorG"] = 230,
		["lightColorB"] = 255,
		["reserve"] = "[0]",
		["alpha"] = 1,
		["blendRate"] = 1,
		["blendType"] = 0,
		["isEdgeSubtract"] = 0,
		["isFrontSubtract"] = 0,
		["isNo2Pass"] = 0,
		["edgePower"] = 0.5,
		["glowScale"] = 0.3
	},
	[202] = { -- 
		["edgeColorA"] = 0.3,
		["frontColorA"] = 0.25,
		["diffMulColorA"] = 0.9,
		["specMulColorA"] = 1,
		["lightColorA"] = 0,
		["edgeColorR"] = 255,
		["edgeColorG"] = 110,
		["edgeColorB"] = 110,
		["frontColorR"] = 45,
		["frontColorG"] = 35,
		["frontColorB"] = 35,
		["diffMulColorR"] = 255,
		["diffMulColorG"] = 255,
		["diffMulColorB"] = 255,
		["specMulColorR"] = 255,
		["specMulColorG"] = 255,
		["specMulColorB"] = 255,
		["lightColorR"] = 255,
		["lightColorG"] = 255,
		["lightColorB"] = 255,
		["reserve"] = "[0]",
		["alpha"] = 1,
		["blendRate"] = 1,
		["blendType"] = 0,
		["isEdgeSubtract"] = 0,
		["isFrontSubtract"] = 0,
		["isNo2Pass"] = 0,
		["edgePower"] = 0.6,
		["glowScale"] = 0.3
	},
	[203] = { -- 
		["edgeColorA"] = 0.3,
		["frontColorA"] = 0.25,
		["diffMulColorA"] = 0.9,
		["specMulColorA"] = 1,
		["lightColorA"] = 0,
		["edgeColorR"] = 255,
		["edgeColorG"] = 60,
		["edgeColorB"] = 60,
		["frontColorR"] = 45,
		["frontColorG"] = 35,
		["frontColorB"] = 35,
		["diffMulColorR"] = 255,
		["diffMulColorG"] = 255,
		["diffMulColorB"] = 255,
		["specMulColorR"] = 255,
		["specMulColorG"] = 255,
		["specMulColorB"] = 255,
		["lightColorR"] = 255,
		["lightColorG"] = 255,
		["lightColorB"] = 255,
		["reserve"] = "[0]",
		["alpha"] = 1,
		["blendRate"] = 1,
		["blendType"] = 0,
		["isEdgeSubtract"] = 0,
		["isFrontSubtract"] = 0,
		["isNo2Pass"] = 0,
		["edgePower"] = 0.6,
		["glowScale"] = 0.3
	},
	[211] = { -- 
		["edgeColorA"] = 0.15,
		["frontColorA"] = 1,
		["diffMulColorA"] = 0,
		["specMulColorA"] = 1,
		["lightColorA"] = 0,
		["edgeColorR"] = 100,
		["edgeColorG"] = 100,
		["edgeColorB"] = 100,
		["frontColorR"] = 20,
		["frontColorG"] = 20,
		["frontColorB"] = 20,
		["diffMulColorR"] = 255,
		["diffMulColorG"] = 255,
		["diffMulColorB"] = 255,
		["specMulColorR"] = 255,
		["specMulColorG"] = 255,
		["specMulColorB"] = 255,
		["lightColorR"] = 255,
		["lightColorG"] = 255,
		["lightColorB"] = 255,
		["reserve"] = "[0]",
		["alpha"] = 1,
		["blendRate"] = 1,
		["blendType"] = 0,
		["isEdgeSubtract"] = 0,
		["isFrontSubtract"] = 1,
		["isNo2Pass"] = 0,
		["edgePower"] = 1.5,
		["glowScale"] = 0.2
	},
	[220] = { -- 
		["edgeColorA"] = 0.05,
		["frontColorA"] = 0.4,
		["diffMulColorA"] = 1,
		["specMulColorA"] = 0,
		["lightColorA"] = 0.03,
		["edgeColorR"] = 155,
		["edgeColorG"] = 255,
		["edgeColorB"] = 245,
		["frontColorR"] = 40,
		["frontColorG"] = 40,
		["frontColorB"] = 20,
		["diffMulColorR"] = 255,
		["diffMulColorG"] = 255,
		["diffMulColorB"] = 255,
		["specMulColorR"] = 255,
		["specMulColorG"] = 255,
		["specMulColorB"] = 255,
		["lightColorR"] = 255,
		["lightColorG"] = 255,
		["lightColorB"] = 200,
		["reserve"] = "[0]",
		["alpha"] = 1,
		["blendRate"] = 1,
		["blendType"] = 0,
		["isEdgeSubtract"] = 0,
		["isFrontSubtract"] = 1,
		["isNo2Pass"] = 0,
		["edgePower"] = 0.8,
		["glowScale"] = 0
	},
	[230] = { -- 
		["edgeColorA"] = 0.06,
		["frontColorA"] = 0.03,
		["diffMulColorA"] = 0.5,
		["specMulColorA"] = 0,
		["lightColorA"] = 0,
		["edgeColorR"] = 225,
		["edgeColorG"] = 235,
		["edgeColorB"] = 255,
		["frontColorR"] = 150,
		["frontColorG"] = 150,
		["frontColorB"] = 150,
		["diffMulColorR"] = 255,
		["diffMulColorG"] = 255,
		["diffMulColorB"] = 255,
