Row ID;Row Name;equipId;value;mtrlId;eventFlag_forStock;eventFlag_forRelease;sellQuantity;equipType;costType;setNum;value_Add;value_Magnification;iconId;nameMsgId;menuTitleMsgId;menuIconId
30000;[Grand Merchant - Weapons] Dagger;1000000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30001;[Grand Merchant - Weapons] Black Knife;1010000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30002;[Grand Merchant - Weapons] Parrying Dagger;1020000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30003;[Grand Merchant - Weapons] Misericorde;1030000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30004;[Grand Merchant - Weapons] Reduvia;1040000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30005;[Grand Merchant - Weapons] Crystal Knife;1050000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30006;[Grand Merchant - Weapons] Celebrant's Sickle;1060000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30007;[Grand Merchant - Weapons] Glintstone Kris;1070000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30008;[Grand Merchant - Weapons] Scorpion's Stinger;1080000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30009;[Grand Merchant - Weapons] Great Knife;1090000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30010;[Grand Merchant - Weapons] Wakizashi;1100000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30011;[Grand Merchant - Weapons] Cinquedea;1110000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30012;[Grand Merchant - Weapons] Ivory Sickle;1130000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30013;[Grand Merchant - Weapons] Bloodstained Dagger;1140000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30014;[Grand Merchant - Weapons] Erdsteel Dagger;1150000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30015;[Grand Merchant - Weapons] Blade of Calling;1160000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30016;[Grand Merchant - Weapons] Longsword;2000000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30017;[Grand Merchant - Weapons] Short Sword;2010000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30018;[Grand Merchant - Weapons] Broadsword;2020000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30019;[Grand Merchant - Weapons] Lordsworn's Straight Sword;2040000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30020;[Grand Merchant - Weapons] Weathered Straight Sword;2050000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30021;[Grand Merchant - Weapons] Ornamental Straight Sword;2060000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30022;[Grand Merchant - Weapons] Golden Epitaph;2070000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30023;[Grand Merchant - Weapons] Nox Flowing Sword;2080000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
30024;[Grand Merchant - Weapons] Inseparable Sword;2090000;0;-1;0;0;-1;0;0;1;1;-1;-1;-1;-1;-1;
