Row ID;Row Name;Reinforce Type ID
100100;;100
100200;;200
100300;;300
100400;;400
100500;;500
100600;;600
100700;;700
100800;;800
100900;;900
101000;;1000
110000;Unarmed;3000
1000100;Dagger [Heavy];100
1000200;Dagger [Keen];5000
1000300;Dagger [Quality];300
1000400;Dagger [Fire];400
1000500;Dagger [Flame Art];500
1000600;Dagger [Lightning];600
1000700;Dagger [Sacred];700
1000800;Dagger [Magic];800
1000900;Dagger [Cold];900
1001000;Dagger [Poison];1000
1001100;Dagger [Blood];1100
1001200;Dagger [Occult];1200
1010100;Black Knife [Heavy];100
1010200;Black Knife [Keen];200
1010300;Black Knife [Quality];300
1010400;Black Knife [Fire];400
1010500;Black Knife [Flame Art];500
1010600;Black Knife [Lightning];600
1010700;Black Knife [Sacred];700
1010800;Black Knife [Magic];800
1010900;Black Knife [Cold];900
1011000;Black Knife [Poison];1000
1011100;Black Knife [Blood];1100
1011200;Black Knife [Occult];1200
1020100;Parrying Dagger [Heavy];100
1020200;Parrying Dagger [Keen];5000
1020300;Parrying Dagger [Quality];300
1020400;Parrying Dagger [Fire];400
1020500;Parrying Dagger [Flame Art];500
1020600;Parrying Dagger [Lightning];600
1020700;Parrying Dagger [Sacred];700
1020800;Parrying Dagger [Magic];800
1020900;Parrying Dagger [Cold];900
1021000;Parrying Dagger [Poison];1000
1021100;Parrying Dagger [Blood];1100
1021200;Parrying Dagger [Occult];1200
1030100;Misericorde [Heavy];100
1030200;Misericorde [Keen];5000
1030300;Misericorde [Quality];300
1030400;Misericorde [Fire];400
1030500;Misericorde [Flame Art];500
1030600;Misericorde [Lightning];600
1030700;Misericorde [Sacred];700
1030800;Misericorde [Magic];800
1030900;Misericorde [Cold];900
1031000;Misericorde [Poison];1000
1031100;Misericorde [Blood];1100
1031200;Misericorde [Occult];1200
1040100;Reduvia [Heavy];100
1040200;Reduvia [Keen];200
1040300;Reduvia [Quality];300
1040400;Reduvia [Fire];400
1040500;Reduvia [Flame Art];500
1040600;Reduvia [Lightning];600
1040700;Reduvia [Sacred];700
1040800;Reduvia [Magic];800
1040900;Reduvia [Cold];900
1041000;Reduvia [Poison];1000
1041100;Reduvia [Blood];1100
1041200;Reduvia [Occult];1200
1050100;Crystal Knife [Heavy];100
1050200;Crystal Knife [Keen];200
1050300;Crystal Knife [Quality];300
1050400;Crystal Knife [Fire];400
1050500;Crystal Knife [Flame Art];500
1050600;Crystal Knife [Lightning];600
1050700;Crystal Knife [Sacred];700
1050800;Crystal Knife [Magic];800
1050900;Crystal Knife [Cold];900
1051000;Crystal Knife [Poison];1000
1051100;Crystal Knife [Blood];1100
1051200;Crystal Knife [Occult];1200
1060100;Celebrant's Sickle [Heavy];100
1060200;Celebrant's Sickle [Keen];5000
1060300;Celebrant's Sickle [Quality];300
1060400;Celebrant's Sickle [Fire];400
1060500;Celebrant's Sickle [Flame Art];500
1060600;Celebrant's Sickle [Lightning];600
1060700;Celebrant's Sickle [Sacred];700
1060800;Celebrant's Sickle [Magic];800
1060900;Celebrant's Sickle [Cold];900
1061000;Celebrant's Sickle [Poison];1000
1061100;Celebrant's Sickle [Blood];1100
1061200;Celebrant's Sickle [Occult];1200
1070100;Glintstone Kris [Heavy];100
1070200;Glintstone Kris [Keen];200
1070300;Glintstone Kris [Quality];300
1070400;Glintstone Kris [Fire];400
1070500;Glintstone Kris [Flame Art];500
1070600;Glintstone Kris [Lightning];600
1070700;Glintstone Kris [Sacred];700
1070800;Glintstone Kris [Magic];800
1070900;Glintstone Kris [Cold];900
1071000;Glintstone Kris [Poison];1000
1071100;Glintstone Kris [Blood];1100
1071200;Glintstone Kris [Occult];1200
1080100;Scorpion's Stinger [Heavy];100
1080200;Scorpion's Stinger [Keen];200
1080300;Scorpion's Stinger [Quality];300
1080400;Scorpion's Stinger [Fire];400
1080500;Scorpion's Stinger [Flame Art];500
1080600;Scorpion's Stinger [Lightning];600
1080700;Scorpion's Stinger [Sacred];700
1080800;Scorpion's Stinger [Magic];800
1080900;Scorpion's Stinger [Cold];900
1081000;Scorpion's Stinger [Poison];1000
1081100;Scorpion's Stinger [Blood];1100
1081200;Scorpion's Stinger [Occult];1200
1090100;Great Knife [Heavy];100
1090200;Great Knife [Keen];5000
1090300;Great Knife [Quality];300
1090400;Great Knife [Fire];400
1090500;Great Knife [Flame Art];500
1090600;Great Knife [Lightning];600
1090700;Great Knife [Sacred];700
1090800;Great Knife [Magic];800
1090900;Great Knife [Cold];900
1091000;Great Knife [Poison];1000
1091100;Great Knife [Blood];1100
1091200;Great Knife [Occult];1200
1100100;Wakizashi [Heavy];100
1100200;Wakizashi [Keen];200
1100300;Wakizashi [Quality];300
1100400;Wakizashi [Fire];400
1100500;Wakizashi [Flame Art];500
1100600;Wakizashi [Lightning];600
1100700;Wakizashi [Sacred];700
1100800;Wakizashi [Magic];800
1100900;Wakizashi [Cold];900
1101000;Wakizashi [Poison];1000
1101100;Wakizashi [Blood];1100
1101200;Wakizashi [Occult];1200
1110100;Cinquedea [Heavy];100
1110200;Cinquedea [Keen];200
1110300;Cinquedea [Quality];300
1110400;Cinquedea [Fire];400
1110500;Cinquedea [Flame Art];500
1110600;Cinquedea [Lightning];600
1110700;Cinquedea [Sacred];700
1110800;Cinquedea [Magic];800
1110900;Cinquedea [Cold];900
1111000;Cinquedea [Poison];1000
1111100;Cinquedea [Blood];1100
1111200;Cinquedea [Occult];1200
1130100;Ivory Sickle [Heavy];100
1130200;Ivory Sickle [Keen];200
1130300;Ivory Sickle [Quality];300
1130400;Ivory Sickle [Fire];400
1130500;Ivory Sickle [Flame Art];500
1130600;Ivory Sickle [Lightning];600
1130700;Ivory Sickle [Sacred];700
1130800;Ivory Sickle [Magic];800
1130900;Ivory Sickle [Cold];900
1131000;Ivory Sickle [Poison];1000
1131100;Ivory Sickle [Blood];1100
1131200;Ivory Sickle [Occult];1200
1140100;Bloodstained Dagger [Heavy];6000
1140200;Bloodstained Dagger [Keen];200
1140300;Bloodstained Dagger [Quality];300
1140400;Bloodstained Dagger [Fire];400
1140500;Bloodstained Dagger [Flame Art];500
1140600;Bloodstained Dagger [Lightning];600
1140700;Bloodstained Dagger [Sacred];700
1140800;Bloodstained Dagger [Magic];800
1140900;Bloodstained Dagger [Cold];900
1141000;Bloodstained Dagger [Poison];1000
