Row ID;Row Name;aiVolumeRate;spEffectIdOnHit0;spEffectIdOnHit1;footEffectHeightType;footEffectDirType;floorHeightType;disableFallDamage;isHardnessForSoundReverb;hardnessType;spEffectIdOnHit0_ClearCount_2;spEffectIdOnHit0_ClearCount_3;spEffectIdOnHit0_ClearCount_4;spEffectIdOnHit0_ClearCount_5;spEffectIdOnHit0_ClearCount_6;spEffectIdOnHit0_ClearCount_7;spEffectIdOnHit0_ClearCount_8;spEffectIdOnHit1_ClearCount_2;spEffectIdOnHit1_ClearCount_3;spEffectIdOnHit1_ClearCount_4;spEffectIdOnHit1_ClearCount_5;spEffectIdOnHit1_ClearCount_6;spEffectIdOnHit1_ClearCount_7;spEffectIdOnHit1_ClearCount_8;replaceMateiralId_Rain;spEffectId_forWet00;spEffectId_forWet01;spEffectId_forWet02;spEffectId_forWet03;spEffectId_forWet04
0;None;1;-1;-1;0;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
1;Stock;1;-1;-1;0;0;0;0;1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
2;Rock;1;-1;-1;0;0;0;0;1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
3;Sand;1;-1;-1;0;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;44;-1;-1;-1;-1;-1;
4;Wood;1;-1;-1;0;0;0;0;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
5;Dirt;1;-1;-1;0;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;44;-1;-1;-1;-1;-1;
6;Ore;1;-1;-1;0;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;44;-1;-1;-1;-1;-1;
7;;1;-1;4101;2;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4040;-1;-1;-1;-1;
8;Scarlet Tree;1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
9;;1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
