Row ID, Field: Equip ID, Field: Equip Type
1,240,3
1000,290,3
1001,292,3
1002,240,3
1003,201000,0
100000,111,3
100002,1760,3
100004,30000000,0
100009,150,3
100010,1190,3
100011,15430,3
100012,21000000,0
100013,51000000,0
100014,53000000,0
100015,930200,1
100016,930300,1
100017,931100,1
100025,10030,3
100025,10030,3
100026,8000,3
100026,8000,3
100050,4000,3
100051,4460,3
100052,4470,3
100053,4060,3
100054,4070,3
100055,4040,3
100056,4030,3
100057,4020,3
100058,4050,3
100059,4001,3
100060,4010,3
100061,4300,3
100062,4440,3
100075,10100,4
100076,10300,4
100077,80000,4
100078,10600,4
100079,50300,4
100080,65100,4
100081,70000,4
100082,30200,4
100083,21000,4
100084,20700,4
100085,60200,4
100086,30900,4
100100,2140,3
100101,9360,3
100102,8000,3
100103,150,3
100104,10000,3
100105,1200,3
100108,1020000,0
100111,6070,2
100112,111,3
100113,2050,3
100114,1750,3
100115,51000000,0
100116,53000000,0
100117,111,3
100118,1750,3
100119,5000000,0
100120,51000000,0
100121,53000000,0
100122,31240000,0
100126,6750,3
100127,6770,3
100150,8136,3
100155,820,3
100160,830,3
100175,4610,3
100176,6500,3
100177,4040,3
100185,7200,3
100200,12000,4
100201,20300,4
100202,21900,4
100225,10160,3
100226,10161,3
100227,10162,3
100228,10163,3
100229,6020,2
100250,4000,3
100251,4070,3
100252,4140,3
100275,4301,3
100276,4400,3
100277,4420,3
100278,4640,3
100279,4020,3
100280,4050,3
100281,4001,3
100282,4010,3
100283,4300,3
100284,4440,3
100300,261000,3
100301,262000,3
100302,263000,3
100310,260000,3
100325,9347,3
100326,9501,3
100329,15040,3
100330,15120,3
100334,30500,4
100335,2130,3
100336,8185,3
100337,15050,3
100338,14050000,0
100339,31340000,0
100350,6400,3
100351,6420,3
100352,6421,3
100353,6440,3
100354,6450,3
100355,6460,3
100356,6000,3
100357,6010,3
100358,6422,3
100359,6470,3
100360,6700,3
100361,6740,3
100362,6001,3
100363,6220,3
100364,6100,3
100365,6020,3
100366,6210,3
100367,6250,3
100368,6423,3
100369,6441,3
100370,6510,3
100371,6530,3
100372,6710,3
100373,6730,3
100374,6900,3
100375,6930,3
100376,6960,3
100377,6940,3
100378,6910,3
100400,4390,3
100401,4430,3
100402,4020,3
100403,4050,3
100404,4001,3
100405,4010,3
100406,4300,3
100407,4440,3
100425,6430,3
100426,6001,3
100428,6220,3
100429,6100,3
100430,6020,3
100431,6210,3
100432,6250,3
100433,6423,3
100434,6441,3
100435,6510,3
100436,6530,3
100437,6710,3
100438,6730,3
100439,6900,3
100440,6930,3
100441,6960,3
100442,6940,3
100443,6910,3
100500,8702,3
100501,8500,3
100502,9300,3
100503,9311,3
100504,9361,3
100505,150,3
100506,9500,3
100507,1700,3
100510,24000000,0
100511,31230000,0
100513,2040,3
100514,8712,3
100515,1100000,1
100516,1100100,1
100517,1100200,1
100518,1100300,1
100519,50000000,0
100520,52000000,0
100525,9301,3
100539,8707,3
100540,9500,3
100541,1100,3
100542,2010000,0
100543,18000000,0
100544,50000000,0
100545,52000000,0
100546,1401000,1
100550,9383,3
100551,9328,3
100552,15000,3
100553,15010,3
100554,15020,3
100557,50000000,0
100560,52000000,0
100561,111,3
100562,20651,3
100563,14020000,0
100564,30090000,0
100565,31100000,0
100566,50040000,0
100575,9321,3
100576,8703,3
100585,8709,3
100586,11010000,0
100587,2020000,0
100588,30120000,0
100589,40000000,0
100590,50000000,0
100591,52000000,0
100592,900,3
100593,910,3
100594,930,3
100600,8000,3
100601,1730,3
100602,30070000,0
100603,31070000,0
100604,1000,2
100605,8708,3
100606,9500,3
100607,3000000,0
100608,43020000,0
100609,50000000,0
100610,52000000,0
100611,51000000,0
100612,53000000,0
100613,40000,1
100614,40100,1
100615,40200,1
100616,40300,1
100625,9322,3
100633,5000000,0
100634,31000000,0
100641,630000,1
100642,630100,1
100643,630200,1
100644,630300,1
100645,2070,3
100646,33130000,0
100647,50000000,0
100648,52000000,0
100650,8704,3
100652,8000,3
100654,20691,3
100656,53000000,0
100657,6070,2
100658,2070,3
100659,10070,3
100660,4040000,0
100661,50000000,0
100662,52000000,0
100663,51000000,0
100675,9422,3
100676,20651,3
100678,20740,3
100680,8000,3
100681,10070,3
100682,6070,2
100686,8711,3
100687,8715,3
100688,203000,3
100689,50040000,0
100690,52050000,0
100691,670000,1
100692,670100,1
100693,670200,1
100694,670300,1
