Row ID,Row Name,Unk0,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7,Unk8,Unk9,Unk10,Unk11,Unk12,Unk13,Unk14,Unk15
10000100,,1,10000100,10005100,10002100,0,0,-1,-64537,10002150,0,0,0,0,0,0,0
10000102,,0,10000102,10005102,10002102,0,0,-1,-64537,10002152,0,0,0,0,0,0,0
10000104,,1,10000104,10005104,10002104,0,0,-1,-64537,10002154,0,0,0,0,0,0,0
10000106,,1,10000106,10005106,10002106,0,0,-1,-64537,10002156,0,0,0,0,0,0,0
10000108,,0,10000108,10005108,10002108,0,0,-1,-64537,10002158,0,0,0,0,0,0,0
11000100,,1,11000100,11005100,11002100,0,0,-1,-64537,11002150,0,0,0,0,0,0,0
11000102,,1,11000102,11005102,11002102,0,0,-1,-64537,11002152,0,0,0,0,0,0,0
11000104,,1,11000104,11005104,11002104,0,0,-1,-64537,11002154,0,0,0,0,0,0,0
11000106,,1,11000106,11005106,11002106,0,0,-1,-64537,11002156,0,0,0,0,0,0,0
11050100,,1,11050100,11055100,11052100,0,0,-1,-64537,11052100,0,0,0,0,0,0,0
11050102,,1,11050102,11055102,11052102,0,0,-1,-64537,11052102,0,0,0,0,0,0,0
12010100,,1,12010100,12015100,12012100,0,0,-1,-64537,12012300,0,0,0,0,0,0,0
12010102,,1,12010102,12015102,12012102,0,0,-1,-64537,12012810,0,0,0,0,0,0,0
12010104,,1,12010104,12015104,12012104,0,0,-1,-65436,0,0,0,0,0,0,0,0
12010106,,1,12010106,12015106,12012106,0,0,-1,-64537,12012486,0,0,0,0,0,0,0
12010108,,1,12010108,12015108,12012108,0,0,-1,-64537,12012488,0,0,0,0,0,0,0
12010110,,1,12010110,12015110,12012110,0,0,-1,-64537,12012490,0,0,0,0,0,0,0
12020102,,1,12020102,12025102,12022102,0,0,-1,-65436,0,0,0,0,0,0,0,0
12020110,,1,12020110,12025110,12022110,0,0,-1,-65436,0,0,0,0,0,0,0,0
12020112,,1,12020112,12025112,12022112,0,0,-1,-64537,12022112,0,0,0,0,0,0,0
12020114,,1,12020114,12025114,12022114,0,0,-1,-64537,12022114,0,0,0,0,0,0,0
12020116,,1,12020116,12025116,12022116,0,0,-1,-64537,12022880,0,0,0,0,0,0,0
12020118,,1,12020118,12025118,12022118,0,0,-1,-64537,12022118,0,0,0,0,0,0,0
12030100,,1,12030100,12035100,12032100,0,0,-1,-64537,12032100,0,0,0,0,0,0,0
12030102,,1,12030102,12035102,12032102,0,0,-1,-65436,0,0,0,0,0,0,0,0
12030104,,1,12030104,12035104,12032104,0,0,-1,-64537,12032830,0,0,0,0,0,0,0
12030106,,1,12030106,12035106,12032106,0,0,-1,-64537,12032880,0,0,0,0,0,0,0
12040100,,1,12040100,12045100,12042100,0,0,-1,-64537,12042830,0,0,0,0,0,0,0
12050100,,1,12050100,12055100,12052100,0,0,-1,-64537,12052100,0,0,0,0,0,0,0
12050102,,1,12050102,12055102,12052102,0,0,-1,-64537,12052102,0,0,0,0,0,0,0
12050104,,1,12050104,12055104,12052104,0,0,-1,-64537,12052830,0,0,0,0,0,0,0
12070100,,1,12070100,12075100,12072100,0,0,-1,-64537,12072100,0,0,0,0,0,0,0
12070102,,1,12070102,12075102,12072102,0,0,-1,-64537,12072400,0,0,0,0,0,0,0
12080100,,1,12080100,12085100,12082100,0,0,-1,-64537,12082830,0,0,0,0,0,0,0
12090100,,1,12090100,12095100,12092100,0,0,-1,-64537,12092830,0,0,0,0,0,0,0
13000100,,1,13000100,13005100,13002100,0,0,-1,-64537,13002855,0,0,0,0,0,0,0
13000102,,1,13000102,13005102,13002102,0,0,-1,-65466,0,0,0,0,0,0,0,0
13000106,,1,13000106,13005106,13002106,0,0,-1,-64537,13002156,0,0,0,0,0,0,0
13000108,,1,13000108,13005108,13002108,0,0,-1,-64537,13002158,0,0,0,0,0,0,0
13000120,,1,13000120,13005120,13002120,0,0,-1,-64537,13002805,0,0,0,0,0,0,0
13000122,,1,13000122,13005122,13002122,0,0,-1,-64537,13002835,0,0,0,0,0,0,0
14000100,,1,14000100,14005100,14002100,0,0,-1,-65501,0,0,0,0,0,0,0,0
14000102,,1,14000102,14005102,14002102,0,0,-1,-64537,14002152,0,0,0,0,0,0,0
14000104,,1,14000104,14005104,14002104,0,0,-1,-64537,14002154,14002155,0,0,0,0,0,0
14000106,,1,14000106,14005106,14002106,0,0,-1,-64537,14002156,0,0,0,0,0,0,0
15000100,,1,15000100,15005100,15002100,0,0,-1,-64537,15002100,0,0,0,0,0,0,0
15000102,,1,15000102,0,15002102,0,0,-1,-64537,15002102,0,0,0,0,0,0,0
15000104,,1,15000104,0,15002104,0,0,-1,-64537,15002104,0,0,0,0,0,0,0
15000110,,1,15000110,15005110,15002110,0,0,-1,-64537,15002110,0,0,0,0,0,0,0
16000100,,1,16000100,0,16002100,0,0,-1,-64537,16002150,0,0,0,0,0,0,0
16000108,,1,16000108,0,16002108,0,0,-1,-64537,16002158,0,0,0,0,0,0,0
16000110,,1,16000110,16005850,16002110,0,0,-1,-64537,16002160,0,0,0,0,0,0,0
16000112,,1,16000112,16005860,16002112,0,0,-1,-64537,16002162,0,0,0,0,0,0,0
16000114,,1,16000114,16005800,16002114,0,0,1908,-64537,16002164,0,0,0,0,0,0,0
16000116,,1,16000116,16005510,16002116,0,0,-1,-64537,16002166,0,0,0,0,0,0,0
18000100,,1,18000100,18005100,18002100,0,0,-1,-64537,18002102,0,0,0,0,0,0,0
19000130,,1,19000130,19005130,19002130,0,0,-1,-64537,19002130,0,0,0,0,0,0,0
30000100,,1,30000100,30005100,30002100,0,0,-1,-64537,30002805,0,0,0,0,0,0,0
30010100,,1,30010100,30015100,30012100,0,0,-1,-64537,30012805,0,0,0,0,0,0,0
