Row ID,Row Name,Unk0,Unk1,Unk2,Unk3
10000010,,0,50397440,263172,-1
10000020,,1,50397440,263172,-1
10000030,,1,50397440,263172,-1
10000040,,1,67372036,263172,-1
10000050,,1,50462976,394500,-1
10010000,,1,50462976,394500,-1
10010001,,1,50462976,394500,-1
11000040,,1,50397440,263172,-1
11050010,,1,50397441,263172,-1
11050020,,1,50397441,263172,-1
12010000,,1,0,0,-1
12010001,,1,0,0,-1
12020000,,1,0,0,-1
12020001,,1,0,0,-1
12030010,,1,0,0,-1
12030011,,1,0,0,-1
12030020,,1,50462976,394500,-1
12030021,,1,50462976,394500,-1
12050020,,1,50397440,263172,-1
12060000,,1,0,0,-1
13000010,,1,50397440,263172,-1
13000040,,1,50397440,263172,-1
13000050,,1,50397440,263172,-1
13000060,,1,16843009,65793,10.5
14000000,,1,0,0,-1
14000010,,1,0,0,-1
15000000,,1,0,0,-1
15000010,,1,0,0,-1
16000000,,1,50397440,263172,-1
16000010,,1,50462976,394500,-1
16000020,,1,0,0,-1
19000000,,1,0,0,-1
19000010,,1,0,0,-1
19000011,,1,50529027,197379,-1
19000020,,1,0,0,-1
19000021,,1,0,0,-1
19000030,,1,0,0,-1
19000031,,1,0,0,-1
19000040,,1,0,0,-1
19000050,,1,0,0,-1
19000060,,1,0,0,-1
19000061,,1,16843009,65793,-1
19000070,,1,0,0,-1
19000071,,1,0,0,-1
19000080,,1,0,0,-1
19000081,,1,67372036,263172,-1
31000000,,1,50462976,394500,-1
31000001,,1,50462976,394500,-1
34110000,,1,0,0,-1
34110001,,1,0,0,-1
34110010,,1,50397440,263172,-1
35000000,,1,0,0,-1
35000010,,1,50462976,394500,-1
35000020,,1,50462976,394500,-1
60370000,,1,50397440,263172,-1
60380000,,1,50397440,263172,-1
60380001,,1,50397440,263172,-1
60380010,,1,50397440,263172,-1
60380011,,1,50397440,263172,-1
60420000,,0,67372036,263172,22.5
60420001,,0,67372036,263172,22.5
60420002,,1,67372036,263172,22.5
60420003,,0,67372036,263172,22.5
60420004,,0,67372036,263172,22.5
60420005,,0,67372036,263172,22.5
60420006,,1,67372036,263172,22.5
60420007,,0,67372036,263172,22.5
60430000,,1,0,0,-1
60490000,,1,50397440,263172,-1
60490001,,1,50397440,263172,-1
60490010,,1,50397440,263172,-1
60490011,,1,50397440,263172,-1
60490020,,1,50397440,263172,-1
60490021,,1,50397440,263172,-1
60490030,,1,50397440,263172,-1
60490031,,1,50397440,263172,-1
60500000,,1,50462976,394500,-1
60510000,,1,0,0,-1
60510010,,1,67372036,263172,22.5
60510011,,1,67372036,263172,22.5
60520010,,1,50397440,263172,-1
60540000,,1,50397440,263172,-1
60540001,,1,50397440,263172,-1
60540010,,1,50397440,263172,-1
60540011,,1,50397440,263172,-1
99990010,,1,50397440,263172,-1
99990020,,1,67372036,263172,22.5
99990030,,1,50397440,263172,-1
99990040,,1,50397440,263172,-1
