Row ID,Row Name,Unk0,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7
1,,1,331301,888880000,0,0,0,0,0
2,,2,331302,888880000,0,0,0,0,0
3,,3,331303,888880000,0,0,0,0,0
4,,4,331304,888880000,0,0,0,0,0
5,,5,331305,999999999,0,0,0,0,0
7,,7,331307,444444441,0,0,0,0,0
8,,8,331308,444444440,0,0,0,0,0
9,,9,331309,444444446,0,0,0,0,0
11,,11,331311,444444444,1,0,0,0,0
17,,17,331317,888888887,0,0,0,0,0
21,,21,331321,888888891,0,0,0,0,0
22,,22,331322,888880001,0,0,0,0,0
23,,8,331323,444444440,0,0,0,0,0
24,,8,331324,444444440,0,0,0,0,0
25,,8,331325,444444440,0,0,0,0,0
30,,30,331330,888888892,0,0,0,0,0
31,,30,331331,888888892,0,0,0,0,0
32,,30,331332,888888892,0,0,0,0,0
33,,30,331333,888888892,0,0,0,0,0
34,,30,331334,888888892,0,0,0,0,0
35,,30,331335,888888892,0,0,0,0,0
36,,30,331336,888888892,0,0,0,0,0
37,,30,331337,888888892,0,0,0,0,0
38,,30,331338,888888892,0,0,0,0,0
39,,30,331339,888888892,0,0,0,0,0
50,,50,331305,999999999,0,0,0,0,0
