Row ID,Row Name,Unk0,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7,Unk8,Unk9,Unk10,Unk11,Unk12,Unk13,Unk14,Unk15,Unk16,Unk17,Unk18,Unk19,Unk20,Unk21,Unk22,Unk23,Unk24,Unk25,Unk26,Unk27,Unk28,Unk29,Unk30,Unk31,Unk32,Unk33,Unk34,Unk35,Unk36,Unk37,Unk38,Unk39,Unk40,Unk41,Unk42,Unk43,Unk44,Unk45,Unk46,Unk47,Unk48,Unk49,Unk50,Unk51,Unk52,Unk53,Unk54,Unk55,Unk56,Unk57,Unk58,Unk59,Unk60,Unk61,Unk62,Unk63,Unk64,Unk65,Unk66,Unk67,Unk68
8,,6.06563E-36,5,2,4522049,3145799,3211312,3145823,3342390,0,0,0,4522049,3145812,3473456,3145823,3407920,6357087,0,0,0,0,0,0,0,0,0,0,4522049,3145812,3473456,3145823,3407920,6357087,0,0,0,0,0,0,0,0,0,0,1006640730,-1268181906,-39756,131327,0,671109120,-1082130432,-1082130432,0,0,4522049,3145799,3211312,3145823,3473462,0,0,0,4522049,3145799,3211312,3145823,3407926,0,0,0
42,,6.065629E-36,5,2.5,4522049,3145799,3735600,3145823,3145779,0,0,0,4522049,3145812,3473456,3145823,3407920,6357087,0,0,0,0,0,0,0,0,0,0,4522049,3145812,3473456,3145823,3407920,6357087,0,0,0,0,0,0,0,0,0,0,1677729370,-8244606,-19276,131327,0,671109120,-1082130432,-1082130432,0,0,4522049,3145799,3735600,3145823,3211315,0,0,0,4522049,3145799,3735600,3145823,3211315,0,0,0
43,,6.06563E-36,5,1.5,4522049,3145799,3735600,3145823,3276851,0,0,0,4522049,3145812,3473456,3145823,3407920,6357087,0,0,0,0,0,0,0,0,0,0,4522049,3145812,3473456,3145823,3407920,6357087,0,0,0,0,0,0,0,0,0,0,1006640730,-597093266,-14086,131327,0,671109120,-1082130432,-1082130432,0,0,4522049,3145799,3735600,3145823,3211315,0,0,0,4522049,3145799,3735600,3145823,3211315,0,0,0
44,,6.06563E-36,0,2,4522049,3145799,3211312,3276895,3539001,0,0,0,4522049,3145812,3473456,3145823,3407920,6357087,0,0,0,0,0,0,0,0,0,0,4522049,3145812,3473456,3145823,3407920,6357087,0,0,0,0,0,0,0,0,0,0,1426071130,-9551506,-1,131327,0,671109120,-1082130432,-1082130432,0,0,4522049,3145799,3211312,3342431,3473458,0,0,0,4522049,3145799,3211312,3276895,3604537,0,0,0
45,,6.06563E-36,0,2.5,4522049,3145799,3211312,3342431,3604530,0,0,0,4522049,3145812,3473456,3145823,3407920,6357087,0,0,0,0,0,0,0,0,0,0,4522049,3145812,3473456,3145823,3407920,6357087,0,0,0,0,0,0,0,0,0,0,1006640730,-8893586,-1,131327,0,671109120,-1082130432,-1082130432,0,0,4522049,3145799,3211312,3276895,3407928,0,0,0,4522049,3145799,3211312,3342431,3670066,0,0,0
98,,6.06563E-36,0,2,4522049,3145799,3211312,3342431,3538998,0,0,0,4522049,3145812,3473456,3145823,3407920,6357087,0,0,0,0,0,0,0,0,0,0,4522049,3145812,3473456,3145823,3407920,6357087,0,0,0,0,0,0,0,0,0,0,1426071130,-9548946,-1,131327,0,671109120,-1082130432,-1082130432,0,0,4522049,3145799,3211312,3342431,3407926,0,0,0,4522049,3145799,3211312,3342431,3604534,0,0,0
118,,9.18383E-41,0,1.4,4522049,3145799,3670073,3145823,3342386,0,0,0,4522049,3145812,3473456,3145823,3211315,6357087,0,0,0,0,0,0,0,0,0,0,4522049,3145812,3473456,3145823,3211315,6357087,0,0,0,0,0,0,0,0,0,0,1090534500,-11509916,-1,65791,0,671109120,-1082130432,-1082130432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,,9.477423E-38,0,1,4522049,3145799,3670073,3145823,3735602,0,0,0,4522049,3145812,3473456,3145823,3211315,6357087,0,0,0,0,0,0,0,0,0,0,4522049,3145812,3473456,3145823,3211315,6357087,0,0,0,0,0,0,0,0,0,0,1090526814,-10206876,-1,131327,0,671109120,-1082130432,-1082130432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,,9.477423E-38,0,1,4522049,3145799,3670073,3145823,3604531,0,0,0,4522049,3145812,3473456,3145823,3211315,6357087,0,0,0,0,0,0,0,0,0,0,4522049,3145812,3473456,3145823,3211315,6357087,0,0,0,0,0,0,0,0,0,0,1090530660,-11509916,-1,65791,0,671109120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,,9.477423E-38,2,1,4522049,3145799,3670073,3145823,3670067,0,0,0,4522049,3276884,3145780,3670111,3145776,6357087,0,0,0,0,0,0,0,0,0,0,4522049,3276884,3145780,3670111,3145776,6357087,0,0,0,0,0,0,0,0,0,0,1594174810,-9871511,-1,131327,0,671109120,-1082130432,-1082130432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
