Row ID;Row Name;Team Type;Phantom Param ID 0;SpEffect ID 0;SpEffect ID 1;SpEffect ID 2;SpEffect ID 3;SpEffect ID 4;SpEffect ID 5;SpEffect ID 6;SpEffect ID 7;SpEffect ID 8;SpEffect ID 9;VFX ID 0;VFX ID 1;Stay Anim ID;Itemlot ID;SpEffect Condition;Display Team Name;Text ID;Team Type - Sub;Phantom Param ID 1;Phantom Param ID 2;Phantom Param ID 3;Effect ID 10;Effect ID 11;Effect ID 12;Effect ID 13;Unk1
0;Host of Fingers;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;63010;-1;1;1;331100;0;-1;-1;-1;-1;-1;-1;-1;-1
1;Furled Finger;2;61;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30001;30000;63010;5410;1;1;331101;0;61;61;61;8801;-1;-1;-1;61
2;Duelist;16;60;4700;-1;-1;-1;-1;-1;-1;-1;-1;-1;30011;30010;63010;5420;0;2;331103;2;60;60;60;-1;-1;-1;-1;60
3;;5;900;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;63010;-1;0;1;0;0;900;900;900;-1;-1;-1;-1;900
4;;5;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;63010;-1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1
5;;6;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;63010;-1;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1
6;;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;63010;-1;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1
7;;7;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;63010;-1;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1
8;Host of Fingers;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;-1;1;1;331100;0;-1;-1;-1;-1;-1;-1;-1;-1
9;;26;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;63010;-1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1
10;;0;902;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;63010;-1;0;1;0;0;902;902;902;-1;-1;-1;-1;902
