Row ID;Row Name;Unk0;Unk1;Unk2;Icon Type;Unk3;Unk4;Unk5;Unk6;Unk7;Map Area;Map Block;Map Region;Map Index;Map Coordinate: X;Map Coordinate: Y;Map Coordinate: Z;Area - Text ID;Unk13;Unk14;Unk15;Unk16;Unk17;Flag 1;Flag 2;Flag 3;Unk21;Unk22;Unk23;Unk24;Unk25;Unk26;Unk27;Unk28;Unk29;Unk30;Unk31;Unk32;Unk33;Unk34;Unk35;Unk36;Unk37;Unk38;Unk39;Unk40;Unk41;Unk42;Unk43;Unk44;Unk45;Unk45;Unk46;Unk47;Unk48;Unk49;Unk50;Unk51;Unk52;Unk53;Unk54;Unk55;Unk56;Unk57;Unk58;Unk59;Unk60;Unk61;Unk62;Unk63
78500;;1;78500;0;83;999;4;0;1;-140.27;60;47;51;0;-4.64;999.19;-24.16;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;0;0;-1;0;0;0;-1;-1;-1;256;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78501;;1;78501;0;83;999;4;0;1;-143.36;60;49;53;0;78.93;1559.27;100.96;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;0;0;-1;0;0;0;-1;-1;-1;256;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78502;;1;78502;0;83;999;4;0;1;-139.97;60;51;56;0;-2.86;1611.14;-43.15;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;0;0;-1;0;0;0;-1;-1;-1;256;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78503;;1;78503;0;83;999;4;0;1;-40.85;60;52;57;0;82.48;1625.79;77.83;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;0;0;-1;0;0;0;-1;-1;-1;256;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78504;;1;78504;0;83;999;4;0;1;97.9;60;54;55;0;-30.39;1625.56;62.3;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;0;0;-1;0;0;0;-1;-1;-1;256;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78505;;1;78505;0;83;999;4;0;1;18.13;60;52;56;0;42.35;1667.12;-126.1;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;0;0;-1;0;0;0;-1;-1;-1;256;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78506;;1;78506;0;83;999;4;0;1;6.61;60;52;54;0;-53.68;1706.52;66.82;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;0;0;-1;0;0;0;-1;-1;-1;256;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78507;;1;78507;0;83;999;4;0;1;-95.09;60;52;53;0;-79.18;1802.8;-46.09;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;0;0;-1;0;0;0;-1;-1;-1;256;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78510;;1;78510;0;83;999;4;0;1;129.23;60;51;57;0;121.4;1670.8;-39.36;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;0;0;-1;0;0;0;-1;-1;-1;256;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78511;;1;78511;0;83;999;4;0;1;-146;60;51;57;0;-15.99;1596.46;59.94;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;0;0;-1;0;0;0;-1;-1;-1;256;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
