Row ID,Row Name,Recovery Count 0,Recovery Count 1,Recovery Count 2,Recovery Count 3,Recovery Count 4,Recovery Count 5,Recovery Count 6,Recovery Count 7,Recovery Count 8,Recovery Count 9,Recovery Count 10,Recovery Count 11,Recovery Count 12,Recovery Count 13,Recovery Count 14,Recovery Count 15,Recovery Count 16,Recovery Count 17,Recovery Count 18,Recovery Count 19,Recovery Count 20,Recovery Count 21,Recovery Count 22,Recovery Count 23,Unk0,Unk1
1,,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,255,255,255,255,0,0
2,,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,1,0,0,255,255,255,255,0,0
900,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0
1001,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,255,255,255,255,0,0
1002,,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,255,255,255,255,0,0
1003,,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,0,255,255,255,255,0,0
1004,,4,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,0,255,255,255,255,0,0
1005,,5,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,0,0,0,255,255,255,255,0,0
1006,,6,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,0,0,0,255,255,255,255,0,0
1007,,7,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,0,0,0,255,255,255,255,0,0
1008,,8,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,0,0,0,255,255,255,255,0,0
1009,,9,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,3,0,0,0,255,255,255,255,0,0
1010,,10,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,3,0,0,0,255,255,255,255,0,0
1011,,11,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,3,0,0,0,255,255,255,255,0,0
1012,,12,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,3,0,0,0,255,255,255,255,0,0
1013,,13,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,4,0,0,0,255,255,255,255,0,0
1014,,14,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,4,0,0,0,255,255,255,255,0,0
1015,,15,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,4,0,0,0,255,255,255,255,0,0
2001,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0
2002,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0
2003,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0
2004,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0
2005,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0
2006,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0
2007,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0
2008,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0
2009,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0
2010,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0
2011,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0
2012,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0
2013,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0
2014,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0
2015,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0
5000,,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,255,255,255,255,0,0
10000,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,255,255,255,255,0,0
10050,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0
10100,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,44,1,216,39,0,0,0,0
10200,,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,44,1,60,40,0,0,0,0
10300,,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,44,1,160,40,0,0,0,0
10400,,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,44,1,4,41,0,0,0,0
10500,,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,0,44,1,104,41,0,0,0,0
10600,,6,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,0,0,0,255,255,255,255,0,0
100000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0
