Row ID,Row Name,Lower FPS,Upper FPS,Lower FPS - Continous Count,Upper FPS - Continous Count,Up After Change Sleep,Down After Change Sleep,Load Balancer Value 0,Load Balancer Value 1,Load Balancer Value 2,Load Balancer Value 3,Load Balancer Value 4,Load Balancer Value 5,Load Balancer Value 6,Load Balancer Value 7,Load Balancer Value 8,Load Balancer Value 9,Load Balancer Value 10,Load Balancer Value 11,Load Balancer Value 12,Load Balancer Value 13,Load Balancer Value 14,Load Balancer Value 15,Load Balancer Value 16,Load Balancer Value 17
1,,32.5,33.5,5,20,30,10,13,15,21,21,18,18,11,7,0,9,3,3,3,21,3,21,5,3
2,,30.6,31.6,5,20,30,10,13,6,21,21,21,21,11,7,0,9,13,10,8,21,10,21,5,10
3,,32.5,33.5,5,20,30,10,13,15,21,21,18,18,11,7,0,9,3,3,3,21,3,21,5,3
10,,30.6,31.6,5,20,30,10,13,6,21,21,21,21,11,7,0,9,5,4,4,21,4,21,5,4
11,,32.5,33.5,5,20,30,10,13,6,21,21,18,18,11,7,0,9,5,4,4,21,4,21,5,4
12,,30.6,31.6,5,20,30,10,13,6,21,21,21,21,11,7,0,9,13,10,8,21,10,21,5,10
13,,32.5,33.5,5,20,30,10,13,6,21,21,18,18,11,7,0,9,5,4,4,21,4,21,5,4
30,,30.6,31.6,5,20,30,10,21,21,21,21,21,21,21,21,0,9,21,21,21,21,21,21,21,21
31,,58.6,59.6,5,20,30,10,21,21,21,21,21,21,11,7,0,9,8,8,5,21,6,21,5,6
40,,30.6,31.6,5,20,30,10,21,21,21,21,21,21,21,21,0,9,21,21,21,21,21,21,21,21
41,,58.6,59.6,5,20,30,10,21,21,21,21,21,21,11,7,0,9,8,8,5,21,6,21,5,6
50,,30.6,31.6,5,20,30,10,21,21,21,21,21,21,11,7,0,9,13,10,8,21,10,21,5,10
51,,58.6,59.6,5,20,30,10,13,6,21,21,21,21,11,7,0,9,8,8,5,21,6,21,5,6
