Row ID,Row Name,Unk0,Unk1
10,,1,-1
20,,1,-1
21,,1,-1
30,,1,-1
31,,1,-1
40,,1,-1
41,,1,-1
42,,1,-1
1000,,0,-1
1001,,1,-1
1100,,1,-1
1105,,1,-1
1110,,1,-1
1171,,1,-1
1201,,1,-1
1202,,1,-1
1203,,1,-1
1204,,1,-1
1300,,1,-1
1400,,1,-1
1500,,1,-1
1600,,1,-1
1800,,0,-1
1900,,1,-1
3000,,1,-1
3001,,1,-1
3002,,0,-1
3003,,1,-1
3004,,0,-1
3005,,1,-1
3006,,1,-1
3007,,1,-1
3008,,1,-1
3009,,1,-1
3010,,1,-1
3011,,1,-1
3012,,1,-1
3013,,1,-1
3014,,1,-1
3015,,1,-1
3016,,1,-1
3017,,1,-1
3018,,1,-1
3100,,1,-1
3101,,1,-1
3102,,1,-1
3103,,0,-1
3104,,1,-1
3105,,1,-1
3106,,1,-1
3107,,1,-1
3108,,1,-1
3109,,1,-1
3110,,1,-1
3111,,1,-1
3112,,1,-1
3113,,1,-1
3114,,1,-1
3115,,0,-1
3117,,1,-1
3200,,1,-1
3201,,0,-1
3202,,1,-1
3203,,1,-1
3204,,1,-1
3205,,1,-1
3206,,1,-1
3207,,1,-1
3208,,1,-1
3209,,1,-1
3210,,1,-1
3211,,1,-1
3212,,1,-1
3410,,1,-1
3411,,1,-1
3412,,1,-1
3413,,1,-1
3414,,1,-1
3415,,1,-1
3416,,1,-1
3500,,1,-1
3920,,1,-1
