Row ID,Row Name,Correction Value 0,Correction Value 1,Correction Value 2,Correction Value 3
100,,0,7800,7801,7802
200,,0,7810,7811,7812
300,,0,7820,7821,7822
400,,0,7830,7831,7832
203000,,1,7820,7821,7822
203100,,1,7820,7821,7822
211000,,1,7820,7821,7822
212000,,1,7820,7821,7822
213000,,1,7820,7821,7822
219000,,1,7820,7821,7822
219200,,1,7820,7821,7822
305000,,1,7820,7821,7822
325000,,1,7820,7821,7822
325100,,1,7820,7821,7822
325200,,1,7820,7821,7822
356000,,1,7820,7821,7822
357000,,1,7820,7821,7822
451000,,1,7820,7821,7822
452000,,1,7820,7821,7822
465000,,1,7820,7821,7822
467000,,1,7820,7821,7822
468000,,1,7820,7821,7822
471000,,1,7820,7821,7822
472000,,1,7820,7821,7822
472100,,1,7820,7821,7822
473000,,1,7820,7821,7822
475000,,1,7820,7821,7822
476000,,1,7820,7821,7822
480000,,1,7820,7821,7822
491000,,1,7820,7821,7822
495000,,1,7820,7821,7822
496000,,1,7820,7821,7822
498000,,1,7820,7821,7822
