Row ID,Row Name,Message Type 0,Message Type 1,Message Type 2,Message Type 3,Message ID 0,Message ID 1,Message ID 2,Message ID 3,Message ID 4,Message ID 5,Message ID 6,Message ID 7,Message ID 8,Message ID 9,Message ID 10,Message ID 11,Message ID 12,Message ID 13,Message ID 14,Message ID 15,Message ID 16,Message ID 17,Message ID 18,Message ID 19,Message ID 20,Message ID 21,Message ID 22,Unk0,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7,Unk8,Unk9,Unk10,Unk11
100,,3,0,1,0,2300000,2300001,2300002,-1,2300100,2300101,2300102,-1,-1,-1,-1,-1,-1,-1,-1,2300105,-1,-1,-1,-1,-1,-1,-1,-1,2300010,-1,-1,-1,0,0,0,0,0,0,0
101,,3,0,1,0,2301000,2301001,2301002,-1,2301100,2301101,2301102,2301200,2301201,2301202,-1,2301304,-1,2301306,2301307,2301105,2301205,2301308,-1,-1,-1,-1,-1,2301210,-1,-1,-1,-1,0,0,0,0,0,0,0
102,,3,0,1,0,2302000,2302001,2302002,-1,2302100,2302101,2302102,-1,-1,-1,-1,-1,-1,-1,-1,2302105,-1,-1,-1,-1,-1,-1,-1,-1,2302010,-1,-1,-1,0,0,0,0,0,0,0
103,,3,0,1,0,2311000,2311001,2311002,-1,2311100,2311101,2311102,2311200,2311201,2311202,-1,2311304,-1,2311306,2311307,2311105,2311205,2311308,-1,-1,-1,-1,2311413,2311210,-1,-1,-1,-1,0,0,0,0,0,0,0
104,,3,0,1,0,-1,-1,-1,-1,-1,-1,-1,2331200,2331200,2331200,-1,-1,-1,-1,-1,-1,2331200,-1,-1,-1,-1,-1,-1,2331210,-1,-1,-1,-1,0,0,0,0,0,0,0
105,,3,0,1,0,2510000,2510001,2510002,-1,2510100,2510101,2510102,-1,-1,-1,-1,-1,-1,-1,-1,2510105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
106,,3,0,1,0,2521000,2521001,2521002,-1,2521100,2521101,2521102,2521200,2521201,2521202,-1,2521304,-1,2521306,2521307,2521105,2521205,2521308,-1,-1,-1,-1,-1,2521210,-1,-1,-1,-1,0,0,0,0,0,0,0
107,,3,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2331202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
108,,3,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2331201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
110,,3,0,1,0,2410000,2410001,2410002,-1,2410100,2410101,2410102,-1,-1,-1,-1,-1,-1,-1,-1,2410105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
111,,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
112,,2,0,0,0,2411000,2411001,2411002,-1,2411100,2411101,2411102,2411200,2411201,2411202,-1,2411304,-1,2411306,2411307,2411105,2411205,2411308,-1,-1,-1,-1,-1,2411210,-1,-1,-1,-1,0,0,0,0,0,0,0
120,,3,0,1,0,2410000,2410001,2410002,-1,2410100,2410101,2410102,-1,-1,-1,-1,-1,-1,-1,-1,2410105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
121,,3,0,1,0,2411000,2411001,2411002,-1,2411100,2411101,2411102,2411200,2411201,2411202,-1,2411304,-1,2411306,2411307,2411105,2411205,2411308,-1,-1,-1,-1,-1,2411210,-1,-1,-1,-1,0,0,0,0,0,0,0
122,,2,0,0,0,2410000,2410001,2410002,-1,2410100,2410101,2410102,-1,-1,-1,-1,-1,-1,-1,-1,2410105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
130,,3,0,1,0,2450000,2450001,2450002,-1,2450100,2450101,2450102,-1,-1,-1,-1,-1,-1,-1,-1,2450105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
131,,2,0,0,0,2450000,2450001,2450002,-1,2450100,2450101,2450102,-1,-1,-1,-1,-1,-1,-1,-1,2450105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
150,,3,0,1,0,2460000,2460001,2460002,-1,2460100,2460101,2460102,-1,-1,-1,-1,-1,-1,-1,-1,2460105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
151,,3,0,1,0,2461000,2461001,2461002,-1,2461100,2461101,2461102,2461200,2461201,2461202,-1,2461304,-1,2461306,2461307,2461105,2461205,2461308,-1,-1,-1,-1,-1,2461210,-1,-1,-1,-1,0,0,0,0,0,0,0
152,,2,0,0,0,2460000,2460001,2460002,-1,2460100,2460101,2460102,-1,-1,-1,-1,-1,-1,-1,-1,2460105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
160,,3,0,1,0,2490000,2490001,2490002,-1,2490100,2490101,2490102,-1,-1,-1,-1,-1,-1,-1,-1,2490105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
161,,3,0,1,0,2491000,2491001,2491002,-1,2491100,2491101,2491102,2491200,2491201,2491202,-1,2491304,-1,2491306,2491307,2491105,2491205,2491308,-1,-1,-1,-1,-1,2491210,-1,-1,-1,-1,0,0,0,0,0,0,0
162,,2,0,0,0,2490000,2490001,2490002,-1,2490100,2490101,2490102,-1,-1,-1,-1,-1,-1,-1,-1,2490105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
200,,3,0,1,0,2600000,2600001,2600002,-1,2600100,2600101,2600102,2600200,2600201,2600202,-1,2600304,-1,2600306,2600307,2600105,2600205,2600308,-1,-1,-1,-1,-1,2600210,2600010,2600220,2600230,2600240,0,0,0,0,0,0,0
201,,1,0,1,0,2601000,2601001,2601002,-1,2601100,2601101,2601102,2601200,2601201,2601202,-1,2601304,-1,2601306,2601307,2601105,2601205,2601308,2601409,2601410,2601411,2601412,-1,2601210,-1,-1,-1,-1,0,0,0,0,0,0,0
202,,2,0,0,0,2602000,2602001,2602002,-1,2602100,2602101,2602102,2602200,2602201,2602202,-1,2602304,-1,2602306,2602307,2602105,2602205,2602308,-1,-1,-1,-1,-1,2602210,2602010,2602220,2602230,2602240,0,0,0,0,0,0,0
203,,2,0,0,0,2602000,2602001,2602002,-1,2602100,2602101,2602102,2602250,2602251,2602252,-1,2602354,-1,2602356,2602357,2602105,2602255,2602358,-1,-1,-1,-1,-1,2602260,2602010,2602270,2602280,2602290,0,0,0,0,0,0,0
