Row ID,Row Name,Unk0,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7,Unk8,Unk9,Unk10,Unk11,Unk12,Unk13,Unk14,Unk15
1,,-10,25,5,-10,25,5,-10,25,5,0,0,0,0,0,0,0
2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,-5,15,10,-5,15,10,-5,15,10,0,0,0,0,0,0,0
5,,5,-25,15,5,-25,15,5,-25,15,0,0,0,0,0,0,0
6,,-10,40,-20,-10,40,-20,-10,40,-20,0,0,0,0,0,0,0
7,,-10,15,5,-10,15,5,-10,15,5,0,0,0,0,0,0,0
8,,-10,20,10,-10,20,10,-10,20,10,0,0,0,0,0,0,0
9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,,-10,25,5,-10,25,5,-10,25,5,0,0,0,0,0,0,0
202,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,,-20,60,-20,-20,60,-20,-20,60,-20,0,0,0,0,0,0,0
204,,10,-6,10,10,-6,10,10,-6,10,0,0,0,0,0,0,0
205,,5,-15,15,5,-15,15,5,-15,15,0,0,0,0,0,0,0
206,,-10,35,0,-10,35,0,-10,35,0,0,0,0,0,0,0,0
207,,-10,15,0,-10,15,0,-10,15,0,0,0,0,0,0,0,0
208,,-10,20,10,-10,20,10,-10,20,10,0,0,0,0,0,0,0
209,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
