Row ID,Row Name,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
100,,125,80,95,-52,-85,-33,-26,85,-59,-17,-10,-34
101,,-126,-81,-96,51,84,32,25,-86,58,16,9,33
200,,-9,-33,-2,-36,-1,-1,-65,-1,-1,-67,-17,127
201,,90,-3,-39,127,55,-9,76,121,51,127,-4,-15
202,,-83,34,39,-93,-56,8,-13,-122,-52,-62,19,-114
300,,111,-1,-6,-1,-1,63,-7,-1,-1,-13,127,-5
301,,73,-110,4,8,4,80,6,-68,36,16,-80,-124
302,,-46,-113,-35,-74,-68,-17,-3,0,-15,109,-59,95
303,,-68,96,51,99,99,-126,2,99,26,-50,26,56
304,,-73,125,-17,-35,-37,-3,-1,-33,-49,-65,-17,-25
1202000,,66,85,80,-94,-108,-117,-53,3,-54,-48,52,64
1202001,,58,44,-108,-107,126,18,-40,87,11,22,79,-64
1202002,,-63,3,-119,44,67,81,-80,115,-63,-54,-96,-55
1202003,,86,-80,67,-64,-95,-74,44,1,50,39,-99,32
1202004,,97,46,50,77,-115,44,1,-92,60,-72,-63,-100
1202005,,9,-60,108,27,32,-53,96,12,39,0,50,53
1202006,,-78,80,39,3,122,96,71,-56,12,41,4,-101
1202007,,12,91,-118,-12,2,12,4,-82,112,76,122,35
1202008,,-84,-118,-71,56,-59,-127,50,56,-112,-91,-118,94
1202009,,-107,-95,68,66,24,116,-97,-48,-59,83,65,38
1202010,,-110,18,-15,64,19,-54,68,-58,113,-125,72,42
1202011,,98,106,40,37,67,39,2,1,106,47,17,-107
1202012,,9,-108,28,-124,0,-70,88,52,36,34,43,35
1202013,,17,44,-119,63,80,-127,24,-64,-54,-56,-120,-96
1202014,,-86,-31,4,-38,-104,64,52,2,-120,-46,-113,78
1202015,,-44,93,34,17,36,73,12,-103,21,4,96,-76
1202016,,78,-112,4,18,-99,84,-125,108,-59,-108,65,72
1202017,,-92,66,-30,-127,102,6,-73,45,29,93,-74,5
1202018,,65,43,21,-92,46,-80,-24,66,-126,1,0,-48
1202019,,24,4,-45,104,-56,40,-95,18,16,48,22,89
1202020,,37,-127,74,74,-95,21,67,-71,34,104,-12,2
1202020,,22,4,-110,-114,-21,-92,-97,-64,13,-64,-5,80
1202021,,6,-110,75,2,-22,-41,28,-32,-84,-90,26,-85
1202022,,105,-58,80,5,55,-52,-44,106,-120,-77,52,-115
1202023,,-94,-91,41,-56,84,96,-23,55,116,-78,-23,71
1202024,,-42,82,106,-32,59,1,0,-113,-69,20,104,125
1202025,,-22,75,92,-1,26,-33,-93,40,54,78,-96,-103
1202026,,-115,77,-108,4,43,35,53,4,-61,70,71,-118
1202027,,-62,-127,-93,45,21,-84,76,114,33,73,-20,112
1202028,,81,-23,-96,97,-72,120,72,-108,-126,28,61,23
1202029,,-90,60,-128,117,-48,-102,-125,-119,-124,-87,-110,38
1202030,,-88,-85,44,81,7,6,-112,-123,81,65,4,66
1202031,,105,19,-21,82,76,-13,-78,116,64,-106,7,32
1202032,,25,-74,94,-101,-91,116,103,-117,95,-3,-63,-8
1202033,,53,40,71,-100,-64,0,120,18,-42,9,-113,-15
1202034,,17,124,21,-70,-60,25,102,121,58,106,18,14
1202035,,92,80,-75,34,0,11,11,95,105,49,80,-124
1202036,,60,9,52,-125,10,-32,84,96,-55,89,-127,9
1202037,,24,14,-121,97,-42,16,-57,4,24,-24,-95,65
1202038,,74,-20,51,-83,104,70,105,76,-47,-79,-24,31
1202039,,73,64,-45,2,67,-88,122,16,-112,49,-12,39
1202040,,-111,-23,17,74,-49,80,80,-110,3,10,15,-10
1202041,,-123,36,-18,25,20,-113,-112,-126,-30,-97,-58,-59
1202042,,68,-28,80,-45,-80,-116,8,113,-42,-122,32,20
1202043,,6,-13,-54,80,56,2,55,32,46,67,61,-120
1202044,,-95,23,8,78,0,55,-118,-83,8,32,82,8
1202045,,-110,-116,-64,36,125,96,-94,-119,36,-92,-119,0
1202046,,98,90,103,-16,-120,90,-123,-26,-106,0,80,-38
1202047,,46,17,13,-84,101,-111,51,63,125,-33,14,56
