Row ID,Row Name,Unk0,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6,Unk7,Unk8,Unk9,Unk10,Unk11,Unk12,Unk13,Unk14,Unk15
11,,0,0,0,0,0,0,0,0,808334643,0,0,0,0,0,0,0
12,,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
110,,0,0,0,0,0,0,0,0,3616304,0,0,0,0,0,0,0
200,,0,0,0,0,0,0,0,0,3157554,0,0,0,0,0,0,0
201,,0,0,0,0,0,0,0,0,3157555,0,0,0,0,0,0,0
400,,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0
401,,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
402,,0,0,0,0,0,0,0,0,3485233,0,0,0,0,0,0,0
500,,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0
501,,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
502,,0,0,0,0,0,0,0,0,3485233,0,0,0,0,0,0,0
10000,,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0
10207,,0,0,0,0,0,0,0,0,12593,0,0,0,0,0,0,0
